,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1550432,0,1,73,23,Alabama,Jefferson,Birmingham,2016-01-01,Parts per billion,2.520833,4.1,11,4,Parts per million,0.022292,0.027000000000000003,13,25,Parts per billion,0.413636,1.2,3,1.0,Parts per million,0.129545,0.14,2,,Jan,2016,201601
1550433,1,1,73,23,Alabama,Jefferson,Birmingham,2016-01-01,Parts per billion,2.520833,4.1,11,4,Parts per million,0.022292,0.027000000000000003,13,25,Parts per billion,0.413636,1.2,3,1.0,Parts per million,0.1,0.1,7,1.0,Jan,2016,201601
1550434,2,1,73,23,Alabama,Jefferson,Birmingham,2016-01-01,Parts per billion,2.520833,4.1,11,4,Parts per million,0.022292,0.027000000000000003,13,25,Parts per billion,0.4,0.7,5,,Parts per million,0.129545,0.14,2,,Jan,2016,201601
1550435,3,1,73,23,Alabama,Jefferson,Birmingham,2016-01-01,Parts per billion,2.520833,4.1,11,4,Parts per million,0.022292,0.027000000000000003,13,25,Parts per billion,0.4,0.7,5,,Parts per million,0.1,0.1,7,1.0,Jan,2016,201601
1550436,4,1,73,23,Alabama,Jefferson,Birmingham,2016-01-02,Parts per billion,8.4375,27.5,18,25,Parts per million,0.015333,0.03,9,28,Parts per billion,0.663636,1.4,3,1.0,Parts per million,0.259091,0.71,23,,Jan,2016,201601
1550437,5,1,73,23,Alabama,Jefferson,Birmingham,2016-01-02,Parts per billion,8.4375,27.5,18,25,Parts per million,0.015333,0.03,9,28,Parts per billion,0.663636,1.4,3,1.0,Parts per million,0.166667,0.5,23,6.0,Jan,2016,201601
1550438,6,1,73,23,Alabama,Jefferson,Birmingham,2016-01-02,Parts per billion,8.4375,27.5,18,25,Parts per million,0.015333,0.03,9,28,Parts per billion,0.6714289999999999,1.0,11,,Parts per million,0.259091,0.71,23,,Jan,2016,201601
1550439,7,1,73,23,Alabama,Jefferson,Birmingham,2016-01-02,Parts per billion,8.4375,27.5,18,25,Parts per million,0.015333,0.03,9,28,Parts per billion,0.6714289999999999,1.0,11,,Parts per million,0.166667,0.5,23,6.0,Jan,2016,201601
1550440,8,1,73,23,Alabama,Jefferson,Birmingham,2016-01-03,Parts per billion,12.75,20.7,8,19,Parts per million,0.017208,0.026,9,24,Parts per billion,0.8636360000000001,1.9,3,1.0,Parts per million,0.257727,0.49,3,,Jan,2016,201601
1550441,9,1,73,23,Alabama,Jefferson,Birmingham,2016-01-03,Parts per billion,12.75,20.7,8,19,Parts per million,0.017208,0.026,9,24,Parts per billion,0.8636360000000001,1.9,3,1.0,Parts per million,0.333333,0.6,1,7.0,Jan,2016,201601
1550442,10,1,73,23,Alabama,Jefferson,Birmingham,2016-01-03,Parts per billion,12.75,20.7,8,19,Parts per million,0.017208,0.026,9,24,Parts per billion,0.857143,1.4,5,,Parts per million,0.257727,0.49,3,,Jan,2016,201601
1550443,11,1,73,23,Alabama,Jefferson,Birmingham,2016-01-03,Parts per billion,12.75,20.7,8,19,Parts per million,0.017208,0.026,9,24,Parts per billion,0.857143,1.4,5,,Parts per million,0.333333,0.6,1,7.0,Jan,2016,201601
1550444,12,1,73,23,Alabama,Jefferson,Birmingham,2016-01-04,Parts per billion,3.141667,6.1,2,6,Parts per million,0.025292,0.028,8,26,Parts per billion,0.51,2.1,3,3.0,Parts per million,0.132,0.15,15,,Jan,2016,201601
1550445,13,1,73,23,Alabama,Jefferson,Birmingham,2016-01-04,Parts per billion,3.141667,6.1,2,6,Parts per million,0.025292,0.028,8,26,Parts per billion,0.51,2.1,3,3.0,Parts per million,0.116667,0.2,0,2.0,Jan,2016,201601
1550446,14,1,73,23,Alabama,Jefferson,Birmingham,2016-01-04,Parts per billion,3.141667,6.1,2,6,Parts per million,0.025292,0.028,8,26,Parts per billion,0.433333,1.1,8,,Parts per million,0.132,0.15,15,,Jan,2016,201601
1550447,15,1,73,23,Alabama,Jefferson,Birmingham,2016-01-04,Parts per billion,3.141667,6.1,2,6,Parts per million,0.025292,0.028,8,26,Parts per billion,0.433333,1.1,8,,Parts per million,0.116667,0.2,0,2.0,Jan,2016,201601
1550448,16,1,73,23,Alabama,Jefferson,Birmingham,2016-01-05,Parts per billion,9.316667,28.5,19,26,Parts per million,0.021917,0.03,9,28,Parts per billion,0.75,2.7,3,3.0,Parts per million,0.613636,4.88,4,,Jan,2016,201601
1550449,17,1,73,23,Alabama,Jefferson,Birmingham,2016-01-05,Parts per billion,9.316667,28.5,19,26,Parts per million,0.021917,0.03,9,28,Parts per billion,0.75,2.7,3,3.0,Parts per million,0.6375,1.8,6,20.0,Jan,2016,201601
1550450,18,1,73,23,Alabama,Jefferson,Birmingham,2016-01-05,Parts per billion,9.316667,28.5,19,26,Parts per million,0.021917,0.03,9,28,Parts per billion,0.75,1.9,5,,Parts per million,0.613636,4.88,4,,Jan,2016,201601
1550451,19,1,73,23,Alabama,Jefferson,Birmingham,2016-01-05,Parts per billion,9.316667,28.5,19,26,Parts per million,0.021917,0.03,9,28,Parts per billion,0.75,1.9,5,,Parts per million,0.6375,1.8,6,20.0,Jan,2016,201601
1550452,20,1,73,23,Alabama,Jefferson,Birmingham,2016-01-06,Parts per billion,14.5875,34.7,19,32,Parts per million,0.01825,0.03,9,28,Parts per billion,0.8590909999999999,1.6,3,1.0,Parts per million,0.180455,0.33,20,,Jan,2016,201601
1550453,21,1,73,23,Alabama,Jefferson,Birmingham,2016-01-06,Parts per billion,14.5875,34.7,19,32,Parts per million,0.01825,0.03,9,28,Parts per billion,0.8590909999999999,1.6,3,1.0,Parts per million,0.15,0.3,23,3.0,Jan,2016,201601
1550454,22,1,73,23,Alabama,Jefferson,Birmingham,2016-01-06,Parts per billion,14.5875,34.7,19,32,Parts per million,0.01825,0.03,9,28,Parts per billion,0.828571,1.3,20,,Parts per million,0.180455,0.33,20,,Jan,2016,201601
1550455,23,1,73,23,Alabama,Jefferson,Birmingham,2016-01-06,Parts per billion,14.5875,34.7,19,32,Parts per million,0.01825,0.03,9,28,Parts per billion,0.828571,1.3,20,,Parts per million,0.15,0.3,23,3.0,Jan,2016,201601
1550456,24,1,73,23,Alabama,Jefferson,Birmingham,2016-01-07,Parts per billion,17.854167,31.2,18,29,Parts per million,0.014042,0.019,7,18,Parts per billion,1.0,2.1,3,3.0,Parts per million,0.235263,0.4,18,,Jan,2016,201601
1550457,25,1,73,23,Alabama,Jefferson,Birmingham,2016-01-07,Parts per billion,17.854167,31.2,18,29,Parts per million,0.014042,0.019,7,18,Parts per billion,1.0,2.1,3,3.0,Parts per million,0.25,0.3,0,3.0,Jan,2016,201601
1550458,26,1,73,23,Alabama,Jefferson,Birmingham,2016-01-07,Parts per billion,17.854167,31.2,18,29,Parts per million,0.014042,0.019,7,18,Parts per billion,0.985714,1.6,5,,Parts per million,0.235263,0.4,18,,Jan,2016,201601
1550459,27,1,73,23,Alabama,Jefferson,Birmingham,2016-01-07,Parts per billion,17.854167,31.2,18,29,Parts per million,0.014042,0.019,7,18,Parts per billion,0.985714,1.6,5,,Parts per million,0.25,0.3,0,3.0,Jan,2016,201601
1550460,28,1,73,23,Alabama,Jefferson,Birmingham,2016-01-08,Parts per billion,11.408333,27.6,18,25,Parts per million,0.017458,0.023,9,21,Parts per billion,0.13181800000000002,0.3,0,0.0,Parts per million,0.235,0.74,18,,Jan,2016,201601
1550461,29,1,73,23,Alabama,Jefferson,Birmingham,2016-01-08,Parts per billion,11.408333,27.6,18,25,Parts per million,0.017458,0.023,9,21,Parts per billion,0.13181800000000002,0.3,0,0.0,Parts per million,0.229167,0.3,0,3.0,Jan,2016,201601
1550462,30,1,73,23,Alabama,Jefferson,Birmingham,2016-01-08,Parts per billion,11.408333,27.6,18,25,Parts per million,0.017458,0.023,9,21,Parts per billion,0.1,0.2,11,,Parts per million,0.235,0.74,18,,Jan,2016,201601
1550463,31,1,73,23,Alabama,Jefferson,Birmingham,2016-01-08,Parts per billion,11.408333,27.6,18,25,Parts per million,0.017458,0.023,9,21,Parts per billion,0.1,0.2,11,,Parts per million,0.229167,0.3,0,3.0,Jan,2016,201601
1550464,32,1,73,23,Alabama,Jefferson,Birmingham,2016-01-09,Parts per billion,4.7625,9.9,8,8,Parts per million,0.020042,0.025,16,23,Parts per billion,0.013636,0.1,3,0.0,Parts per million,0.144091,0.2,18,,Jan,2016,201601
1550465,33,1,73,23,Alabama,Jefferson,Birmingham,2016-01-09,Parts per billion,4.7625,9.9,8,8,Parts per million,0.020042,0.025,16,23,Parts per billion,0.013636,0.1,3,0.0,Parts per million,0.17083299999999998,0.3,0,3.0,Jan,2016,201601
