,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1441133,1200,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-06,Parts per billion,35.513636,48.9,16,45,Parts per million,0.001588,0.003,3,3,Parts per billion,18.895833,29.3,23,41.0,Parts per million,1.4475,2.21,19,,Jan,2015,201501
1441134,1201,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-06,Parts per billion,35.513636,48.9,16,45,Parts per million,0.001588,0.003,3,3,Parts per billion,18.895833,29.3,23,41.0,Parts per million,1.457143,1.7,21,19.0,Jan,2015,201501
1441135,1202,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-06,Parts per billion,35.513636,48.9,16,45,Parts per million,0.001588,0.003,3,3,Parts per billion,18.8625,24.7,23,,Parts per million,1.4475,2.21,19,,Jan,2015,201501
1441136,1203,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-06,Parts per billion,35.513636,48.9,16,45,Parts per million,0.001588,0.003,3,3,Parts per billion,18.8625,24.7,23,,Parts per million,1.457143,1.7,21,19.0,Jan,2015,201501
1441137,1204,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-07,Parts per billion,49.795833,84.9,12,83,Parts per million,0.001625,0.004,21,4,Parts per billion,31.525,53.5,11,72.0,Parts per million,1.497083,2.3,16,,Jan,2015,201501
1441138,1205,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-07,Parts per billion,49.795833,84.9,12,83,Parts per million,0.001625,0.004,21,4,Parts per billion,31.525,53.5,11,72.0,Parts per million,1.55,2.1,17,24.0,Jan,2015,201501
1441139,1206,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-07,Parts per billion,49.795833,84.9,12,83,Parts per million,0.001625,0.004,21,4,Parts per billion,31.4875,44.5,11,,Parts per million,1.497083,2.3,16,,Jan,2015,201501
1441140,1207,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-07,Parts per billion,49.795833,84.9,12,83,Parts per million,0.001625,0.004,21,4,Parts per billion,31.4875,44.5,11,,Parts per million,1.55,2.1,17,24.0,Jan,2015,201501
1441141,1208,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-08,Parts per billion,38.779167,57.1,11,54,Parts per million,0.003958,0.006,21,6,Parts per billion,16.465217000000006,21.2,11,30.0,Parts per million,1.024348,1.96,11,,Jan,2015,201501
1441142,1209,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-08,Parts per billion,38.779167,57.1,11,54,Parts per million,0.003958,0.006,21,6,Parts per billion,16.465217000000006,21.2,11,30.0,Parts per million,1.041667,1.5,15,17.0,Jan,2015,201501
1441143,1210,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-08,Parts per billion,38.779167,57.1,11,54,Parts per million,0.003958,0.006,21,6,Parts per billion,16.357143,20.3,2,,Parts per million,1.024348,1.96,11,,Jan,2015,201501
1441144,1211,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-08,Parts per billion,38.779167,57.1,11,54,Parts per million,0.003958,0.006,21,6,Parts per billion,16.357143,20.3,2,,Parts per million,1.041667,1.5,15,17.0,Jan,2015,201501
1441145,1212,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-09,Parts per billion,29.945455,41.1,15,39,Parts per million,0.005792,0.013,23,12,Parts per billion,13.1,19.9,1,27.0,Parts per million,1.019583,3.39,19,,Jan,2015,201501
1441146,1213,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-09,Parts per billion,29.945455,41.1,15,39,Parts per million,0.005792,0.013,23,12,Parts per billion,13.1,19.9,1,27.0,Parts per million,0.995833,1.7,21,19.0,Jan,2015,201501
1441147,1214,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-09,Parts per billion,29.945455,41.1,15,39,Parts per million,0.005792,0.013,23,12,Parts per billion,13.0625,18.4,2,,Parts per million,1.019583,3.39,19,,Jan,2015,201501
1441148,1215,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-09,Parts per billion,29.945455,41.1,15,39,Parts per million,0.005792,0.013,23,12,Parts per billion,13.0625,18.4,2,,Parts per million,0.995833,1.7,21,19.0,Jan,2015,201501
1441149,1216,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-10,Parts per billion,25.2625,32.8,22,30,Parts per million,0.008625,0.015,0,14,Parts per billion,10.558333,14.7,13,20.0,Parts per million,0.552917,0.91,1,,Jan,2015,201501
1441150,1217,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-10,Parts per billion,25.2625,32.8,22,30,Parts per million,0.008625,0.015,0,14,Parts per billion,10.558333,14.7,13,20.0,Parts per million,0.65,1.4,0,16.0,Jan,2015,201501
1441151,1218,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-10,Parts per billion,25.2625,32.8,22,30,Parts per million,0.008625,0.015,0,14,Parts per billion,10.5375,14.1,23,,Parts per million,0.552917,0.91,1,,Jan,2015,201501
1441152,1219,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-10,Parts per billion,25.2625,32.8,22,30,Parts per million,0.008625,0.015,0,14,Parts per billion,10.5375,14.1,23,,Parts per million,0.65,1.4,0,16.0,Jan,2015,201501
1441153,1220,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-11,Parts per billion,26.695833,31.8,0,29,Parts per million,0.0035,0.004,9,4,Parts per billion,13.965217,17.2,11,24.0,Parts per million,0.8030430000000001,1.25,12,,Jan,2015,201501
1441154,1221,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-11,Parts per billion,26.695833,31.8,0,29,Parts per million,0.0035,0.004,9,4,Parts per billion,13.965217,17.2,11,24.0,Parts per million,0.804167,1.0,15,11.0,Jan,2015,201501
1441155,1222,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-11,Parts per billion,26.695833,31.8,0,29,Parts per million,0.0035,0.004,9,4,Parts per billion,14.457143,16.9,11,,Parts per million,0.8030430000000001,1.25,12,,Jan,2015,201501
1441156,1223,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-11,Parts per billion,26.695833,31.8,0,29,Parts per million,0.0035,0.004,9,4,Parts per billion,14.457143,16.9,11,,Parts per million,0.804167,1.0,15,11.0,Jan,2015,201501
1441157,1224,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-12,Parts per billion,22.172727,30.2,11,28,Parts per million,0.0040420000000000005,0.008,23,7,Parts per billion,9.929167,13.3,2,19.0,Parts per million,0.670833,1.85,17,,Jan,2015,201501
1441158,1225,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-12,Parts per billion,22.172727,30.2,11,28,Parts per million,0.0040420000000000005,0.008,23,7,Parts per billion,9.929167,13.3,2,19.0,Parts per million,0.683333,1.0,18,11.0,Jan,2015,201501
1441159,1226,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-12,Parts per billion,22.172727,30.2,11,28,Parts per million,0.0040420000000000005,0.008,23,7,Parts per billion,9.8875,12.0,2,,Parts per million,0.670833,1.85,17,,Jan,2015,201501
1441160,1227,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-12,Parts per billion,22.172727,30.2,11,28,Parts per million,0.0040420000000000005,0.008,23,7,Parts per billion,9.8875,12.0,2,,Parts per million,0.683333,1.0,18,11.0,Jan,2015,201501
1441161,1228,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-13,Parts per billion,26.131818,39.1,17,37,Parts per million,0.003583,0.008,0,7,Parts per billion,10.666667,15.9,17,21.0,Parts per million,0.7156520000000001,1.89,17,,Jan,2015,201501
1441162,1229,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-13,Parts per billion,26.131818,39.1,17,37,Parts per million,0.003583,0.008,0,7,Parts per billion,10.666667,15.9,17,21.0,Parts per million,0.6875,1.2,20,14.0,Jan,2015,201501
1441163,1230,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-13,Parts per billion,26.131818,39.1,17,37,Parts per million,0.003583,0.008,0,7,Parts per billion,10.6375,13.7,17,,Parts per million,0.7156520000000001,1.89,17,,Jan,2015,201501
1441164,1231,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-13,Parts per billion,26.131818,39.1,17,37,Parts per million,0.003583,0.008,0,7,Parts per billion,10.6375,13.7,17,,Parts per million,0.6875,1.2,20,14.0,Jan,2015,201501
1441165,1232,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-14,Parts per billion,28.977778000000004,39.2,4,37,Parts per million,0.003778,0.008,2,7,Parts per billion,10.277273,16.8,22,23.0,Parts per million,0.498696,0.92,17,,Jan,2015,201501
1441166,1233,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-14,Parts per billion,28.977778000000004,39.2,4,37,Parts per million,0.003778,0.008,2,7,Parts per billion,10.277273,16.8,22,23.0,Parts per million,0.55,1.0,0,11.0,Jan,2015,201501
1441167,1234,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-14,Parts per billion,28.977778000000004,39.2,4,37,Parts per million,0.003778,0.008,2,7,Parts per billion,9.583333,14.5,5,,Parts per million,0.498696,0.92,17,,Jan,2015,201501
1441168,1235,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-14,Parts per billion,28.977778000000004,39.2,4,37,Parts per million,0.003778,0.008,2,7,Parts per billion,9.583333,14.5,5,,Parts per million,0.55,1.0,0,11.0,Jan,2015,201501
1441169,1236,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-15,Parts per billion,32.0,49.1,13,46,Parts per million,0.0035,0.021,23,19,Parts per billion,11.4375,16.0,7,23.0,Parts per million,0.772083,1.94,13,,Jan,2015,201501
1441170,1237,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-15,Parts per billion,32.0,49.1,13,46,Parts per million,0.0035,0.021,23,19,Parts per billion,11.4375,16.0,7,23.0,Parts per million,0.754167,1.2,15,14.0,Jan,2015,201501
1441171,1238,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-15,Parts per billion,32.0,49.1,13,46,Parts per million,0.0035,0.021,23,19,Parts per billion,11.4,14.8,8,,Parts per million,0.772083,1.94,13,,Jan,2015,201501
1441172,1239,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-15,Parts per billion,32.0,49.1,13,46,Parts per million,0.0035,0.021,23,19,Parts per billion,11.4,14.8,8,,Parts per million,0.754167,1.2,15,14.0,Jan,2015,201501
1441173,1240,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-16,Parts per billion,19.241667,41.4,16,39,Parts per million,0.007083,0.022,0,20,Parts per billion,7.733333,13.2,16,19.0,Parts per million,0.555417,1.45,16,,Jan,2015,201501
1441174,1241,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-16,Parts per billion,19.241667,41.4,16,39,Parts per million,0.007083,0.022,0,20,Parts per billion,7.733333,13.2,16,19.0,Parts per million,0.591667,0.9,16,10.0,Jan,2015,201501
1441175,1242,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-16,Parts per billion,19.241667,41.4,16,39,Parts per million,0.007083,0.022,0,20,Parts per billion,7.7,10.4,14,,Parts per million,0.555417,1.45,16,,Jan,2015,201501
1441176,1243,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-16,Parts per billion,19.241667,41.4,16,39,Parts per million,0.007083,0.022,0,20,Parts per billion,7.7,10.4,14,,Parts per million,0.591667,0.9,16,10.0,Jan,2015,201501
1441177,1244,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-17,Parts per billion,30.795833,50.3,14,47,Parts per million,0.003583,0.005,19,5,Parts per billion,15.186957,23.2,18,33.0,Parts per million,0.5,0.5,0,6.0,Jan,2015,201501
1441178,1245,2,90,34,Alaska,Fairbanks North Star ,Fairbanks,2015-01-17,Parts per billion,30.795833,50.3,14,47,Parts per million,0.003583,0.005,19,5,Parts per billion,15.071429,19.2,20,,Parts per million,0.5,0.5,0,6.0,Jan,2015,201501
