,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1551024,596,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.463636,1.1,12,1.0,Parts per million,0.427083,0.6629999999999999,18,,Jan,2016,201601
1551025,597,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.463636,1.1,12,1.0,Parts per million,0.404167,0.5,12,6.0,Jan,2016,201601
1551026,598,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.383333,0.6,11,,Parts per million,0.427083,0.6629999999999999,18,,Jan,2016,201601
1551027,599,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.383333,0.6,11,,Parts per million,0.404167,0.5,12,6.0,Jan,2016,201601
1551028,600,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.129167,0.4,23,0.0,Parts per million,0.391917,0.491,9,,Jan,2016,201601
1551029,601,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.129167,0.4,23,0.0,Parts per million,0.391667,0.5,0,6.0,Jan,2016,201601
1551030,602,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.1,0.2,23,,Parts per million,0.391917,0.491,9,,Jan,2016,201601
1551031,603,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.1,0.2,23,,Parts per million,0.391667,0.5,0,6.0,Jan,2016,201601
1551032,604,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.054166999999999986,0.6,20,0.0,Parts per million,0.479083,0.999,19,,Jan,2016,201601
1551033,605,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.054166999999999986,0.6,20,0.0,Parts per million,0.45,0.6,20,7.0,Jan,2016,201601
1551034,606,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.0375,0.3,20,,Parts per million,0.479083,0.999,19,,Jan,2016,201601
1551035,607,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.0375,0.3,20,,Parts per million,0.45,0.6,20,7.0,Jan,2016,201601
1551036,608,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.333333,0.5,7,0.0,Parts per million,0.458958,0.701,17,,Jan,2016,201601
1551037,609,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.333333,0.5,7,0.0,Parts per million,0.4875,0.6,0,7.0,Jan,2016,201601
1551038,610,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.3125,0.4,17,,Parts per million,0.458958,0.701,17,,Jan,2016,201601
1551039,611,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.3125,0.4,17,,Parts per million,0.4875,0.6,0,7.0,Jan,2016,201601
1551040,612,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270832999999998,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.204167,1.0,7,1.0,Parts per million,0.560417,1.063,7,,Jan,2016,201601
1551041,613,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270832999999998,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.204167,1.0,7,1.0,Parts per million,0.545833,0.7,8,8.0,Jan,2016,201601
1551042,614,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270832999999998,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.1625,0.9,8,,Parts per million,0.560417,1.063,7,,Jan,2016,201601
1551043,615,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270832999999998,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.1625,0.9,8,,Parts per million,0.545833,0.7,8,8.0,Jan,2016,201601
1551044,616,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.7,1.9,21,1.0,Parts per million,0.757083,1.43,22,,Jan,2016,201601
1551045,617,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.7,1.9,21,1.0,Parts per million,0.654167,1.1,23,13.0,Jan,2016,201601
1551046,618,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.675,1.7,23,,Parts per million,0.757083,1.43,22,,Jan,2016,201601
1551047,619,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.675,1.7,23,,Parts per million,0.654167,1.1,23,13.0,Jan,2016,201601
1551048,620,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027000000000000003,10,25,Parts per billion,1.404167,6.2,13,9.0,Parts per million,0.635208,1.307,0,,Jan,2016,201601
1551049,621,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027000000000000003,10,25,Parts per billion,1.404167,6.2,13,9.0,Parts per million,0.725,1.3,1,15.0,Jan,2016,201601
1551050,622,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027000000000000003,10,25,Parts per billion,1.375,5.3,14,,Parts per million,0.635208,1.307,0,,Jan,2016,201601
1551051,623,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027000000000000003,10,25,Parts per billion,1.375,5.3,14,,Parts per million,0.725,1.3,1,15.0,Jan,2016,201601
1551052,624,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.983333,2.6,8,3.0,Parts per million,0.81725,1.479,20,,Jan,2016,201601
1551053,625,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.983333,2.6,8,3.0,Parts per million,0.766667,1.0,8,11.0,Jan,2016,201601
1551054,626,4,13,9997,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.9625,2.0,8,,Parts per million,0.81725,1.479,20,,Jan,2016,201601
