,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1551682,1276,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-01,Parts per billion,7.158333,31.1,20,29,Parts per million,0.024125,0.033,9,31,Parts per billion,0.745833,0.9,20,0.0,Parts per million,0.306042,0.731,20,,Jan,2016,201601
1551683,1277,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-01,Parts per billion,7.158333,31.1,20,29,Parts per million,0.024125,0.033,9,31,Parts per billion,0.745833,0.9,20,0.0,Parts per million,0.268421,0.4,21,5.0,Jan,2016,201601
1551684,1278,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-01,Parts per billion,7.158333,31.1,20,29,Parts per million,0.024125,0.033,9,31,Parts per billion,0.7125,0.8,23,,Parts per million,0.306042,0.731,20,,Jan,2016,201601
1551685,1279,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-01,Parts per billion,7.158333,31.1,20,29,Parts per million,0.024125,0.033,9,31,Parts per billion,0.7125,0.8,23,,Parts per million,0.268421,0.4,21,5.0,Jan,2016,201601
1551686,1280,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-02,Parts per billion,10.975,29.4,3,27,Parts per million,0.020458,0.035,9,32,Parts per billion,1.054167,2.0,11,3.0,Parts per million,0.344875,0.603,23,,Jan,2016,201601
1551687,1281,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-02,Parts per billion,10.975,29.4,3,27,Parts per million,0.020458,0.035,9,32,Parts per billion,1.054167,2.0,11,3.0,Parts per million,0.325,0.5,23,6.0,Jan,2016,201601
1551688,1282,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-02,Parts per billion,10.975,29.4,3,27,Parts per million,0.020458,0.035,9,32,Parts per billion,1.0375,1.6,11,,Parts per million,0.344875,0.603,23,,Jan,2016,201601
1551689,1283,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-02,Parts per billion,10.975,29.4,3,27,Parts per million,0.020458,0.035,9,32,Parts per billion,1.0375,1.6,11,,Parts per million,0.325,0.5,23,6.0,Jan,2016,201601
1551690,1284,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-03,Parts per billion,8.416667,28.2,0,26,Parts per million,0.026583,0.033,10,31,Parts per billion,0.970833,1.4,12,1.0,Parts per million,0.358292,0.767,0,,Jan,2016,201601
1551691,1285,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-03,Parts per billion,8.416667,28.2,0,26,Parts per million,0.026583,0.033,10,31,Parts per billion,0.970833,1.4,12,1.0,Parts per million,0.395833,0.6,1,7.0,Jan,2016,201601
1551692,1286,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-03,Parts per billion,8.416667,28.2,0,26,Parts per million,0.026583,0.033,10,31,Parts per billion,0.925,1.2,14,,Parts per million,0.358292,0.767,0,,Jan,2016,201601
1551693,1287,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-03,Parts per billion,8.416667,28.2,0,26,Parts per million,0.026583,0.033,10,31,Parts per billion,0.925,1.2,14,,Parts per million,0.395833,0.6,1,7.0,Jan,2016,201601
1551694,1288,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-04,Parts per billion,10.413636,34.6,20,32,Parts per million,0.020208,0.027000000000000003,9,25,Parts per billion,0.945833,1.3,13,1.0,Parts per million,0.304792,0.389,22,,Jan,2016,201601
1551695,1289,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-04,Parts per billion,10.413636,34.6,20,32,Parts per million,0.020208,0.027000000000000003,9,25,Parts per billion,0.945833,1.3,13,1.0,Parts per million,0.3,0.3,0,3.0,Jan,2016,201601
1551696,1290,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-04,Parts per billion,10.413636,34.6,20,32,Parts per million,0.020208,0.027000000000000003,9,25,Parts per billion,0.925,1.2,14,,Parts per million,0.304792,0.389,22,,Jan,2016,201601
1551697,1291,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-04,Parts per billion,10.413636,34.6,20,32,Parts per million,0.020208,0.027000000000000003,9,25,Parts per billion,0.925,1.2,14,,Parts per million,0.3,0.3,0,3.0,Jan,2016,201601
1551698,1292,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-05,Parts per billion,15.4375,37.3,23,35,Parts per million,0.016333,0.028,9,26,Parts per billion,1.1375,2.0,22,3.0,Parts per million,0.363667,0.6709999999999999,23,,Jan,2016,201601
1551699,1293,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-05,Parts per billion,15.4375,37.3,23,35,Parts per million,0.016333,0.028,9,26,Parts per billion,1.1375,2.0,22,3.0,Parts per million,0.329167,0.4,1,5.0,Jan,2016,201601
1551700,1294,5,119,7,Arkansas,Pulaski,North Little Rock,2016-01-05,Parts per billion,15.4375,37.3,23,35,Parts per million,0.016333,0.028,9,26,Parts per billion,1.125,1.8,23,,Parts per million,0.363667,0.6709999999999999,23,,Jan,2016,201601
