,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1552046,1640,6,1,11,California,Alameda,Oakland,2016-01-01,Parts per billion,7.1869570000000005,17.5,4,16,Parts per million,0.024042,0.03,8,28,Parts per billion,0.7,0.9,0,0.0,Parts per million,0.23913,0.3,0,,Jan,2016,201601
1552047,1641,6,1,11,California,Alameda,Oakland,2016-01-01,Parts per billion,7.1869570000000005,17.5,4,16,Parts per million,0.024042,0.03,8,28,Parts per billion,0.7,0.9,0,0.0,Parts per million,0.222222,0.3,6,3.0,Jan,2016,201601
1552048,1642,6,1,11,California,Alameda,Oakland,2016-01-01,Parts per billion,7.1869570000000005,17.5,4,16,Parts per million,0.024042,0.03,8,28,Parts per billion,0.657143,0.8,2,,Parts per million,0.23913,0.3,0,,Jan,2016,201601
1552049,1643,6,1,11,California,Alameda,Oakland,2016-01-01,Parts per billion,7.1869570000000005,17.5,4,16,Parts per million,0.024042,0.03,8,28,Parts per billion,0.657143,0.8,2,,Parts per million,0.222222,0.3,6,3.0,Jan,2016,201601
1552050,1644,6,1,11,California,Alameda,Oakland,2016-01-02,Parts per billion,12.891304,22.4,23,21,Parts per million,0.017833,0.024,8,22,Parts per billion,0.6863640000000001,0.7,0,0.0,Parts per million,0.313043,0.4,2,,Jan,2016,201601
1552051,1645,6,1,11,California,Alameda,Oakland,2016-01-02,Parts per billion,12.891304,22.4,23,21,Parts per million,0.017833,0.024,8,22,Parts per billion,0.6863640000000001,0.7,0,0.0,Parts per million,0.308333,0.4,22,5.0,Jan,2016,201601
1552052,1646,6,1,11,California,Alameda,Oakland,2016-01-02,Parts per billion,12.891304,22.4,23,21,Parts per million,0.017833,0.024,8,22,Parts per billion,0.6714289999999999,0.7,2,,Parts per million,0.313043,0.4,2,,Jan,2016,201601
1552053,1647,6,1,11,California,Alameda,Oakland,2016-01-02,Parts per billion,12.891304,22.4,23,21,Parts per million,0.017833,0.024,8,22,Parts per billion,0.6714289999999999,0.7,2,,Parts per million,0.308333,0.4,22,5.0,Jan,2016,201601
1552054,1648,6,1,11,California,Alameda,Oakland,2016-01-03,Parts per billion,16.465217000000006,28.3,7,26,Parts per million,0.013708,0.021,10,19,Parts per billion,0.718182,1.1,23,1.0,Parts per million,0.395652,0.6,8,,Jan,2016,201601
1552055,1649,6,1,11,California,Alameda,Oakland,2016-01-03,Parts per billion,16.465217000000006,28.3,7,26,Parts per million,0.013708,0.021,10,19,Parts per billion,0.718182,1.1,23,1.0,Parts per million,0.404167,0.5,11,6.0,Jan,2016,201601
1552056,1650,6,1,11,California,Alameda,Oakland,2016-01-03,Parts per billion,16.465217000000006,28.3,7,26,Parts per million,0.013708,0.021,10,19,Parts per billion,0.7,0.8,11,,Parts per million,0.395652,0.6,8,,Jan,2016,201601
1552057,1651,6,1,11,California,Alameda,Oakland,2016-01-03,Parts per billion,16.465217000000006,28.3,7,26,Parts per million,0.013708,0.021,10,19,Parts per billion,0.7,0.8,11,,Parts per million,0.404167,0.5,11,6.0,Jan,2016,201601
1552058,1652,6,1,11,California,Alameda,Oakland,2016-01-04,Parts per billion,19.447826,36.5,8,34,Parts per million,0.016541999999999998,0.025,17,23,Parts per billion,0.7136359999999999,1.1,10,1.0,Parts per million,0.443478,0.9,6,,Jan,2016,201601
1552059,1653,6,1,11,California,Alameda,Oakland,2016-01-04,Parts per billion,19.447826,36.5,8,34,Parts per million,0.016541999999999998,0.025,17,23,Parts per billion,0.7136359999999999,1.1,10,1.0,Parts per million,0.454167,0.7,10,8.0,Jan,2016,201601
1552060,1654,6,1,11,California,Alameda,Oakland,2016-01-04,Parts per billion,19.447826,36.5,8,34,Parts per million,0.016541999999999998,0.025,17,23,Parts per billion,0.685714,1.0,11,,Parts per million,0.443478,0.9,6,,Jan,2016,201601
1552061,1655,6,1,11,California,Alameda,Oakland,2016-01-04,Parts per billion,19.447826,36.5,8,34,Parts per million,0.016541999999999998,0.025,17,23,Parts per billion,0.685714,1.0,11,,Parts per million,0.454167,0.7,10,8.0,Jan,2016,201601
1552062,1656,6,1,11,California,Alameda,Oakland,2016-01-05,Parts per billion,19.128571,38.9,19,36,Parts per million,0.016291999999999997,0.024,0,22,Parts per billion,0.43,0.6,15,0.0,Parts per million,0.428571,0.8,19,,Jan,2016,201601
1552063,1657,6,1,11,California,Alameda,Oakland,2016-01-05,Parts per billion,19.128571,38.9,19,36,Parts per million,0.016291999999999997,0.024,0,22,Parts per billion,0.43,0.6,15,0.0,Parts per million,0.383333,0.6,23,7.0,Jan,2016,201601
1552064,1658,6,1,11,California,Alameda,Oakland,2016-01-05,Parts per billion,19.128571,38.9,19,36,Parts per million,0.016291999999999997,0.024,0,22,Parts per billion,0.4,0.5,17,,Parts per million,0.428571,0.8,19,,Jan,2016,201601
1552065,1659,6,1,11,California,Alameda,Oakland,2016-01-05,Parts per billion,19.128571,38.9,19,36,Parts per million,0.016291999999999997,0.024,0,22,Parts per billion,0.4,0.5,17,,Parts per million,0.383333,0.6,23,7.0,Jan,2016,201601
1552066,1660,6,1,11,California,Alameda,Oakland,2016-01-06,Parts per billion,12.543478,20.1,10,19,Parts per million,0.023875,0.027000000000000003,10,25,Parts per billion,0.4,0.5,12,0.0,Parts per million,0.421739,0.6,21,,Jan,2016,201601
1552067,1661,6,1,11,California,Alameda,Oakland,2016-01-06,Parts per billion,12.543478,20.1,10,19,Parts per million,0.023875,0.027000000000000003,10,25,Parts per billion,0.4,0.5,12,0.0,Parts per million,0.445833,0.6,0,7.0,Jan,2016,201601
1552068,1662,6,1,11,California,Alameda,Oakland,2016-01-06,Parts per billion,12.543478,20.1,10,19,Parts per million,0.023875,0.027000000000000003,10,25,Parts per billion,0.371429,0.4,2,,Parts per million,0.421739,0.6,21,,Jan,2016,201601
1552069,1663,6,1,11,California,Alameda,Oakland,2016-01-06,Parts per billion,12.543478,20.1,10,19,Parts per million,0.023875,0.027000000000000003,10,25,Parts per billion,0.371429,0.4,2,,Parts per million,0.445833,0.6,0,7.0,Jan,2016,201601
1552070,1664,6,1,11,California,Alameda,Oakland,2016-01-07,Parts per billion,21.756522,36.5,8,34,Parts per million,0.008917,0.02,9,19,Parts per billion,0.727273,1.3,14,1.0,Parts per million,0.721739,1.6,22,,Jan,2016,201601
1552071,1665,6,1,11,California,Alameda,Oakland,2016-01-07,Parts per billion,21.756522,36.5,8,34,Parts per million,0.008917,0.02,9,19,Parts per billion,0.727273,1.3,14,1.0,Parts per million,0.6,1.1,23,13.0,Jan,2016,201601
1552072,1666,6,1,11,California,Alameda,Oakland,2016-01-07,Parts per billion,21.756522,36.5,8,34,Parts per million,0.008917,0.02,9,19,Parts per billion,0.714286,1.2,14,,Parts per million,0.721739,1.6,22,,Jan,2016,201601
1552073,1667,6,1,11,California,Alameda,Oakland,2016-01-07,Parts per billion,21.756522,36.5,8,34,Parts per million,0.008917,0.02,9,19,Parts per billion,0.714286,1.2,14,,Parts per million,0.6,1.1,23,13.0,Jan,2016,201601
1552074,1668,6,1,11,California,Alameda,Oakland,2016-01-08,Parts per billion,26.886957,33.5,9,31,Parts per million,0.004125,0.015,23,14,Parts per billion,1.127273,1.9,5,1.0,Parts per million,0.865217,1.5,5,,Jan,2016,201601
1552075,1669,6,1,11,California,Alameda,Oakland,2016-01-08,Parts per billion,26.886957,33.5,9,31,Parts per million,0.004125,0.015,23,14,Parts per billion,1.127273,1.9,5,1.0,Parts per million,0.983333,1.4,3,16.0,Jan,2016,201601
1552076,1670,6,1,11,California,Alameda,Oakland,2016-01-08,Parts per billion,26.886957,33.5,9,31,Parts per million,0.004125,0.015,23,14,Parts per billion,1.042857,1.7,11,,Parts per million,0.865217,1.5,5,,Jan,2016,201601
1552077,1671,6,1,11,California,Alameda,Oakland,2016-01-08,Parts per billion,26.886957,33.5,9,31,Parts per million,0.004125,0.015,23,14,Parts per billion,1.042857,1.7,11,,Parts per million,0.983333,1.4,3,16.0,Jan,2016,201601
1552078,1672,6,1,11,California,Alameda,Oakland,2016-01-09,Parts per billion,14.091304,26.5,17,25,Parts per million,0.014042,0.024,5,22,Parts per billion,0.5181819999999999,0.7,0,0.0,Parts per million,0.5043479999999999,0.8,17,,Jan,2016,201601
1552079,1673,6,1,11,California,Alameda,Oakland,2016-01-09,Parts per billion,14.091304,26.5,17,25,Parts per million,0.014042,0.024,5,22,Parts per billion,0.5181819999999999,0.7,0,0.0,Parts per million,0.508333,0.6,0,7.0,Jan,2016,201601
1552080,1674,6,1,11,California,Alameda,Oakland,2016-01-09,Parts per billion,14.091304,26.5,17,25,Parts per million,0.014042,0.024,5,22,Parts per billion,0.5,0.6,2,,Parts per million,0.5043479999999999,0.8,17,,Jan,2016,201601
1552081,1675,6,1,11,California,Alameda,Oakland,2016-01-09,Parts per billion,14.091304,26.5,17,25,Parts per million,0.014042,0.024,5,22,Parts per billion,0.5,0.6,2,,Parts per million,0.508333,0.6,0,7.0,Jan,2016,201601
1552082,1676,6,1,11,California,Alameda,Oakland,2016-01-10,Parts per billion,11.178261,28.6,23,26,Parts per million,0.015208,0.023,4,21,Parts per billion,0.645455,1.1,4,1.0,Parts per million,0.478261,0.8,1,,Jan,2016,201601
1552083,1677,6,1,11,California,Alameda,Oakland,2016-01-10,Parts per billion,11.178261,28.6,23,26,Parts per million,0.015208,0.023,4,21,Parts per billion,0.645455,1.1,4,1.0,Parts per million,0.4875,0.6,0,7.0,Jan,2016,201601
1552084,1678,6,1,11,California,Alameda,Oakland,2016-01-10,Parts per billion,11.178261,28.6,23,26,Parts per million,0.015208,0.023,4,21,Parts per billion,0.6,0.8,11,,Parts per million,0.478261,0.8,1,,Jan,2016,201601
1552085,1679,6,1,11,California,Alameda,Oakland,2016-01-10,Parts per billion,11.178261,28.6,23,26,Parts per million,0.015208,0.023,4,21,Parts per billion,0.6,0.8,11,,Parts per million,0.4875,0.6,0,7.0,Jan,2016,201601
1552086,1680,6,1,11,California,Alameda,Oakland,2016-01-11,Parts per billion,19.63913,26.8,7,25,Parts per million,0.007083,0.013,16,12,Parts per billion,0.722727,1.2,10,1.0,Parts per million,0.547826,0.8,10,,Jan,2016,201601
1552087,1681,6,1,11,California,Alameda,Oakland,2016-01-11,Parts per billion,19.63913,26.8,7,25,Parts per million,0.007083,0.013,16,12,Parts per billion,0.722727,1.2,10,1.0,Parts per million,0.554167,0.6,0,7.0,Jan,2016,201601
1552088,1682,6,1,11,California,Alameda,Oakland,2016-01-11,Parts per billion,19.63913,26.8,7,25,Parts per million,0.007083,0.013,16,12,Parts per billion,0.7,1.0,11,,Parts per million,0.547826,0.8,10,,Jan,2016,201601
1552089,1683,6,1,11,California,Alameda,Oakland,2016-01-11,Parts per billion,19.63913,26.8,7,25,Parts per million,0.007083,0.013,16,12,Parts per billion,0.7,1.0,11,,Parts per million,0.554167,0.6,0,7.0,Jan,2016,201601
1552090,1684,6,1,11,California,Alameda,Oakland,2016-01-12,Parts per billion,21.695652,36.3,18,34,Parts per million,0.010042,0.027000000000000003,22,25,Parts per billion,0.963636,1.6,14,1.0,Parts per million,0.643478,1.2,17,,Jan,2016,201601
1552091,1685,6,1,11,California,Alameda,Oakland,2016-01-12,Parts per billion,21.695652,36.3,18,34,Parts per million,0.010042,0.027000000000000003,22,25,Parts per billion,0.963636,1.6,14,1.0,Parts per million,0.6375,0.8,19,9.0,Jan,2016,201601
1552092,1686,6,1,11,California,Alameda,Oakland,2016-01-12,Parts per billion,21.695652,36.3,18,34,Parts per million,0.010042,0.027000000000000003,22,25,Parts per billion,0.928571,1.3,14,,Parts per million,0.643478,1.2,17,,Jan,2016,201601
1552093,1687,6,1,11,California,Alameda,Oakland,2016-01-12,Parts per billion,21.695652,36.3,18,34,Parts per million,0.010042,0.027000000000000003,22,25,Parts per billion,0.928571,1.3,14,,Parts per million,0.6375,0.8,19,9.0,Jan,2016,201601
1552094,1688,6,1,11,California,Alameda,Oakland,2016-01-13,Parts per billion,15.078261,33.6,19,31,Parts per million,0.016958,0.029,8,27,Parts per billion,1.340909,3.3,9,4.0,Parts per million,0.63913,1.7,20,,Jan,2016,201601
