,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1474795,40818,8,1,3001,Colorado,Adams,Welby,2015-01-01,Parts per billion,38.956522,57.0,9,54,Parts per million,0.0145,0.035,12,32,Parts per billion,1.541667,4.0,7,6.0,Parts per million,0.620833,1.2,6,,Jan,2015,201501
1474796,40819,8,1,3001,Colorado,Adams,Welby,2015-01-01,Parts per billion,38.956522,57.0,9,54,Parts per million,0.0145,0.035,12,32,Parts per billion,1.541667,4.0,7,6.0,Parts per million,0.647368,1.1,9,13.0,Jan,2015,201501
1474797,40820,8,1,3001,Colorado,Adams,Welby,2015-01-01,Parts per billion,38.956522,57.0,9,54,Parts per million,0.0145,0.035,12,32,Parts per billion,1.525,3.3,8,,Parts per million,0.620833,1.2,6,,Jan,2015,201501
1474798,40821,8,1,3001,Colorado,Adams,Welby,2015-01-01,Parts per billion,38.956522,57.0,9,54,Parts per million,0.0145,0.035,12,32,Parts per billion,1.525,3.3,8,,Parts per million,0.647368,1.1,9,13.0,Jan,2015,201501
1474799,40822,8,1,3001,Colorado,Adams,Welby,2015-01-02,Parts per billion,43.173913,60.0,8,57,Parts per million,0.008875,0.023,9,21,Parts per billion,2.4347830000000004,6.0,23,9.0,Parts per million,0.9,2.3,22,,Jan,2015,201501
1474800,40823,8,1,3001,Colorado,Adams,Welby,2015-01-02,Parts per billion,43.173913,60.0,8,57,Parts per million,0.008875,0.023,9,21,Parts per billion,2.4347830000000004,6.0,23,9.0,Parts per million,0.691667,1.5,23,17.0,Jan,2015,201501
1474801,40824,8,1,3001,Colorado,Adams,Welby,2015-01-02,Parts per billion,43.173913,60.0,8,57,Parts per million,0.008875,0.023,9,21,Parts per billion,2.442857,5.3,23,,Parts per million,0.9,2.3,22,,Jan,2015,201501
1474802,40825,8,1,3001,Colorado,Adams,Welby,2015-01-02,Parts per billion,43.173913,60.0,8,57,Parts per million,0.008875,0.023,9,21,Parts per billion,2.442857,5.3,23,,Parts per million,0.691667,1.5,23,17.0,Jan,2015,201501
1474803,40826,8,1,3001,Colorado,Adams,Welby,2015-01-03,Parts per billion,27.826087,49.0,0,46,Parts per million,0.01425,0.029,12,27,Parts per billion,1.541667,7.0,0,10.0,Parts per million,0.495833,2.0,0,,Jan,2015,201501
1474804,40827,8,1,3001,Colorado,Adams,Welby,2015-01-03,Parts per billion,27.826087,49.0,0,46,Parts per million,0.01425,0.029,12,27,Parts per billion,1.541667,7.0,0,10.0,Parts per million,0.75,1.8,1,20.0,Jan,2015,201501
