,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1478839,44990,9,3,1003,Connecticut,Hartford,East Hartford,2015-03-31,Parts per billion,12.678261,57.6,5,54,Parts per million,0.0215,0.022,23,20,Parts per billion,0.436364,1.9,5,1.0,Parts per million,0.263591,0.8859999999999999,5,,Mar,2015,201503
1478840,44991,9,3,1003,Connecticut,Hartford,East Hartford,2015-03-31,Parts per billion,12.678261,57.6,5,54,Parts per million,0.0215,0.022,23,20,Parts per billion,0.436364,1.9,5,1.0,Parts per million,0.275,0.4,6,5.0,Mar,2015,201503
1478841,44992,9,3,1003,Connecticut,Hartford,East Hartford,2015-03-31,Parts per billion,12.678261,57.6,5,54,Parts per million,0.0215,0.022,23,20,Parts per billion,0.4,0.9,5,,Parts per million,0.263591,0.8859999999999999,5,,Mar,2015,201503
1478842,44993,9,3,1003,Connecticut,Hartford,East Hartford,2015-03-31,Parts per billion,12.678261,57.6,5,54,Parts per million,0.0215,0.022,23,20,Parts per billion,0.4,0.9,5,,Parts per million,0.275,0.4,6,5.0,Mar,2015,201503
1478843,44994,9,3,1003,Connecticut,Hartford,East Hartford,2015-04-01,Parts per billion,10.154167,39.2,23,37,Parts per million,0.03275,0.05,10,46,Parts per billion,0.4454550000000001,0.9,22,0.0,Parts per million,0.218217,0.473,23,,Apr,2015,201504
1478844,44995,9,3,1003,Connecticut,Hartford,East Hartford,2015-04-01,Parts per billion,10.154167,39.2,23,37,Parts per million,0.03275,0.05,10,46,Parts per billion,0.4454550000000001,0.9,22,0.0,Parts per million,0.233333,0.3,0,3.0,Apr,2015,201504
1478845,44996,9,3,1003,Connecticut,Hartford,East Hartford,2015-04-01,Parts per billion,10.154167,39.2,23,37,Parts per million,0.03275,0.05,10,46,Parts per billion,0.4,0.8,23,,Parts per million,0.218217,0.473,23,,Apr,2015,201504
1478846,44997,9,3,1003,Connecticut,Hartford,East Hartford,2015-04-01,Parts per billion,10.154167,39.2,23,37,Parts per million,0.03275,0.05,10,46,Parts per billion,0.4,0.8,23,,Parts per million,0.233333,0.3,0,3.0,Apr,2015,201504
1478847,44998,9,3,1003,Connecticut,Hartford,East Hartford,2015-04-02,Parts per billion,21.208333,43.1,5,41,Parts per million,0.034708,0.05,14,46,Parts per billion,0.908696,1.4,5,1.0,Parts per million,0.31087,0.608,5,,Apr,2015,201504
1478848,44999,9,3,1003,Connecticut,Hartford,East Hartford,2015-04-02,Parts per billion,21.208333,43.1,5,41,Parts per million,0.034708,0.05,14,46,Parts per billion,0.908696,1.4,5,1.0,Parts per million,0.325,0.5,6,6.0,Apr,2015,201504
