,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1481987,48442,10,3,2004,Delaware,New Castle,Wilmington,2015-01-22,Parts per billion,20.877273,34.7,0,32,Parts per million,0.007917,0.015,17,14,Parts per billion,1.304348,2.5,13,3.0,Parts per million,0.3137,0.402,16,,Jan,2015,201501
1481988,48443,10,3,2004,Delaware,New Castle,Wilmington,2015-01-22,Parts per billion,20.877273,34.7,0,32,Parts per million,0.007917,0.015,17,14,Parts per billion,1.304348,2.5,13,3.0,Parts per million,0.32,0.4,19,5.0,Jan,2015,201501
1481989,48444,10,3,2004,Delaware,New Castle,Wilmington,2015-01-22,Parts per billion,20.877273,34.7,0,32,Parts per million,0.007917,0.015,17,14,Parts per billion,1.185714,1.7,17,,Parts per million,0.3137,0.402,16,,Jan,2015,201501
1481990,48445,10,3,2004,Delaware,New Castle,Wilmington,2015-01-22,Parts per billion,20.877273,34.7,0,32,Parts per million,0.007917,0.015,17,14,Parts per billion,1.185714,1.7,17,,Parts per million,0.32,0.4,19,5.0,Jan,2015,201501
1481991,48446,10,3,2004,Delaware,New Castle,Wilmington,2015-01-23,Parts per billion,20.633333,38.8,8,36,Parts per million,0.01125,0.023,10,21,Parts per billion,1.508333,2.8,10,3.0,Parts per million,0.40975,0.983,9,,Jan,2015,201501
1481992,48447,10,3,2004,Delaware,New Castle,Wilmington,2015-01-23,Parts per billion,20.633333,38.8,8,36,Parts per million,0.01125,0.023,10,21,Parts per billion,1.508333,2.8,10,3.0,Parts per million,0.4,0.6,9,7.0,Jan,2015,201501
1481993,48448,10,3,2004,Delaware,New Castle,Wilmington,2015-01-23,Parts per billion,20.633333,38.8,8,36,Parts per million,0.01125,0.023,10,21,Parts per billion,1.475,2.6,11,,Parts per million,0.40975,0.983,9,,Jan,2015,201501
1481994,48449,10,3,2004,Delaware,New Castle,Wilmington,2015-01-23,Parts per billion,20.633333,38.8,8,36,Parts per million,0.01125,0.023,10,21,Parts per billion,1.475,2.6,11,,Parts per million,0.4,0.6,9,7.0,Jan,2015,201501
1481995,48450,10,3,2004,Delaware,New Castle,Wilmington,2015-01-24,Parts per billion,17.5125,31.1,3,29,Parts per million,0.010917,0.016,20,15,Parts per billion,1.095833,3.1,21,4.0,Parts per million,0.362583,0.445,18,,Jan,2015,201501
1481996,48451,10,3,2004,Delaware,New Castle,Wilmington,2015-01-24,Parts per billion,17.5125,31.1,3,29,Parts per million,0.010917,0.016,20,15,Parts per billion,1.095833,3.1,21,4.0,Parts per million,0.379167,0.4,4,5.0,Jan,2015,201501
1481997,48452,10,3,2004,Delaware,New Castle,Wilmington,2015-01-24,Parts per billion,17.5125,31.1,3,29,Parts per million,0.010917,0.016,20,15,Parts per billion,1.075,2.6,23,,Parts per million,0.362583,0.445,18,,Jan,2015,201501
1481998,48453,10,3,2004,Delaware,New Castle,Wilmington,2015-01-24,Parts per billion,17.5125,31.1,3,29,Parts per million,0.010917,0.016,20,15,Parts per billion,1.075,2.6,23,,Parts per million,0.379167,0.4,4,5.0,Jan,2015,201501
1481999,48454,10,3,2004,Delaware,New Castle,Wilmington,2015-01-25,Parts per billion,11.641667,19.8,18,18,Parts per million,0.017,0.022,8,20,Parts per billion,1.9625,4.6,1,6.0,Parts per million,0.327208,0.417,18,,Jan,2015,201501
1482000,48455,10,3,2004,Delaware,New Castle,Wilmington,2015-01-25,Parts per billion,11.641667,19.8,18,18,Parts per million,0.017,0.022,8,20,Parts per billion,1.9625,4.6,1,6.0,Parts per million,0.320833,0.4,19,5.0,Jan,2015,201501
1482001,48456,10,3,2004,Delaware,New Castle,Wilmington,2015-01-25,Parts per billion,11.641667,19.8,18,18,Parts per million,0.017,0.022,8,20,Parts per billion,1.925,3.5,2,,Parts per million,0.327208,0.417,18,,Jan,2015,201501
1482002,48457,10,3,2004,Delaware,New Castle,Wilmington,2015-01-25,Parts per billion,11.641667,19.8,18,18,Parts per million,0.017,0.022,8,20,Parts per billion,1.925,3.5,2,,Parts per million,0.320833,0.4,19,5.0,Jan,2015,201501
1482003,48458,10,3,2004,Delaware,New Castle,Wilmington,2015-01-26,Parts per billion,15.920832999999998,23.4,16,22,Parts per million,0.022125,0.031,22,29,Parts per billion,0.756522,1.4,0,1.0,Parts per million,0.31275,0.368,11,,Jan,2015,201501
1482004,48459,10,3,2004,Delaware,New Castle,Wilmington,2015-01-26,Parts per billion,15.920832999999998,23.4,16,22,Parts per million,0.022125,0.031,22,29,Parts per billion,0.756522,1.4,0,1.0,Parts per million,0.314286,0.4,0,5.0,Jan,2015,201501
