,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1482429,48884,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-01,Parts per billion,18.579167,38.7,0,36,Parts per million,0.019083000000000003,0.03,9,28,Parts per billion,1.045833,2.6,19,3.0,Parts per million,0.362917,0.785,0,,Jan,2015,201501
1482430,48885,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-01,Parts per billion,18.579167,38.7,0,36,Parts per million,0.019083000000000003,0.03,9,28,Parts per billion,1.045833,2.6,19,3.0,Parts per million,0.331579,0.5,5,6.0,Jan,2015,201501
1482431,48886,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-01,Parts per billion,18.579167,38.7,0,36,Parts per million,0.019083000000000003,0.03,9,28,Parts per billion,1.0125,1.8,20,,Parts per million,0.362917,0.785,0,,Jan,2015,201501
1482432,48887,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-01,Parts per billion,18.579167,38.7,0,36,Parts per million,0.019083000000000003,0.03,9,28,Parts per billion,1.0125,1.8,20,,Parts per million,0.331579,0.5,5,6.0,Jan,2015,201501
1482433,48888,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-02,Parts per billion,23.608333,42.3,22,40,Parts per million,0.009833,0.022,9,20,Parts per billion,1.7041669999999998,4.7,23,6.0,Parts per million,0.395958,1.582,23,,Jan,2015,201501
1482434,48889,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-02,Parts per billion,23.608333,42.3,22,40,Parts per million,0.009833,0.022,9,20,Parts per billion,1.7041669999999998,4.7,23,6.0,Parts per million,0.291667,0.8,23,9.0,Jan,2015,201501
1482435,48890,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-02,Parts per billion,23.608333,42.3,22,40,Parts per million,0.009833,0.022,9,20,Parts per billion,1.675,3.7,23,,Parts per million,0.395958,1.582,23,,Jan,2015,201501
1482436,48891,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-02,Parts per billion,23.608333,42.3,22,40,Parts per million,0.009833,0.022,9,20,Parts per billion,1.675,3.7,23,,Parts per million,0.291667,0.8,23,9.0,Jan,2015,201501
1482437,48892,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-03,Parts per billion,26.454167,44.2,0,42,Parts per million,0.002458,0.005,7,5,Parts per billion,0.85,4.5,0,6.0,Parts per million,0.586917,1.694,1,,Jan,2015,201501
1482438,48893,11,1,43,District_Of_Columbia,District_Of_Columbia,Washington,2015-01-03,Parts per billion,26.454167,44.2,0,42,Parts per million,0.002458,0.005,7,5,Parts per billion,0.85,4.5,0,6.0,Parts per million,0.675,1.3,2,15.0,Jan,2015,201501
