,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1558576,8784,12,95,2002,Florida,Orange,Winter Park,2016-01-01,Parts per billion,6.5833330000000005,16.0,3,15,Parts per million,0.017667,0.028,10,26,Parts per billion,0.458333,1.0,3,1.0,Parts per million,0.520833,0.8,2,,Jan,2016,201601
1558577,8785,12,95,2002,Florida,Orange,Winter Park,2016-01-01,Parts per billion,6.5833330000000005,16.0,3,15,Parts per million,0.017667,0.028,10,26,Parts per billion,0.458333,1.0,3,1.0,Parts per million,0.526316,0.7,5,8.0,Jan,2016,201601
1558578,8786,12,95,2002,Florida,Orange,Winter Park,2016-01-01,Parts per billion,6.5833330000000005,16.0,3,15,Parts per million,0.017667,0.028,10,26,Parts per billion,0.4375,1.0,14,,Parts per million,0.520833,0.8,2,,Jan,2016,201601
1558579,8787,12,95,2002,Florida,Orange,Winter Park,2016-01-01,Parts per billion,6.5833330000000005,16.0,3,15,Parts per million,0.017667,0.028,10,26,Parts per billion,0.4375,1.0,14,,Parts per million,0.526316,0.7,5,8.0,Jan,2016,201601
1558580,8788,12,95,2002,Florida,Orange,Winter Park,2016-01-02,Parts per billion,2.583333,5.0,20,5,Parts per million,0.019542,0.022,10,20,Parts per billion,0.041667,1.0,14,1.0,Parts per million,0.395833,0.4,0,,Jan,2016,201601
1558581,8789,12,95,2002,Florida,Orange,Winter Park,2016-01-02,Parts per billion,2.583333,5.0,20,5,Parts per million,0.019542,0.022,10,20,Parts per billion,0.041667,1.0,14,1.0,Parts per million,0.4,0.4,0,5.0,Jan,2016,201601
1558582,8790,12,95,2002,Florida,Orange,Winter Park,2016-01-02,Parts per billion,2.583333,5.0,20,5,Parts per million,0.019542,0.022,10,20,Parts per billion,0.0375,0.3,14,,Parts per million,0.395833,0.4,0,,Jan,2016,201601
1558583,8791,12,95,2002,Florida,Orange,Winter Park,2016-01-02,Parts per billion,2.583333,5.0,20,5,Parts per million,0.019542,0.022,10,20,Parts per billion,0.0375,0.3,14,,Parts per million,0.4,0.4,0,5.0,Jan,2016,201601
1558584,8796,12,95,2002,Florida,Orange,Winter Park,2016-01-04,Parts per billion,4.5,13.0,18,12,Parts per million,0.028583,0.035,10,32,Parts per billion,0.666667,1.0,4,1.0,Parts per million,0.470833,0.5,3,,Jan,2016,201601
1558585,8797,12,95,2002,Florida,Orange,Winter Park,2016-01-04,Parts per billion,4.5,13.0,18,12,Parts per million,0.028583,0.035,10,32,Parts per billion,0.666667,1.0,4,1.0,Parts per million,0.470833,0.5,7,6.0,Jan,2016,201601
1558586,8798,12,95,2002,Florida,Orange,Winter Park,2016-01-04,Parts per billion,4.5,13.0,18,12,Parts per million,0.028583,0.035,10,32,Parts per billion,0.65,1.0,11,,Parts per million,0.470833,0.5,3,,Jan,2016,201601
1558587,8799,12,95,2002,Florida,Orange,Winter Park,2016-01-04,Parts per billion,4.5,13.0,18,12,Parts per million,0.028583,0.035,10,32,Parts per billion,0.65,1.0,11,,Parts per million,0.470833,0.5,7,6.0,Jan,2016,201601
1558588,8800,12,95,2002,Florida,Orange,Winter Park,2016-01-05,Parts per billion,2.708333,6.0,5,6,Parts per million,0.03675,0.042,9,39,Parts per billion,0.125,1.0,0,1.0,Parts per million,0.495833,0.5,0,,Jan,2016,201601
1558589,8801,12,95,2002,Florida,Orange,Winter Park,2016-01-05,Parts per billion,2.708333,6.0,5,6,Parts per million,0.03675,0.042,9,39,Parts per billion,0.125,1.0,0,1.0,Parts per million,0.5,0.5,0,6.0,Jan,2016,201601
1558590,8802,12,95,2002,Florida,Orange,Winter Park,2016-01-05,Parts per billion,2.708333,6.0,5,6,Parts per million,0.03675,0.042,9,39,Parts per billion,0.1125,0.6,2,,Parts per million,0.495833,0.5,0,,Jan,2016,201601
