,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1484117,51610,13,89,2,Georgia,DeKalb,Not in a city,2015-01-01,Parts per billion,14.883333,23.4,19,22,Parts per million,0.011708,0.025,11,23,Parts per billion,0.370833,1.3,13,1.0,Parts per million,0.437125,0.665,0,,Jan,2015,201501
1484118,51611,13,89,2,Georgia,DeKalb,Not in a city,2015-01-01,Parts per billion,14.883333,23.4,19,22,Parts per million,0.011708,0.025,11,23,Parts per billion,0.370833,1.3,13,1.0,Parts per million,0.431579,0.6,5,7.0,Jan,2015,201501
1484119,51612,13,89,2,Georgia,DeKalb,Not in a city,2015-01-01,Parts per billion,14.883333,23.4,19,22,Parts per million,0.011708,0.025,11,23,Parts per billion,0.35,1.0,14,,Parts per million,0.437125,0.665,0,,Jan,2015,201501
1484120,51613,13,89,2,Georgia,DeKalb,Not in a city,2015-01-01,Parts per billion,14.883333,23.4,19,22,Parts per million,0.011708,0.025,11,23,Parts per billion,0.35,1.0,14,,Parts per million,0.431579,0.6,5,7.0,Jan,2015,201501
1484121,51614,13,89,2,Georgia,DeKalb,Not in a city,2015-01-02,Parts per billion,17.033333,28.4,16,26,Parts per million,0.007833,0.019,21,18,Parts per billion,0.125,0.2,8,0.0,Parts per million,0.374917,0.515,11,,Jan,2015,201501
1484122,51615,13,89,2,Georgia,DeKalb,Not in a city,2015-01-02,Parts per billion,17.033333,28.4,16,26,Parts per million,0.007833,0.019,21,18,Parts per billion,0.125,0.2,8,0.0,Parts per million,0.395833,0.5,13,6.0,Jan,2015,201501
1484123,51616,13,89,2,Georgia,DeKalb,Not in a city,2015-01-02,Parts per billion,17.033333,28.4,16,26,Parts per million,0.007833,0.019,21,18,Parts per billion,0.1125,0.2,11,,Parts per million,0.374917,0.515,11,,Jan,2015,201501
1484124,51617,13,89,2,Georgia,DeKalb,Not in a city,2015-01-02,Parts per billion,17.033333,28.4,16,26,Parts per million,0.007833,0.019,21,18,Parts per billion,0.1125,0.2,11,,Parts per million,0.395833,0.5,13,6.0,Jan,2015,201501
1484125,51618,13,89,2,Georgia,DeKalb,Not in a city,2015-01-03,Parts per billion,4.591667,10.3,17,9,Parts per million,0.012125,0.018000000000000002,0,17,Parts per billion,0.1,0.1,0,0.0,Parts per million,0.211083,0.285,17,,Jan,2015,201501
1484126,51619,13,89,2,Georgia,DeKalb,Not in a city,2015-01-03,Parts per billion,4.591667,10.3,17,9,Parts per million,0.012125,0.018000000000000002,0,17,Parts per billion,0.1,0.1,0,0.0,Parts per million,0.208333,0.3,0,3.0,Jan,2015,201501
1484127,51620,13,89,2,Georgia,DeKalb,Not in a city,2015-01-03,Parts per billion,4.591667,10.3,17,9,Parts per million,0.012125,0.018000000000000002,0,17,Parts per billion,0.1,0.1,2,,Parts per million,0.211083,0.285,17,,Jan,2015,201501
1484128,51621,13,89,2,Georgia,DeKalb,Not in a city,2015-01-03,Parts per billion,4.591667,10.3,17,9,Parts per million,0.012125,0.018000000000000002,0,17,Parts per billion,0.1,0.1,2,,Parts per million,0.208333,0.3,0,3.0,Jan,2015,201501
1484129,51622,13,89,2,Georgia,DeKalb,Not in a city,2015-01-04,Parts per billion,5.31,12.3,3,11,Parts per million,0.019842,0.025,14,23,Parts per billion,0.2,1.2,14,1.0,Parts per million,0.20719,0.38,1,,Jan,2015,201501
1484130,51623,13,89,2,Georgia,DeKalb,Not in a city,2015-01-04,Parts per billion,5.31,12.3,3,11,Parts per million,0.019842,0.025,14,23,Parts per billion,0.2,1.2,14,1.0,Parts per million,0.229167,0.3,1,3.0,Jan,2015,201501
1484131,51624,13,89,2,Georgia,DeKalb,Not in a city,2015-01-04,Parts per billion,5.31,12.3,3,11,Parts per million,0.019842,0.025,14,23,Parts per billion,0.2,0.7,14,,Parts per million,0.20719,0.38,1,,Jan,2015,201501
1484132,51625,13,89,2,Georgia,DeKalb,Not in a city,2015-01-04,Parts per billion,5.31,12.3,3,11,Parts per million,0.019842,0.025,14,23,Parts per billion,0.2,0.7,14,,Parts per million,0.229167,0.3,1,3.0,Jan,2015,201501
1484133,51626,13,89,2,Georgia,DeKalb,Not in a city,2015-01-05,Parts per billion,11.225,28.6,19,26,Parts per million,0.012125,0.019,8,18,Parts per billion,0.136364,0.2,13,0.0,Parts per million,0.233,0.381,23,,Jan,2015,201501
1484134,51627,13,89,2,Georgia,DeKalb,Not in a city,2015-01-05,Parts per billion,11.225,28.6,19,26,Parts per million,0.012125,0.019,8,18,Parts per billion,0.136364,0.2,13,0.0,Parts per million,0.220833,0.3,19,3.0,Jan,2015,201501
1484135,51628,13,89,2,Georgia,DeKalb,Not in a city,2015-01-05,Parts per billion,11.225,28.6,19,26,Parts per million,0.012125,0.019,8,18,Parts per billion,0.11428599999999997,0.2,20,,Parts per million,0.233,0.381,23,,Jan,2015,201501
1484136,51629,13,89,2,Georgia,DeKalb,Not in a city,2015-01-05,Parts per billion,11.225,28.6,19,26,Parts per million,0.012125,0.019,8,18,Parts per billion,0.11428599999999997,0.2,20,,Parts per million,0.220833,0.3,19,3.0,Jan,2015,201501
1484137,51630,13,89,2,Georgia,DeKalb,Not in a city,2015-01-06,Parts per billion,14.579167000000002,24.7,1,23,Parts per million,0.015583,0.025,11,23,Parts per billion,0.595833,1.6,10,1.0,Parts per million,0.5255,1.142,7,,Jan,2015,201501
1484138,51631,13,89,2,Georgia,DeKalb,Not in a city,2015-01-06,Parts per billion,14.579167000000002,24.7,1,23,Parts per million,0.015583,0.025,11,23,Parts per billion,0.595833,1.6,10,1.0,Parts per million,0.5125,0.7,7,8.0,Jan,2015,201501
1484139,51632,13,89,2,Georgia,DeKalb,Not in a city,2015-01-06,Parts per billion,14.579167000000002,24.7,1,23,Parts per million,0.015583,0.025,11,23,Parts per billion,0.5625,1.1,11,,Parts per million,0.5255,1.142,7,,Jan,2015,201501
1484140,51633,13,89,2,Georgia,DeKalb,Not in a city,2015-01-06,Parts per billion,14.579167000000002,24.7,1,23,Parts per million,0.015583,0.025,11,23,Parts per billion,0.5625,1.1,11,,Parts per million,0.5125,0.7,7,8.0,Jan,2015,201501
1484141,51634,13,89,2,Georgia,DeKalb,Not in a city,2015-01-07,Parts per billion,8.916667,15.4,6,14,Parts per million,0.020792,0.025,13,23,Parts per billion,0.554167,1.1,16,1.0,Parts per million,0.370292,0.433,0,,Jan,2015,201501
1484142,51635,13,89,2,Georgia,DeKalb,Not in a city,2015-01-07,Parts per billion,8.916667,15.4,6,14,Parts per million,0.020792,0.025,13,23,Parts per billion,0.554167,1.1,16,1.0,Parts per million,0.391667,0.4,0,5.0,Jan,2015,201501
1484143,51636,13,89,2,Georgia,DeKalb,Not in a city,2015-01-07,Parts per billion,8.916667,15.4,6,14,Parts per million,0.020792,0.025,13,23,Parts per billion,0.5375,1.0,17,,Parts per million,0.370292,0.433,0,,Jan,2015,201501
1484144,51637,13,89,2,Georgia,DeKalb,Not in a city,2015-01-07,Parts per billion,8.916667,15.4,6,14,Parts per million,0.020792,0.025,13,23,Parts per billion,0.5375,1.0,17,,Parts per million,0.391667,0.4,0,5.0,Jan,2015,201501
1484145,51638,13,89,2,Georgia,DeKalb,Not in a city,2015-01-08,Parts per billion,9.479167,25.2,23,24,Parts per million,0.017833,0.028,10,26,Parts per billion,0.65,3.5,21,4.0,Parts per million,0.239667,0.348,23,,Jan,2015,201501
1484146,51639,13,89,2,Georgia,DeKalb,Not in a city,2015-01-08,Parts per billion,9.479167,25.2,23,24,Parts per million,0.017833,0.028,10,26,Parts per billion,0.65,3.5,21,4.0,Parts per million,0.216667,0.3,0,3.0,Jan,2015,201501
1484147,51640,13,89,2,Georgia,DeKalb,Not in a city,2015-01-08,Parts per billion,9.479167,25.2,23,24,Parts per million,0.017833,0.028,10,26,Parts per billion,0.625,2.5,23,,Parts per million,0.239667,0.348,23,,Jan,2015,201501
1484148,51641,13,89,2,Georgia,DeKalb,Not in a city,2015-01-08,Parts per billion,9.479167,25.2,23,24,Parts per million,0.017833,0.028,10,26,Parts per billion,0.625,2.5,23,,Parts per million,0.216667,0.3,0,3.0,Jan,2015,201501
1484149,51642,13,89,2,Georgia,DeKalb,Not in a city,2015-01-09,Parts per billion,19.533333,39.6,7,37,Parts per million,0.017041999999999998,0.025,10,23,Parts per billion,1.116667,1.9,10,1.0,Parts per million,0.333042,0.642,7,,Jan,2015,201501
1484150,51643,13,89,2,Georgia,DeKalb,Not in a city,2015-01-09,Parts per billion,19.533333,39.6,7,37,Parts per million,0.017041999999999998,0.025,10,23,Parts per billion,1.116667,1.9,10,1.0,Parts per million,0.3375,0.5,6,6.0,Jan,2015,201501
1484151,51644,13,89,2,Georgia,DeKalb,Not in a city,2015-01-09,Parts per billion,19.533333,39.6,7,37,Parts per million,0.017041999999999998,0.025,10,23,Parts per billion,1.075,1.5,11,,Parts per million,0.333042,0.642,7,,Jan,2015,201501
