,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1485501,52994,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.6,5.3,2,7.0,Parts per million,0.404545,0.5,23,,Jan,2015,201501
1485502,52995,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.6,5.3,2,7.0,Parts per million,0.4,0.4,7,5.0,Jan,2015,201501
1485503,52996,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.6,5.3,2,7.0,Parts per million,0.108696,0.2,1,,Jan,2015,201501
1485504,52997,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.6,5.3,2,7.0,Parts per million,0.1,0.1,6,1.0,Jan,2015,201501
1485505,52998,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.385714,1.8,14,,Parts per million,0.404545,0.5,23,,Jan,2015,201501
1485506,52999,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.385714,1.8,14,,Parts per million,0.4,0.4,7,5.0,Jan,2015,201501
1485507,53000,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.385714,1.8,14,,Parts per million,0.108696,0.2,1,,Jan,2015,201501
1485508,53001,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.385714,1.8,14,,Parts per million,0.1,0.1,6,1.0,Jan,2015,201501
1485509,53002,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.943478,7.4,0,10.0,Parts per million,0.404545,0.5,23,,Jan,2015,201501
1485510,53003,15,3,10,Hawaii,Honolulu,Not in a city,2015-01-01,Parts per billion,3.259091,8.9,23,8,Parts per million,0.032042,0.041,9,38,Parts per billion,1.943478,7.4,0,10.0,Parts per million,0.4,0.4,7,5.0,Jan,2015,201501
