,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1491021,58522,17,31,4201,Illinois,Cook,Northbrook,2015-03-05,Parts per billion,18.175,30.3,7,28,Parts per million,0.029125,0.038,9,35,Parts per billion,0.2625,0.8,17,0.0,Parts per million,0.259417,0.312,8,,Mar,2015,201503
1491022,58523,17,31,4201,Illinois,Cook,Northbrook,2015-03-05,Parts per billion,18.175,30.3,7,28,Parts per million,0.029125,0.038,9,35,Parts per billion,0.2625,0.8,17,0.0,Parts per million,0.25,0.3,7,3.0,Mar,2015,201503
1491023,58524,17,31,4201,Illinois,Cook,Northbrook,2015-03-05,Parts per billion,18.175,30.3,7,28,Parts per million,0.029125,0.038,9,35,Parts per billion,0.15,0.3,20,,Parts per million,0.259417,0.312,8,,Mar,2015,201503
1491024,58525,17,31,4201,Illinois,Cook,Northbrook,2015-03-05,Parts per billion,18.175,30.3,7,28,Parts per million,0.029125,0.038,9,35,Parts per billion,0.15,0.3,20,,Parts per million,0.25,0.3,7,3.0,Mar,2015,201503
1491025,58526,17,31,4201,Illinois,Cook,Northbrook,2015-03-06,Parts per billion,19.468182,35.6,5,33,Parts per million,0.030917,0.041,12,38,Parts per billion,1.041667,4.9,11,6.0,Parts per million,0.259818,0.321,7,,Mar,2015,201503
1491026,58527,17,31,4201,Illinois,Cook,Northbrook,2015-03-06,Parts per billion,19.468182,35.6,5,33,Parts per million,0.030917,0.041,12,38,Parts per billion,1.041667,4.9,11,6.0,Parts per million,0.279167,0.3,0,3.0,Mar,2015,201503
1491027,58528,17,31,4201,Illinois,Cook,Northbrook,2015-03-06,Parts per billion,19.468182,35.6,5,33,Parts per million,0.030917,0.041,12,38,Parts per billion,1.0125,2.6,11,,Parts per million,0.259818,0.321,7,,Mar,2015,201503
1491028,58529,17,31,4201,Illinois,Cook,Northbrook,2015-03-06,Parts per billion,19.468182,35.6,5,33,Parts per million,0.030917,0.041,12,38,Parts per billion,1.0125,2.6,11,,Parts per million,0.279167,0.3,0,3.0,Mar,2015,201503
1491029,58530,17,31,4201,Illinois,Cook,Northbrook,2015-03-07,Parts per billion,14.425,21.0,6,20,Parts per million,0.035167000000000004,0.047,11,44,Parts per billion,0.7375,1.4,10,1.0,Parts per million,0.199875,0.236,7,,Mar,2015,201503
1491030,58531,17,31,4201,Illinois,Cook,Northbrook,2015-03-07,Parts per billion,14.425,21.0,6,20,Parts per million,0.035167000000000004,0.047,11,44,Parts per billion,0.7375,1.4,10,1.0,Parts per million,0.2,0.2,0,2.0,Mar,2015,201503
1491031,58532,17,31,4201,Illinois,Cook,Northbrook,2015-03-07,Parts per billion,14.425,21.0,6,20,Parts per million,0.035167000000000004,0.047,11,44,Parts per billion,0.7125,1.3,11,,Parts per million,0.199875,0.236,7,,Mar,2015,201503
1491032,58533,17,31,4201,Illinois,Cook,Northbrook,2015-03-07,Parts per billion,14.425,21.0,6,20,Parts per million,0.035167000000000004,0.047,11,44,Parts per billion,0.7125,1.3,11,,Parts per million,0.2,0.2,0,2.0,Mar,2015,201503
1491033,58534,17,31,4201,Illinois,Cook,Northbrook,2015-03-08,Parts per billion,11.9,23.3,23,22,Parts per million,0.030792,0.042,10,39,Parts per billion,0.183333,0.5,9,0.0,Parts per million,0.1915,0.287,22,,Mar,2015,201503
1491034,58535,17,31,4201,Illinois,Cook,Northbrook,2015-03-08,Parts per billion,11.9,23.3,23,22,Parts per million,0.030792,0.042,10,39,Parts per billion,0.183333,0.5,9,0.0,Parts per million,0.2,0.2,0,2.0,Mar,2015,201503
1491035,58536,17,31,4201,Illinois,Cook,Northbrook,2015-03-08,Parts per billion,11.9,23.3,23,22,Parts per million,0.030792,0.042,10,39,Parts per billion,0.15,0.3,2,,Parts per million,0.1915,0.287,22,,Mar,2015,201503
1491036,58537,17,31,4201,Illinois,Cook,Northbrook,2015-03-08,Parts per billion,11.9,23.3,23,22,Parts per million,0.030792,0.042,10,39,Parts per billion,0.15,0.3,2,,Parts per million,0.2,0.2,0,2.0,Mar,2015,201503
1491037,58538,17,31,4201,Illinois,Cook,Northbrook,2015-03-09,Parts per billion,25.729167,43.3,21,41,Parts per million,0.022625,0.037000000000000005,10,34,Parts per billion,0.970833,4.4,15,6.0,Parts per million,0.303458,0.5489999999999999,8,,Mar,2015,201503
1491038,58539,17,31,4201,Illinois,Cook,Northbrook,2015-03-09,Parts per billion,25.729167,43.3,21,41,Parts per million,0.022625,0.037000000000000005,10,34,Parts per billion,0.970833,4.4,15,6.0,Parts per million,0.291667,0.4,8,5.0,Mar,2015,201503
1491039,58540,17,31,4201,Illinois,Cook,Northbrook,2015-03-09,Parts per billion,25.729167,43.3,21,41,Parts per million,0.022625,0.037000000000000005,10,34,Parts per billion,0.9375,2.8,17,,Parts per million,0.303458,0.5489999999999999,8,,Mar,2015,201503
1491040,58541,17,31,4201,Illinois,Cook,Northbrook,2015-03-09,Parts per billion,25.729167,43.3,21,41,Parts per million,0.022625,0.037000000000000005,10,34,Parts per billion,0.9375,2.8,17,,Parts per million,0.291667,0.4,8,5.0,Mar,2015,201503
1491041,58542,17,31,4201,Illinois,Cook,Northbrook,2015-03-10,Parts per billion,16.358333,25.4,8,24,Parts per million,0.020333,0.033,12,31,Parts per billion,0.8,1.6,17,1.0,Parts per million,0.257583,0.324,10,,Mar,2015,201503
1491042,58543,17,31,4201,Illinois,Cook,Northbrook,2015-03-10,Parts per billion,16.358333,25.4,8,24,Parts per million,0.020333,0.033,12,31,Parts per billion,0.8,1.6,17,1.0,Parts per million,0.275,0.3,0,3.0,Mar,2015,201503
