,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1493375,60892,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-07,Parts per billion,9.770833,13.6,23,12,Parts per million,0.028875,0.032,9,30,Parts per billion,0.870833,1.5,0,1.0,Parts per million,0.190909,0.2,14,,Jan,2015,201501
1493376,60893,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-07,Parts per billion,9.770833,13.6,23,12,Parts per million,0.028875,0.032,9,30,Parts per billion,0.870833,1.5,0,1.0,Parts per million,0.2,0.2,18,2.0,Jan,2015,201501
1493377,60894,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-07,Parts per billion,9.770833,13.6,23,12,Parts per million,0.028875,0.032,9,30,Parts per billion,0.8375,1.4,2,,Parts per million,0.190909,0.2,14,,Jan,2015,201501
1493378,60895,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-07,Parts per billion,9.770833,13.6,23,12,Parts per million,0.028875,0.032,9,30,Parts per billion,0.8375,1.4,2,,Parts per million,0.2,0.2,18,2.0,Jan,2015,201501
1493379,60896,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-08,Parts per billion,17.204167,29.7,7,27,Parts per million,0.022125,0.028,22,26,Parts per billion,6.304167,16.4,13,23.0,Parts per million,0.25,0.3,7,,Jan,2015,201501
1493380,60897,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-08,Parts per billion,17.204167,29.7,7,27,Parts per million,0.022125,0.028,22,26,Parts per billion,6.304167,16.4,13,23.0,Parts per million,0.258333,0.3,10,3.0,Jan,2015,201501
1493381,60898,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-08,Parts per billion,17.204167,29.7,7,27,Parts per million,0.022125,0.028,22,26,Parts per billion,6.2875,13.2,11,,Parts per million,0.25,0.3,7,,Jan,2015,201501
1493382,60899,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-08,Parts per billion,17.204167,29.7,7,27,Parts per million,0.022125,0.028,22,26,Parts per billion,6.2875,13.2,11,,Parts per million,0.258333,0.3,10,3.0,Jan,2015,201501
1493383,60900,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-09,Parts per billion,9.7375,13.3,19,12,Parts per million,0.028958,0.034,9,31,Parts per billion,0.758333,1.6,0,1.0,Parts per million,0.204167,0.3,17,,Jan,2015,201501
1493384,60901,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-09,Parts per billion,9.7375,13.3,19,12,Parts per million,0.028958,0.034,9,31,Parts per billion,0.758333,1.6,0,1.0,Parts per million,0.204167,0.3,0,3.0,Jan,2015,201501
1493385,60902,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-09,Parts per billion,9.7375,13.3,19,12,Parts per million,0.028958,0.034,9,31,Parts per billion,0.725,1.5,2,,Parts per million,0.204167,0.3,17,,Jan,2015,201501
1493386,60903,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-09,Parts per billion,9.7375,13.3,19,12,Parts per million,0.028958,0.034,9,31,Parts per billion,0.725,1.5,2,,Parts per million,0.204167,0.3,0,3.0,Jan,2015,201501
1493387,60904,18,97,78,Indiana,Marion,Indianapolis (Remainder),2015-01-10,Parts per billion,20.904167,38.1,7,36,Parts per million,0.021125,0.028,10,26,Parts per billion,10.890909,50.2,10,69.0,Parts per million,0.304167,0.4,8,,Jan,2015,201501
