,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1494677,62222,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.038,0.038,23,35,Parts per billion,0.152174,0.4,19,0.0,Parts per million,0.263696,1.005,19,,Mar,2015,201503
1494678,62223,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.038,0.038,23,35,Parts per billion,0.152174,0.4,19,0.0,Parts per million,0.2375,0.4,20,5.0,Mar,2015,201503
1494679,62224,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.038,0.038,23,35,Parts per billion,0.14285699999999998,0.3,20,,Parts per million,0.263696,1.005,19,,Mar,2015,201503
1494680,62225,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.038,0.038,23,35,Parts per billion,0.14285699999999998,0.3,20,,Parts per million,0.2375,0.4,20,5.0,Mar,2015,201503
1494681,62226,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.037000000000000005,0.037000000000000005,23,34,Parts per billion,0.152174,0.4,19,0.0,Parts per million,0.263696,1.005,19,,Mar,2015,201503
1494682,62227,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.037000000000000005,0.037000000000000005,23,34,Parts per billion,0.152174,0.4,19,0.0,Parts per million,0.2375,0.4,20,5.0,Mar,2015,201503
1494683,62228,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.037000000000000005,0.037000000000000005,23,34,Parts per billion,0.14285699999999998,0.3,20,,Parts per million,0.263696,1.005,19,,Mar,2015,201503
1494684,62229,19,153,30,Iowa,Polk,Des Moines,2015-03-31,Parts per billion,10.058333,41.1,19,39,Parts per million,0.037000000000000005,0.037000000000000005,23,34,Parts per billion,0.14285699999999998,0.3,20,,Parts per million,0.2375,0.4,20,5.0,Mar,2015,201503
1494685,62230,19,153,30,Iowa,Polk,Des Moines,2015-04-01,Parts per billion,4.3,8.9,6,8,Parts per million,0.045208,0.054000000000000006,11,50,Parts per billion,0.330435,1.0,8,1.0,Parts per million,0.197304,0.243,17,,Apr,2015,201504
1494686,62231,19,153,30,Iowa,Polk,Des Moines,2015-04-01,Parts per billion,4.3,8.9,6,8,Parts per million,0.045208,0.054000000000000006,11,50,Parts per billion,0.330435,1.0,8,1.0,Parts per million,0.229167,0.4,0,5.0,Apr,2015,201504
