,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1561312,11960,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-01,Parts per billion,8.375,17.9,17,16,Parts per million,0.023375,0.027000000000000003,9,25,Parts per billion,0.829167,1.0,14,1.0,Parts per million,0.34541700000000003,0.5429999999999999,18,,Jan,2016,201601
1561313,11961,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-01,Parts per billion,8.375,17.9,17,16,Parts per million,0.023375,0.027000000000000003,9,25,Parts per billion,0.829167,1.0,14,1.0,Parts per million,0.342105,0.4,13,5.0,Jan,2016,201601
1561314,11962,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-01,Parts per billion,8.375,17.9,17,16,Parts per million,0.023375,0.027000000000000003,9,25,Parts per billion,0.8,0.9,14,,Parts per million,0.34541700000000003,0.5429999999999999,18,,Jan,2016,201601
1561315,11963,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-01,Parts per billion,8.375,17.9,17,16,Parts per million,0.023375,0.027000000000000003,9,25,Parts per billion,0.8,0.9,14,,Parts per million,0.342105,0.4,13,5.0,Jan,2016,201601
1561316,11964,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-02,Parts per billion,14.975,36.5,18,34,Parts per million,0.016833,0.024,9,22,Parts per billion,1.004167,1.8,18,1.0,Parts per million,0.378292,0.741,18,,Jan,2016,201601
1561317,11965,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-02,Parts per billion,14.975,36.5,18,34,Parts per million,0.016833,0.024,9,22,Parts per billion,1.004167,1.8,18,1.0,Parts per million,0.375,0.5,20,6.0,Jan,2016,201601
1561318,11966,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-02,Parts per billion,14.975,36.5,18,34,Parts per million,0.016833,0.024,9,22,Parts per billion,0.9625,1.4,20,,Parts per million,0.378292,0.741,18,,Jan,2016,201601
1561319,11967,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-02,Parts per billion,14.975,36.5,18,34,Parts per million,0.016833,0.024,9,22,Parts per billion,0.9625,1.4,20,,Parts per million,0.375,0.5,20,6.0,Jan,2016,201601
1561320,11968,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-03,Parts per billion,5.616667,18.8,0,17,Parts per million,0.029583,0.032,8,30,Parts per billion,1.025,1.4,12,1.0,Parts per million,0.220333,0.366,0,,Jan,2016,201601
1561321,11969,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-03,Parts per billion,5.616667,18.8,0,17,Parts per million,0.029583,0.032,8,30,Parts per billion,1.025,1.4,12,1.0,Parts per million,0.25416700000000003,0.5,0,6.0,Jan,2016,201601
1561322,11970,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-03,Parts per billion,5.616667,18.8,0,17,Parts per million,0.029583,0.032,8,30,Parts per billion,0.9875,1.3,17,,Parts per million,0.220333,0.366,0,,Jan,2016,201601
1561323,11971,20,209,21,Kansas,Wyandotte,Kansas City,2016-01-03,Parts per billion,5.616667,18.8,0,17,Parts per million,0.029583,0.032,8,30,Parts per billion,0.9875,1.3,17,,Parts per million,0.25416700000000003,0.5,0,6.0,Jan,2016,201601
