,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1499751,68168,21,111,67,Kentucky,Jefferson,Louisville,2015-01-01,Parts per billion,12.495833,23.7,7,22,Parts per million,0.015708,0.026,10,24,Parts per billion,6.9625,15.7,10,21.0,Parts per million,0.26,0.35,1,,Jan,2015,201501
1499752,68169,21,111,67,Kentucky,Jefferson,Louisville,2015-01-01,Parts per billion,12.495833,23.7,7,22,Parts per million,0.015708,0.026,10,24,Parts per billion,6.9625,15.7,10,21.0,Parts per million,0.263158,0.3,5,3.0,Jan,2015,201501
1499753,68170,21,111,67,Kentucky,Jefferson,Louisville,2015-01-01,Parts per billion,12.495833,23.7,7,22,Parts per million,0.015708,0.026,10,24,Parts per billion,6.9125,11.6,11,,Parts per million,0.26,0.35,1,,Jan,2015,201501
1499754,68171,21,111,67,Kentucky,Jefferson,Louisville,2015-01-01,Parts per billion,12.495833,23.7,7,22,Parts per million,0.015708,0.026,10,24,Parts per billion,6.9125,11.6,11,,Parts per million,0.263158,0.3,5,3.0,Jan,2015,201501
1499755,68172,21,111,67,Kentucky,Jefferson,Louisville,2015-01-02,Parts per billion,11.0,15.6,11,14,Parts per million,0.01025,0.013,21,12,Parts per billion,2.629167,8.4,2,11.0,Parts per million,0.3025,0.38,9,,Jan,2015,201501
1499756,68173,21,111,67,Kentucky,Jefferson,Louisville,2015-01-02,Parts per billion,11.0,15.6,11,14,Parts per million,0.01025,0.013,21,12,Parts per billion,2.629167,8.4,2,11.0,Parts per million,0.3,0.3,0,3.0,Jan,2015,201501
1499757,68174,21,111,67,Kentucky,Jefferson,Louisville,2015-01-02,Parts per billion,11.0,15.6,11,14,Parts per million,0.01025,0.013,21,12,Parts per billion,2.6,7.8,2,,Parts per million,0.3025,0.38,9,,Jan,2015,201501
1499758,68175,21,111,67,Kentucky,Jefferson,Louisville,2015-01-02,Parts per billion,11.0,15.6,11,14,Parts per million,0.01025,0.013,21,12,Parts per billion,2.6,7.8,2,,Parts per million,0.3,0.3,0,3.0,Jan,2015,201501
1499759,68176,21,111,67,Kentucky,Jefferson,Louisville,2015-01-03,Parts per billion,5.241667,10.2,7,9,Parts per million,0.016,0.022,22,20,Parts per billion,0.104167,0.6,20,0.0,Parts per million,0.28,0.31,9,,Jan,2015,201501
1499760,68177,21,111,67,Kentucky,Jefferson,Louisville,2015-01-03,Parts per billion,5.241667,10.2,7,9,Parts per million,0.016,0.022,22,20,Parts per billion,0.104167,0.6,20,0.0,Parts per million,0.3,0.3,0,3.0,Jan,2015,201501
1499761,68178,21,111,67,Kentucky,Jefferson,Louisville,2015-01-03,Parts per billion,5.241667,10.2,7,9,Parts per million,0.016,0.022,22,20,Parts per billion,0.0875,0.4,20,,Parts per million,0.28,0.31,9,,Jan,2015,201501
1499762,68179,21,111,67,Kentucky,Jefferson,Louisville,2015-01-03,Parts per billion,5.241667,10.2,7,9,Parts per million,0.016,0.022,22,20,Parts per billion,0.0875,0.4,20,,Parts per million,0.3,0.3,0,3.0,Jan,2015,201501
1499763,68180,21,111,67,Kentucky,Jefferson,Louisville,2015-01-04,Parts per billion,1.945833,3.3,12,3,Parts per million,0.019083000000000003,0.024,21,22,Parts per billion,0.5875,2.8,3,3.0,Parts per million,0.254583,0.31,11,,Jan,2015,201501
1499764,68181,21,111,67,Kentucky,Jefferson,Louisville,2015-01-04,Parts per billion,1.945833,3.3,12,3,Parts per million,0.019083000000000003,0.024,21,22,Parts per billion,0.5875,2.8,3,3.0,Parts per million,0.2625,0.3,0,3.0,Jan,2015,201501
1499765,68182,21,111,67,Kentucky,Jefferson,Louisville,2015-01-04,Parts per billion,1.945833,3.3,12,3,Parts per million,0.019083000000000003,0.024,21,22,Parts per billion,0.5375,1.6,5,,Parts per million,0.254583,0.31,11,,Jan,2015,201501
1499766,68183,21,111,67,Kentucky,Jefferson,Louisville,2015-01-04,Parts per billion,1.945833,3.3,12,3,Parts per million,0.019083000000000003,0.024,21,22,Parts per billion,0.5375,1.6,5,,Parts per million,0.2625,0.3,0,3.0,Jan,2015,201501
1499767,68184,21,111,67,Kentucky,Jefferson,Louisville,2015-01-05,Parts per billion,5.779167,14.7,20,13,Parts per million,0.023292,0.029,8,27,Parts per billion,1.708696,3.3,4,4.0,Parts per million,0.2375,0.31,7,,Jan,2015,201501
1499768,68185,21,111,67,Kentucky,Jefferson,Louisville,2015-01-05,Parts per billion,5.779167,14.7,20,13,Parts per million,0.023292,0.029,8,27,Parts per billion,1.708696,3.3,4,4.0,Parts per million,0.213636,0.3,19,3.0,Jan,2015,201501
1499769,68186,21,111,67,Kentucky,Jefferson,Louisville,2015-01-05,Parts per billion,5.779167,14.7,20,13,Parts per million,0.023292,0.029,8,27,Parts per billion,1.8,2.8,17,,Parts per million,0.2375,0.31,7,,Jan,2015,201501
1499770,68187,21,111,67,Kentucky,Jefferson,Louisville,2015-01-05,Parts per billion,5.779167,14.7,20,13,Parts per million,0.023292,0.029,8,27,Parts per billion,1.8,2.8,17,,Parts per million,0.213636,0.3,19,3.0,Jan,2015,201501
1499771,68188,21,111,67,Kentucky,Jefferson,Louisville,2015-04-15,Parts per billion,4.6458330000000005,7.5,8,7,Parts per million,0.027125,0.034,0,31,Parts per billion,1.234783,2.1,16,3.0,Parts per million,0.226667,0.23,22,,Apr,2015,201504
1499772,68189,21,111,67,Kentucky,Jefferson,Louisville,2015-04-15,Parts per billion,4.6458330000000005,7.5,8,7,Parts per million,0.027125,0.034,0,31,Parts per billion,1.257143,1.9,17,,Parts per million,0.226667,0.23,22,,Apr,2015,201504
1499773,68190,21,111,67,Kentucky,Jefferson,Louisville,2015-04-16,Parts per billion,4.516667,12.6,9,11,Parts per million,0.02325,0.041,10,38,Parts per billion,0.241667,1.4,22,1.0,Parts per million,0.21375,0.28,9,,Apr,2015,201504
1499774,68191,21,111,67,Kentucky,Jefferson,Louisville,2015-04-16,Parts per billion,4.516667,12.6,9,11,Parts per million,0.02325,0.041,10,38,Parts per billion,0.241667,1.4,22,1.0,Parts per million,0.2,0.2,2,2.0,Apr,2015,201504
1499775,68192,21,111,67,Kentucky,Jefferson,Louisville,2015-04-16,Parts per billion,4.516667,12.6,9,11,Parts per million,0.02325,0.041,10,38,Parts per billion,0.225,0.9,23,,Parts per million,0.21375,0.28,9,,Apr,2015,201504
1499776,68193,21,111,67,Kentucky,Jefferson,Louisville,2015-04-16,Parts per billion,4.516667,12.6,9,11,Parts per million,0.02325,0.041,10,38,Parts per billion,0.225,0.9,23,,Parts per million,0.2,0.2,2,2.0,Apr,2015,201504
1499777,68194,21,111,67,Kentucky,Jefferson,Louisville,2015-04-17,Parts per billion,12.1375,30.9,21,28,Parts per million,0.019125,0.045,11,42,Parts per billion,0.920833,3.8,2,4.0,Parts per million,0.382917,0.91,22,,Apr,2015,201504
1499778,68195,21,111,67,Kentucky,Jefferson,Louisville,2015-04-17,Parts per billion,12.1375,30.9,21,28,Parts per million,0.019125,0.045,11,42,Parts per billion,0.920833,3.8,2,4.0,Parts per million,0.3125,0.5,22,6.0,Apr,2015,201504
1499779,68196,21,111,67,Kentucky,Jefferson,Louisville,2015-04-17,Parts per billion,12.1375,30.9,21,28,Parts per million,0.019125,0.045,11,42,Parts per billion,0.8875,1.6,8,,Parts per million,0.382917,0.91,22,,Apr,2015,201504
1499780,68197,21,111,67,Kentucky,Jefferson,Louisville,2015-04-17,Parts per billion,12.1375,30.9,21,28,Parts per million,0.019125,0.045,11,42,Parts per billion,0.8875,1.6,8,,Parts per million,0.3125,0.5,22,6.0,Apr,2015,201504
1499781,68198,21,111,67,Kentucky,Jefferson,Louisville,2015-04-18,Parts per billion,8.220833,22.2,0,21,Parts per million,0.038458,0.058,11,61,Parts per billion,0.354167,0.8,18,0.0,Parts per million,0.437917,0.86,1,,Apr,2015,201504
1499782,68199,21,111,67,Kentucky,Jefferson,Louisville,2015-04-18,Parts per billion,8.220833,22.2,0,21,Parts per million,0.038458,0.058,11,61,Parts per billion,0.354167,0.8,18,0.0,Parts per million,0.5,0.8,2,9.0,Apr,2015,201504
1499783,68200,21,111,67,Kentucky,Jefferson,Louisville,2015-04-18,Parts per billion,8.220833,22.2,0,21,Parts per million,0.038458,0.058,11,61,Parts per billion,0.3125,0.7,20,,Parts per million,0.437917,0.86,1,,Apr,2015,201504
1499784,68201,21,111,67,Kentucky,Jefferson,Louisville,2015-04-18,Parts per billion,8.220833,22.2,0,21,Parts per million,0.038458,0.058,11,61,Parts per billion,0.3125,0.7,20,,Parts per million,0.5,0.8,2,9.0,Apr,2015,201504
1499785,68202,21,111,67,Kentucky,Jefferson,Louisville,2015-04-19,Parts per billion,1.4,4.9,21,4,Parts per million,0.033542,0.048,0,44,Parts per billion,0.595833,3.3,21,4.0,Parts per million,0.193333,0.23,8,,Apr,2015,201504
1499786,68203,21,111,67,Kentucky,Jefferson,Louisville,2015-04-19,Parts per billion,1.4,4.9,21,4,Parts per million,0.033542,0.048,0,44,Parts per billion,0.595833,3.3,21,4.0,Parts per million,0.208333,0.3,0,3.0,Apr,2015,201504
1499787,68204,21,111,67,Kentucky,Jefferson,Louisville,2015-04-19,Parts per billion,1.4,4.9,21,4,Parts per million,0.033542,0.048,0,44,Parts per billion,0.575,1.8,5,,Parts per million,0.193333,0.23,8,,Apr,2015,201504
1499788,68205,21,111,67,Kentucky,Jefferson,Louisville,2015-04-19,Parts per billion,1.4,4.9,21,4,Parts per million,0.033542,0.048,0,44,Parts per billion,0.575,1.8,5,,Parts per million,0.208333,0.3,0,3.0,Apr,2015,201504
1499789,68206,21,111,67,Kentucky,Jefferson,Louisville,2015-04-24,Parts per billion,12.604348,32.3,0,30,Parts per million,0.038125,0.056,10,54,Parts per billion,0.190909,0.3,13,0.0,Parts per million,0.35875,1.5,7,,Apr,2015,201504
1499790,68207,21,111,67,Kentucky,Jefferson,Louisville,2015-04-24,Parts per billion,12.604348,32.3,0,30,Parts per million,0.038125,0.056,10,54,Parts per billion,0.190909,0.3,13,0.0,Parts per million,0.366667,0.6,7,7.0,Apr,2015,201504
1499791,68208,21,111,67,Kentucky,Jefferson,Louisville,2015-04-24,Parts per billion,12.604348,32.3,0,30,Parts per million,0.038125,0.056,10,54,Parts per billion,0.13333299999999998,0.2,17,,Parts per million,0.35875,1.5,7,,Apr,2015,201504
1499792,68209,21,111,67,Kentucky,Jefferson,Louisville,2015-04-24,Parts per billion,12.604348,32.3,0,30,Parts per million,0.038125,0.056,10,54,Parts per billion,0.13333299999999998,0.2,17,,Parts per million,0.366667,0.6,7,7.0,Apr,2015,201504
1499793,68210,21,111,67,Kentucky,Jefferson,Louisville,2015-04-25,Parts per billion,2.7208330000000003,6.0,13,6,Parts per million,0.032417,0.038,0,35,Parts per billion,0.052174,0.5,2,0.0,Parts per million,0.232083,0.29,13,,Apr,2015,201504
1499794,68211,21,111,67,Kentucky,Jefferson,Louisville,2015-04-25,Parts per billion,2.7208330000000003,6.0,13,6,Parts per million,0.032417,0.038,0,35,Parts per billion,0.052174,0.5,2,0.0,Parts per million,0.233333,0.3,14,3.0,Apr,2015,201504
1499795,68212,21,111,67,Kentucky,Jefferson,Louisville,2015-04-25,Parts per billion,2.7208330000000003,6.0,13,6,Parts per million,0.032417,0.038,0,35,Parts per billion,0.014286000000000004,0.1,5,,Parts per million,0.232083,0.29,13,,Apr,2015,201504
1499796,68213,21,111,67,Kentucky,Jefferson,Louisville,2015-04-25,Parts per billion,2.7208330000000003,6.0,13,6,Parts per million,0.032417,0.038,0,35,Parts per billion,0.014286000000000004,0.1,5,,Parts per million,0.233333,0.3,14,3.0,Apr,2015,201504
1499797,68214,21,111,67,Kentucky,Jefferson,Louisville,2015-04-26,Parts per billion,0.5565220000000001,7.8,23,7,Parts per million,0.036958,0.046,11,43,Parts per billion,0.525,2.3,6,3.0,Parts per million,0.1875,0.24,20,,Apr,2015,201504
1499798,68215,21,111,67,Kentucky,Jefferson,Louisville,2015-04-26,Parts per billion,0.5565220000000001,7.8,23,7,Parts per million,0.036958,0.046,11,43,Parts per billion,0.525,2.3,6,3.0,Parts per million,0.2,0.2,0,2.0,Apr,2015,201504
1499799,68216,21,111,67,Kentucky,Jefferson,Louisville,2015-04-26,Parts per billion,0.5565220000000001,7.8,23,7,Parts per million,0.036958,0.046,11,43,Parts per billion,0.5,1.7,8,,Parts per million,0.1875,0.24,20,,Apr,2015,201504
1499800,68217,21,111,67,Kentucky,Jefferson,Louisville,2015-04-26,Parts per billion,0.5565220000000001,7.8,23,7,Parts per million,0.036958,0.046,11,43,Parts per billion,0.5,1.7,8,,Parts per million,0.2,0.2,0,2.0,Apr,2015,201504
