,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1500493,68940,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-01,Parts per billion,4.654167,6.6,17,6,Parts per million,0.0135,0.016,0,15,Parts per billion,1.4125,4.6,2,6.0,Parts per million,0.222083,0.26,18,,Jan,2015,201501
1500494,68941,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-01,Parts per billion,4.654167,6.6,17,6,Parts per million,0.0135,0.016,0,15,Parts per billion,1.4125,4.6,2,6.0,Parts per million,0.2,0.2,5,2.0,Jan,2015,201501
1500495,68942,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-01,Parts per billion,4.654167,6.6,17,6,Parts per million,0.0135,0.016,0,15,Parts per billion,1.3875,4.4,2,,Parts per million,0.222083,0.26,18,,Jan,2015,201501
1500496,68943,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-01,Parts per billion,4.654167,6.6,17,6,Parts per million,0.0135,0.016,0,15,Parts per billion,1.3875,4.4,2,,Parts per million,0.2,0.2,5,2.0,Jan,2015,201501
1500497,68944,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-02,Parts per billion,9.091667,13.6,16,12,Parts per million,0.011125,0.015,0,14,Parts per billion,0.2,3.7,9,4.0,Parts per million,0.247917,0.34,16,,Jan,2015,201501
1500498,68945,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-02,Parts per billion,9.091667,13.6,16,12,Parts per million,0.011125,0.015,0,14,Parts per billion,0.2,3.7,9,4.0,Parts per million,0.25,0.3,11,3.0,Jan,2015,201501
1500499,68946,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-02,Parts per billion,9.091667,13.6,16,12,Parts per million,0.011125,0.015,0,14,Parts per billion,0.2,1.3,11,,Parts per million,0.247917,0.34,16,,Jan,2015,201501
1500500,68947,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-02,Parts per billion,9.091667,13.6,16,12,Parts per million,0.011125,0.015,0,14,Parts per billion,0.2,1.3,11,,Parts per million,0.25,0.3,11,3.0,Jan,2015,201501
1500501,68948,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-03,Parts per billion,7.391667,11.8,18,10,Parts per million,0.01425,0.017,6,16,Parts per billion,0.025,0.6,1,0.0,Parts per million,0.157917,0.19,1,,Jan,2015,201501
1500502,68949,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-03,Parts per billion,7.391667,11.8,18,10,Parts per million,0.01425,0.017,6,16,Parts per billion,0.025,0.6,1,0.0,Parts per million,0.1875,0.2,0,2.0,Jan,2015,201501
1500503,68950,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-03,Parts per billion,7.391667,11.8,18,10,Parts per million,0.01425,0.017,6,16,Parts per billion,0.025,0.2,2,,Parts per million,0.157917,0.19,1,,Jan,2015,201501
1500504,68951,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-03,Parts per billion,7.391667,11.8,18,10,Parts per million,0.01425,0.017,6,16,Parts per billion,0.025,0.2,2,,Parts per million,0.1875,0.2,0,2.0,Jan,2015,201501
1500505,68952,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-04,Parts per billion,9.066667,15.0,7,14,Parts per million,0.017375,0.024,10,22,Parts per billion,0.679167,7.0,14,10.0,Parts per million,0.175238,0.2,4,,Jan,2015,201501
1500506,68953,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-04,Parts per billion,9.066667,15.0,7,14,Parts per million,0.017375,0.024,10,22,Parts per billion,0.679167,7.0,14,10.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1500507,68954,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-04,Parts per billion,9.066667,15.0,7,14,Parts per million,0.017375,0.024,10,22,Parts per billion,0.6375,4.6,14,,Parts per million,0.175238,0.2,4,,Jan,2015,201501
1500508,68955,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-04,Parts per billion,9.066667,15.0,7,14,Parts per million,0.017375,0.024,10,22,Parts per billion,0.6375,4.6,14,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1500509,68956,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-05,Parts per billion,9.686957,24.4,20,23,Parts per million,0.014833,0.025,9,23,Parts per billion,1.708333,4.2,2,6.0,Parts per million,0.224583,0.7,21,,Jan,2015,201501
1500510,68957,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-05,Parts per billion,9.686957,24.4,20,23,Parts per million,0.014833,0.025,9,23,Parts per billion,1.708333,4.2,2,6.0,Parts per million,0.183333,0.4,22,5.0,Jan,2015,201501
1500511,68958,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-05,Parts per billion,9.686957,24.4,20,23,Parts per million,0.014833,0.025,9,23,Parts per billion,1.6875,3.3,2,,Parts per million,0.224583,0.7,21,,Jan,2015,201501
1500512,68959,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-05,Parts per billion,9.686957,24.4,20,23,Parts per million,0.014833,0.025,9,23,Parts per billion,1.6875,3.3,2,,Parts per million,0.183333,0.4,22,5.0,Jan,2015,201501
1500513,68960,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-06,Parts per billion,20.154167,32.3,21,30,Parts per million,0.011208,0.025,10,23,Parts per billion,10.23913,24.6,13,34.0,Parts per million,0.331667,0.86,8,,Jan,2015,201501
1500514,68961,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-06,Parts per billion,20.154167,32.3,21,30,Parts per million,0.011208,0.025,10,23,Parts per billion,10.23913,24.6,13,34.0,Parts per million,0.3375,0.5,9,6.0,Jan,2015,201501
1500515,68962,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-06,Parts per billion,20.154167,32.3,21,30,Parts per million,0.011208,0.025,10,23,Parts per billion,10.657143,22.1,14,,Parts per million,0.331667,0.86,8,,Jan,2015,201501
1500516,68963,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-06,Parts per billion,20.154167,32.3,21,30,Parts per million,0.011208,0.025,10,23,Parts per billion,10.657143,22.1,14,,Parts per million,0.3375,0.5,9,6.0,Jan,2015,201501
1500517,68964,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-07,Parts per billion,9.554545,30.9,0,28,Parts per million,0.024583,0.031,19,29,Parts per billion,2.983333,6.9,4,9.0,Parts per million,0.186364,0.47,0,,Jan,2015,201501
1500518,68965,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-07,Parts per billion,9.554545,30.9,0,28,Parts per million,0.024583,0.031,19,29,Parts per billion,2.983333,6.9,4,9.0,Parts per million,0.220833,0.3,0,3.0,Jan,2015,201501
1500519,68966,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-07,Parts per billion,9.554545,30.9,0,28,Parts per million,0.024583,0.031,19,29,Parts per billion,2.95,6.8,5,,Parts per million,0.186364,0.47,0,,Jan,2015,201501
1500520,68967,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-07,Parts per billion,9.554545,30.9,0,28,Parts per million,0.024583,0.031,19,29,Parts per billion,2.95,6.8,5,,Parts per million,0.220833,0.3,0,3.0,Jan,2015,201501
1500521,68968,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-08,Parts per billion,9.716667,28.4,23,26,Parts per million,0.021333,0.03,7,28,Parts per billion,1.116667,9.4,23,13.0,Parts per million,0.172083,0.28,22,,Jan,2015,201501
1500522,68969,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-08,Parts per billion,9.716667,28.4,23,26,Parts per million,0.021333,0.03,7,28,Parts per billion,1.116667,9.4,23,13.0,Parts per million,0.154167,0.2,11,2.0,Jan,2015,201501
1500523,68970,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-08,Parts per billion,9.716667,28.4,23,26,Parts per million,0.021333,0.03,7,28,Parts per billion,1.1,6.0,23,,Parts per million,0.172083,0.28,22,,Jan,2015,201501
1500524,68971,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-08,Parts per billion,9.716667,28.4,23,26,Parts per million,0.021333,0.03,7,28,Parts per billion,1.1,6.0,23,,Parts per million,0.154167,0.2,11,2.0,Jan,2015,201501
1500525,68972,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-09,Parts per billion,10.525,25.9,0,24,Parts per million,0.021875,0.029,10,27,Parts per billion,2.740909,26.4,6,37.0,Parts per million,0.189167,0.27,0,,Jan,2015,201501
1500526,68973,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-09,Parts per billion,10.525,25.9,0,24,Parts per million,0.021875,0.029,10,27,Parts per billion,2.740909,26.4,6,37.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1500527,68974,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-09,Parts per billion,10.525,25.9,0,24,Parts per million,0.021875,0.029,10,27,Parts per billion,2.366667,9.5,8,,Parts per million,0.189167,0.27,0,,Jan,2015,201501
1500528,68975,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-09,Parts per billion,10.525,25.9,0,24,Parts per million,0.021875,0.029,10,27,Parts per billion,2.366667,9.5,8,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1500529,68976,22,33,9,Louisiana,East Baton Rouge,Baton Rouge,2015-01-10,Parts per billion,9.370833,31.3,20,29,Parts per million,0.023083000000000003,0.031,9,29,Parts per billion,0.679167,2.0,8,3.0,Parts per million,0.26875,0.65,20,,Jan,2015,201501
