,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1562112,12786,23,5,29,Maine,Cumberland,Portland,2016-01-06,Parts per billion,21.829167,38.0,6,36,Parts per million,0.014042,0.021,17,19,Parts per billion,0.229167,1.5,9,1.0,Parts per million,0.428167,0.63,8,,Jan,2016,201601
1562113,12787,23,5,29,Maine,Cumberland,Portland,2016-01-06,Parts per billion,21.829167,38.0,6,36,Parts per million,0.014042,0.021,17,19,Parts per billion,0.229167,1.5,9,1.0,Parts per million,0.425,0.5,10,6.0,Jan,2016,201601
1562114,12788,23,5,29,Maine,Cumberland,Portland,2016-01-06,Parts per billion,21.829167,38.0,6,36,Parts per million,0.014042,0.021,17,19,Parts per billion,0.2125,0.9,11,,Parts per million,0.428167,0.63,8,,Jan,2016,201601
1562115,12789,23,5,29,Maine,Cumberland,Portland,2016-01-06,Parts per billion,21.829167,38.0,6,36,Parts per million,0.014042,0.021,17,19,Parts per billion,0.2125,0.9,11,,Parts per million,0.425,0.5,10,6.0,Jan,2016,201601
1562116,12790,23,5,29,Maine,Cumberland,Portland,2016-01-07,Parts per billion,31.85,47.0,7,44,Parts per million,0.008167,0.02,9,19,Parts per billion,1.6708330000000002,6.4,9,9.0,Parts per million,0.850375,1.852,20,,Jan,2016,201601
1562117,12791,23,5,29,Maine,Cumberland,Portland,2016-01-07,Parts per billion,31.85,47.0,7,44,Parts per million,0.008167,0.02,9,19,Parts per billion,1.6708330000000002,6.4,9,9.0,Parts per million,0.716667,1.2,22,14.0,Jan,2016,201601
1562118,12792,23,5,29,Maine,Cumberland,Portland,2016-01-07,Parts per billion,31.85,47.0,7,44,Parts per million,0.008167,0.02,9,19,Parts per billion,1.6375,4.4,8,,Parts per million,0.850375,1.852,20,,Jan,2016,201601
1562119,12793,23,5,29,Maine,Cumberland,Portland,2016-01-07,Parts per billion,31.85,47.0,7,44,Parts per million,0.008167,0.02,9,19,Parts per billion,1.6375,4.4,8,,Parts per million,0.716667,1.2,22,14.0,Jan,2016,201601
1562120,12794,23,5,29,Maine,Cumberland,Portland,2016-01-08,Parts per billion,11.8625,32.5,0,30,Parts per million,0.021167,0.029,17,27,Parts per billion,0.075,1.4,0,1.0,Parts per million,0.400458,0.772,0,,Jan,2016,201601
1562121,12795,23,5,29,Maine,Cumberland,Portland,2016-01-08,Parts per billion,11.8625,32.5,0,30,Parts per million,0.021167,0.029,17,27,Parts per billion,0.075,1.4,0,1.0,Parts per million,0.545833,1.3,0,15.0,Jan,2016,201601
