,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1562550,13338,24,5,3001,Maryland,Baltimore,Essex,2016-01-01,Parts per billion,7.0625,27.2,22,25,Parts per million,0.017667,0.027000000000000003,9,25,Parts per billion,0.269565,0.6,13,0.0,Parts per million,0.217667,0.5539999999999999,21,,Jan,2016,201601
1562551,13339,24,5,3001,Maryland,Baltimore,Essex,2016-01-01,Parts per billion,7.0625,27.2,22,25,Parts per million,0.017667,0.027000000000000003,9,25,Parts per billion,0.269565,0.6,13,0.0,Parts per million,0.215789,0.3,21,3.0,Jan,2016,201601
1562552,13340,24,5,3001,Maryland,Baltimore,Essex,2016-01-01,Parts per billion,7.0625,27.2,22,25,Parts per million,0.017667,0.027000000000000003,9,25,Parts per billion,0.257143,0.5,14,,Parts per million,0.217667,0.5539999999999999,21,,Jan,2016,201601
1562553,13341,24,5,3001,Maryland,Baltimore,Essex,2016-01-01,Parts per billion,7.0625,27.2,22,25,Parts per million,0.017667,0.027000000000000003,9,25,Parts per billion,0.257143,0.5,14,,Parts per million,0.215789,0.3,21,3.0,Jan,2016,201601
1562554,13342,24,5,3001,Maryland,Baltimore,Essex,2016-01-02,Parts per billion,19.395833,31.7,19,29,Parts per million,0.011583,0.029,10,27,Parts per billion,0.929167,2.5,22,3.0,Parts per million,0.495542,1.275,23,,Jan,2016,201601
1562555,13343,24,5,3001,Maryland,Baltimore,Essex,2016-01-02,Parts per billion,19.395833,31.7,19,29,Parts per million,0.011583,0.029,10,27,Parts per billion,0.929167,2.5,22,3.0,Parts per million,0.4,0.9,23,10.0,Jan,2016,201601
1562556,13344,24,5,3001,Maryland,Baltimore,Essex,2016-01-02,Parts per billion,19.395833,31.7,19,29,Parts per million,0.011583,0.029,10,27,Parts per billion,0.9,2.3,23,,Parts per million,0.495542,1.275,23,,Jan,2016,201601
1562557,13345,24,5,3001,Maryland,Baltimore,Essex,2016-01-02,Parts per billion,19.395833,31.7,19,29,Parts per million,0.011583,0.029,10,27,Parts per billion,0.9,2.3,23,,Parts per million,0.4,0.9,23,10.0,Jan,2016,201601
1562558,13346,24,5,3001,Maryland,Baltimore,Essex,2016-01-03,Parts per billion,15.983332999999998,29.9,8,27,Parts per million,0.016,0.033,11,31,Parts per billion,1.917391,4.3,7,6.0,Parts per million,0.669792,1.557,1,,Jan,2016,201601
1562559,13347,24,5,3001,Maryland,Baltimore,Essex,2016-01-03,Parts per billion,15.983332999999998,29.9,8,27,Parts per million,0.016,0.033,11,31,Parts per billion,1.917391,4.3,7,6.0,Parts per million,0.783333,1.4,4,16.0,Jan,2016,201601
1562560,13348,24,5,3001,Maryland,Baltimore,Essex,2016-01-03,Parts per billion,15.983332999999998,29.9,8,27,Parts per million,0.016,0.033,11,31,Parts per billion,1.685714,3.9,8,,Parts per million,0.669792,1.557,1,,Jan,2016,201601
1562561,13349,24,5,3001,Maryland,Baltimore,Essex,2016-01-03,Parts per billion,15.983332999999998,29.9,8,27,Parts per million,0.016,0.033,11,31,Parts per billion,1.685714,3.9,8,,Parts per million,0.783333,1.4,4,16.0,Jan,2016,201601
1562562,13350,24,5,3001,Maryland,Baltimore,Essex,2016-01-04,Parts per billion,7.154545,25.4,2,24,Parts per million,0.027375,0.032,9,30,Parts per billion,0.545,1.0,5,1.0,Parts per million,0.180409,0.332,2,,Jan,2016,201601
1562563,13351,24,5,3001,Maryland,Baltimore,Essex,2016-01-04,Parts per billion,7.154545,25.4,2,24,Parts per million,0.027375,0.032,9,30,Parts per billion,0.545,1.0,5,1.0,Parts per million,0.225,0.3,0,3.0,Jan,2016,201601
1562564,13352,24,5,3001,Maryland,Baltimore,Essex,2016-01-04,Parts per billion,7.154545,25.4,2,24,Parts per million,0.027375,0.032,9,30,Parts per billion,0.48,0.6,2,,Parts per million,0.180409,0.332,2,,Jan,2016,201601
1562565,13353,24,5,3001,Maryland,Baltimore,Essex,2016-01-04,Parts per billion,7.154545,25.4,2,24,Parts per million,0.027375,0.032,9,30,Parts per billion,0.48,0.6,2,,Parts per million,0.225,0.3,0,3.0,Jan,2016,201601
1562566,13354,24,5,3001,Maryland,Baltimore,Essex,2016-01-05,Parts per billion,12.8125,32.4,19,30,Parts per million,0.014792,0.026,8,24,Parts per billion,1.0625,3.2,19,4.0,Parts per million,0.388292,1.177,22,,Jan,2016,201601
1562567,13355,24,5,3001,Maryland,Baltimore,Essex,2016-01-05,Parts per billion,12.8125,32.4,19,30,Parts per million,0.014792,0.026,8,24,Parts per billion,1.0625,3.2,19,4.0,Parts per million,0.266667,0.8,23,9.0,Jan,2016,201601
1562568,13356,24,5,3001,Maryland,Baltimore,Essex,2016-01-05,Parts per billion,12.8125,32.4,19,30,Parts per million,0.014792,0.026,8,24,Parts per billion,1.025,2.4,20,,Parts per million,0.388292,1.177,22,,Jan,2016,201601
1562569,13357,24,5,3001,Maryland,Baltimore,Essex,2016-01-05,Parts per billion,12.8125,32.4,19,30,Parts per million,0.014792,0.026,8,24,Parts per billion,1.025,2.4,20,,Parts per million,0.266667,0.8,23,9.0,Jan,2016,201601
1562570,13358,24,5,3001,Maryland,Baltimore,Essex,2016-01-06,Parts per billion,30.6125,40.9,8,38,Parts per million,0.004917,0.012,9,11,Parts per billion,3.686957,9.9,12,13.0,Parts per million,0.914125,1.892,7,,Jan,2016,201601
1562571,13359,24,5,3001,Maryland,Baltimore,Essex,2016-01-06,Parts per billion,30.6125,40.9,8,38,Parts per million,0.004917,0.012,9,11,Parts per billion,3.686957,9.9,12,13.0,Parts per million,0.904167,1.3,7,15.0,Jan,2016,201601
1562572,13360,24,5,3001,Maryland,Baltimore,Essex,2016-01-06,Parts per billion,30.6125,40.9,8,38,Parts per million,0.004917,0.012,9,11,Parts per billion,3.628571,6.7,14,,Parts per million,0.914125,1.892,7,,Jan,2016,201601
1562573,13361,24,5,3001,Maryland,Baltimore,Essex,2016-01-06,Parts per billion,30.6125,40.9,8,38,Parts per million,0.004917,0.012,9,11,Parts per billion,3.628571,6.7,14,,Parts per million,0.904167,1.3,7,15.0,Jan,2016,201601
1562574,13362,24,5,3001,Maryland,Baltimore,Essex,2016-01-07,Parts per billion,22.054167,32.6,0,30,Parts per million,0.010958,0.019,10,18,Parts per billion,2.3125,7.4,12,10.0,Parts per million,0.364375,0.981,0,,Jan,2016,201601
1562575,13363,24,5,3001,Maryland,Baltimore,Essex,2016-01-07,Parts per billion,22.054167,32.6,0,30,Parts per million,0.010958,0.019,10,18,Parts per billion,2.3125,7.4,12,10.0,Parts per million,0.479167,1.0,1,11.0,Jan,2016,201601
