,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1563622,14410,25,25,42,Massachusetts,Suffolk,Boston,2016-01-01,Parts per billion,11.833333,19.0,17,18,Parts per million,0.021875,0.026,20,24,Parts per billion,0.583333,0.7,17,0.0,Parts per million,0.244455,0.301,18,,Jan,2016,201601
1563623,14411,25,25,42,Massachusetts,Suffolk,Boston,2016-01-01,Parts per billion,11.833333,19.0,17,18,Parts per million,0.021875,0.026,20,24,Parts per billion,0.583333,0.7,17,0.0,Parts per million,0.242105,0.3,5,3.0,Jan,2016,201601
1563624,14412,25,25,42,Massachusetts,Suffolk,Boston,2016-01-01,Parts per billion,11.833333,19.0,17,18,Parts per million,0.021875,0.026,20,24,Parts per billion,0.5625,0.6,5,,Parts per million,0.244455,0.301,18,,Jan,2016,201601
1563625,14413,25,25,42,Massachusetts,Suffolk,Boston,2016-01-01,Parts per billion,11.833333,19.0,17,18,Parts per million,0.021875,0.026,20,24,Parts per billion,0.5625,0.6,5,,Parts per million,0.242105,0.3,5,3.0,Jan,2016,201601
1563626,14414,25,25,42,Massachusetts,Suffolk,Boston,2016-01-02,Parts per billion,13.125,23.0,17,22,Parts per million,0.021625,0.026,7,24,Parts per billion,0.679167,0.8,9,0.0,Parts per million,0.25363600000000003,0.328,19,,Jan,2016,201601
1563627,14415,25,25,42,Massachusetts,Suffolk,Boston,2016-01-02,Parts per billion,13.125,23.0,17,22,Parts per million,0.021625,0.026,7,24,Parts per billion,0.679167,0.8,9,0.0,Parts per million,0.225,0.3,18,3.0,Jan,2016,201601
1563628,14416,25,25,42,Massachusetts,Suffolk,Boston,2016-01-02,Parts per billion,13.125,23.0,17,22,Parts per million,0.021625,0.026,7,24,Parts per billion,0.65,0.7,11,,Parts per million,0.25363600000000003,0.328,19,,Jan,2016,201601
1563629,14417,25,25,42,Massachusetts,Suffolk,Boston,2016-01-02,Parts per billion,13.125,23.0,17,22,Parts per million,0.021625,0.026,7,24,Parts per billion,0.65,0.7,11,,Parts per million,0.225,0.3,18,3.0,Jan,2016,201601
1563630,14418,25,25,42,Massachusetts,Suffolk,Boston,2016-01-03,Parts per billion,13.136364000000002,23.0,20,22,Parts per million,0.016708,0.025,8,23,Parts per billion,1.068182,1.9,9,1.0,Parts per million,0.27368400000000004,0.383,19,,Jan,2016,201601
1563631,14419,25,25,42,Massachusetts,Suffolk,Boston,2016-01-03,Parts per billion,13.136364000000002,23.0,20,22,Parts per million,0.016708,0.025,8,23,Parts per billion,1.068182,1.9,9,1.0,Parts per million,0.25,0.4,23,5.0,Jan,2016,201601
