,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1509475,78342,27,3,1002,Minnesota,Anoka,Blaine,2015-01-01,Parts per billion,3.725,6.6,23,6,Parts per million,0.029542,0.034,13,31,Parts per billion,0.7695649999999999,1.1,12,1.0,Parts per million,0.265,0.28600000000000003,15,,Jan,2015,201501
1509476,78343,27,3,1002,Minnesota,Anoka,Blaine,2015-01-01,Parts per billion,3.725,6.6,23,6,Parts per million,0.029542,0.034,13,31,Parts per billion,0.7695649999999999,1.1,12,1.0,Parts per million,0.3,0.3,6,3.0,Jan,2015,201501
1509477,78344,27,3,1002,Minnesota,Anoka,Blaine,2015-01-01,Parts per billion,3.725,6.6,23,6,Parts per million,0.029542,0.034,13,31,Parts per billion,0.728571,1.0,14,,Parts per million,0.265,0.28600000000000003,15,,Jan,2015,201501
1509478,78345,27,3,1002,Minnesota,Anoka,Blaine,2015-01-01,Parts per billion,3.725,6.6,23,6,Parts per million,0.029542,0.034,13,31,Parts per billion,0.728571,1.0,14,,Parts per million,0.3,0.3,6,3.0,Jan,2015,201501
1509479,78346,27,3,1002,Minnesota,Anoka,Blaine,2015-01-02,Parts per billion,20.729167,38.4,7,36,Parts per million,0.017667,0.027000000000000003,19,25,Parts per billion,0.847826,2.5,9,3.0,Parts per million,0.346957,0.4320000000000001,9,,Jan,2015,201501
1509480,78347,27,3,1002,Minnesota,Anoka,Blaine,2015-01-02,Parts per billion,20.729167,38.4,7,36,Parts per million,0.017667,0.027000000000000003,19,25,Parts per billion,0.847826,2.5,9,3.0,Parts per million,0.358333,0.4,9,5.0,Jan,2015,201501
1509481,78348,27,3,1002,Minnesota,Anoka,Blaine,2015-01-02,Parts per billion,20.729167,38.4,7,36,Parts per million,0.017667,0.027000000000000003,19,25,Parts per billion,0.842857,1.8,11,,Parts per million,0.346957,0.4320000000000001,9,,Jan,2015,201501
1509482,78349,27,3,1002,Minnesota,Anoka,Blaine,2015-01-02,Parts per billion,20.729167,38.4,7,36,Parts per million,0.017667,0.027000000000000003,19,25,Parts per billion,0.842857,1.8,11,,Parts per million,0.358333,0.4,9,5.0,Jan,2015,201501
1509483,78350,27,3,1002,Minnesota,Anoka,Blaine,2015-01-03,Parts per billion,7.7875,20.1,8,19,Parts per million,0.023083000000000003,0.036000000000000004,21,33,Parts per billion,0.8272729999999999,1.4,11,1.0,Parts per million,0.281318,0.358,11,,Jan,2015,201501
1509484,78351,27,3,1002,Minnesota,Anoka,Blaine,2015-01-03,Parts per billion,7.7875,20.1,8,19,Parts per million,0.023083000000000003,0.036000000000000004,21,33,Parts per billion,0.8272729999999999,1.4,11,1.0,Parts per million,0.295833,0.3,0,3.0,Jan,2015,201501
