,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1510783,79712,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-01,Parts per billion,6.425,9.9,7,8,Parts per million,0.0215,0.024,8,22,Parts per billion,1.604167,8.0,15,11.0,Parts per million,0.228043,0.272,19,,Jan,2015,201501
1510784,79713,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-01,Parts per billion,6.425,9.9,7,8,Parts per million,0.0215,0.024,8,22,Parts per billion,1.604167,8.0,15,11.0,Parts per million,0.2,0.2,6,2.0,Jan,2015,201501
1510785,79714,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-01,Parts per billion,6.425,9.9,7,8,Parts per million,0.0215,0.024,8,22,Parts per billion,1.575,4.9,17,,Parts per million,0.228043,0.272,19,,Jan,2015,201501
1510786,79715,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-01,Parts per billion,6.425,9.9,7,8,Parts per million,0.0215,0.024,8,22,Parts per billion,1.575,4.9,17,,Parts per million,0.2,0.2,6,2.0,Jan,2015,201501
1510787,79716,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-02,Parts per billion,13.51,21.1,9,20,Parts per million,0.009167,0.016,0,15,Parts per billion,1.2,5.1,11,7.0,Parts per million,0.279,0.374,9,,Jan,2015,201501
1510788,79717,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-02,Parts per billion,13.51,21.1,9,20,Parts per million,0.009167,0.016,0,15,Parts per billion,1.2,5.1,11,7.0,Parts per million,0.266667,0.3,8,3.0,Jan,2015,201501
1510789,79718,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-02,Parts per billion,13.51,21.1,9,20,Parts per million,0.009167,0.016,0,15,Parts per billion,1.128571,3.4,11,,Parts per million,0.279,0.374,9,,Jan,2015,201501
1510790,79719,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-02,Parts per billion,13.51,21.1,9,20,Parts per million,0.009167,0.016,0,15,Parts per billion,1.128571,3.4,11,,Parts per million,0.266667,0.3,8,3.0,Jan,2015,201501
1510791,79720,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-03,Parts per billion,13.758333,16.0,9,15,Parts per million,0.002625,0.008,23,7,Parts per billion,1.2875,1.8,16,1.0,Parts per million,0.385565,0.67,20,,Jan,2015,201501
1510792,79721,29,510,85,Missouri,St. Louis City,St. Louis,2015-01-03,Parts per billion,13.758333,16.0,9,15,Parts per million,0.002625,0.008,23,7,Parts per billion,1.2875,1.8,16,1.0,Parts per million,0.358333,0.5,20,6.0,Jan,2015,201501
