,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1511859,80824,32,31,16,Nevada,Washoe,Reno,2015-01-01,Parts per billion,29.645833000000003,41.9,18,39,Parts per million,0.008083,0.023,9,21,Parts per billion,0.691667,1.6,8,1.0,Parts per million,0.527708,0.916,0,,Jan,2015,201501
1511860,80825,32,31,16,Nevada,Washoe,Reno,2015-01-01,Parts per billion,29.645833000000003,41.9,18,39,Parts per million,0.008083,0.023,9,21,Parts per billion,0.691667,1.6,8,1.0,Parts per million,0.505263,0.6,5,7.0,Jan,2015,201501
1511861,80826,32,31,16,Nevada,Washoe,Reno,2015-01-01,Parts per billion,29.645833000000003,41.9,18,39,Parts per million,0.008083,0.023,9,21,Parts per billion,0.6625,0.9,2,,Parts per million,0.527708,0.916,0,,Jan,2015,201501
1511862,80827,32,31,16,Nevada,Washoe,Reno,2015-01-01,Parts per billion,29.645833000000003,41.9,18,39,Parts per million,0.008083,0.023,9,21,Parts per billion,0.6625,0.9,2,,Parts per million,0.505263,0.6,5,7.0,Jan,2015,201501
1511863,80828,32,31,16,Nevada,Washoe,Reno,2015-01-02,Parts per billion,34.541667,45.8,17,42,Parts per million,0.004958,0.015,9,14,Parts per billion,1.15,2.4,6,3.0,Parts per million,0.651583,1.078,22,,Jan,2015,201501
1511864,80829,32,31,16,Nevada,Washoe,Reno,2015-01-02,Parts per billion,34.541667,45.8,17,42,Parts per million,0.004958,0.015,9,14,Parts per billion,1.15,2.4,6,3.0,Parts per million,0.6,0.8,11,9.0,Jan,2015,201501
1511865,80830,32,31,16,Nevada,Washoe,Reno,2015-01-02,Parts per billion,34.541667,45.8,17,42,Parts per million,0.004958,0.015,9,14,Parts per billion,1.1125,2.0,8,,Parts per million,0.651583,1.078,22,,Jan,2015,201501
1511866,80831,32,31,16,Nevada,Washoe,Reno,2015-01-02,Parts per billion,34.541667,45.8,17,42,Parts per million,0.004958,0.015,9,14,Parts per billion,1.1125,2.0,8,,Parts per million,0.6,0.8,11,9.0,Jan,2015,201501
1511867,80832,32,31,16,Nevada,Washoe,Reno,2015-01-03,Parts per billion,35.929167,44.5,7,42,Parts per million,0.005,0.015,9,14,Parts per billion,1.6625,5.1,7,7.0,Parts per million,0.852292,1.734,7,,Jan,2015,201501
1511868,80833,32,31,16,Nevada,Washoe,Reno,2015-01-03,Parts per billion,35.929167,44.5,7,42,Parts per million,0.005,0.015,9,14,Parts per billion,1.6625,5.1,7,7.0,Parts per million,0.858333,1.1,9,13.0,Jan,2015,201501
