,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1514481,83514,34,7,2,NewJersey,Camden,Camden,2015-01-01,Parts per billion,12.708333,24.0,23,23,Parts per million,0.021125,0.031,9,29,Parts per billion,0.458333,2.0,8,3.0,Parts per million,0.345833,0.4,0,,Jan,2015,201501
1514482,83515,34,7,2,NewJersey,Camden,Camden,2015-01-01,Parts per billion,12.708333,24.0,23,23,Parts per million,0.021125,0.031,9,29,Parts per billion,0.458333,2.0,8,3.0,Parts per million,0.347368,0.4,5,5.0,Jan,2015,201501
1514483,83516,34,7,2,NewJersey,Camden,Camden,2015-01-01,Parts per billion,12.708333,24.0,23,23,Parts per million,0.021125,0.031,9,29,Parts per billion,0.45,1.3,8,,Parts per million,0.345833,0.4,0,,Jan,2015,201501
1514484,83517,34,7,2,NewJersey,Camden,Camden,2015-01-01,Parts per billion,12.708333,24.0,23,23,Parts per million,0.021125,0.031,9,29,Parts per billion,0.45,1.3,8,,Parts per million,0.347368,0.4,5,5.0,Jan,2015,201501
1514485,83518,34,7,2,NewJersey,Camden,Camden,2015-01-02,Parts per billion,29.25,37.0,3,35,Parts per million,0.0065,0.017,9,16,Parts per billion,0.583333,5.0,13,7.0,Parts per million,0.479167,0.9,23,,Jan,2015,201501
1514486,83519,34,7,2,NewJersey,Camden,Camden,2015-01-02,Parts per billion,29.25,37.0,3,35,Parts per million,0.0065,0.017,9,16,Parts per billion,0.583333,5.0,13,7.0,Parts per million,0.429167,0.6,23,7.0,Jan,2015,201501
1514487,83520,34,7,2,NewJersey,Camden,Camden,2015-01-02,Parts per billion,29.25,37.0,3,35,Parts per million,0.0065,0.017,9,16,Parts per billion,0.5625,3.0,14,,Parts per million,0.479167,0.9,23,,Jan,2015,201501
1514488,83521,34,7,2,NewJersey,Camden,Camden,2015-01-02,Parts per billion,29.25,37.0,3,35,Parts per million,0.0065,0.017,9,16,Parts per billion,0.5625,3.0,14,,Parts per million,0.429167,0.6,23,7.0,Jan,2015,201501
1514489,83522,34,7,2,NewJersey,Camden,Camden,2015-01-03,Parts per billion,26.5,38.0,2,36,Parts per million,0.002792,0.006,8,6,Parts per billion,0.041667,1.0,4,1.0,Parts per million,0.6,1.3,3,,Jan,2015,201501
1514490,83523,34,7,2,NewJersey,Camden,Camden,2015-01-03,Parts per billion,26.5,38.0,2,36,Parts per million,0.002792,0.006,8,6,Parts per billion,0.041667,1.0,4,1.0,Parts per million,0.65,0.9,3,10.0,Jan,2015,201501
