,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1513049,82082,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-01,Parts per billion,5.158333,8.9,0,8,Parts per million,0.029375,0.034,9,31,Parts per billion,1.786957,2.6,20,3.0,Parts per million,0.215083,0.28300000000000003,1,,Jan,2015,201501
1513050,82083,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-01,Parts per billion,5.158333,8.9,0,8,Parts per million,0.029375,0.034,9,31,Parts per billion,1.786957,2.6,20,3.0,Parts per million,0.215789,0.3,5,3.0,Jan,2015,201501
1513051,82084,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-01,Parts per billion,5.158333,8.9,0,8,Parts per million,0.029375,0.034,9,31,Parts per billion,1.685714,2.3,20,,Parts per million,0.215083,0.28300000000000003,1,,Jan,2015,201501
1513052,82085,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-01,Parts per billion,5.158333,8.9,0,8,Parts per million,0.029375,0.034,9,31,Parts per billion,1.685714,2.3,20,,Parts per million,0.215789,0.3,5,3.0,Jan,2015,201501
1513053,82086,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-02,Parts per billion,3.66087,8.7,7,8,Parts per million,0.033542,0.039,14,36,Parts per billion,1.318182,2.3,2,3.0,Parts per million,0.179304,0.24,0,,Jan,2015,201501
1513054,82087,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-02,Parts per billion,3.66087,8.7,7,8,Parts per million,0.033542,0.039,14,36,Parts per billion,1.318182,2.3,2,3.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1513055,82088,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-02,Parts per billion,3.66087,8.7,7,8,Parts per million,0.033542,0.039,14,36,Parts per billion,1.242857,2.1,5,,Parts per million,0.179304,0.24,0,,Jan,2015,201501
1513056,82089,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-02,Parts per billion,3.66087,8.7,7,8,Parts per million,0.033542,0.039,14,36,Parts per billion,1.242857,2.1,5,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1513057,82090,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-03,Parts per billion,4.15,6.2,7,6,Parts per million,0.032875,0.035,11,32,Parts per billion,1.216667,2.2,7,3.0,Parts per million,0.186333,0.239,22,,Jan,2015,201501
1513058,82091,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-03,Parts per billion,4.15,6.2,7,6,Parts per million,0.032875,0.035,11,32,Parts per billion,1.216667,2.2,7,3.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1513059,82092,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-03,Parts per billion,4.15,6.2,7,6,Parts per million,0.032875,0.035,11,32,Parts per billion,1.175,1.7,8,,Parts per million,0.186333,0.239,22,,Jan,2015,201501
1513060,82093,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-03,Parts per billion,4.15,6.2,7,6,Parts per million,0.032875,0.035,11,32,Parts per billion,1.175,1.7,8,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1513061,82094,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-04,Parts per billion,6.8125,12.6,19,11,Parts per million,0.023292,0.035,0,32,Parts per billion,1.075,1.8,9,1.0,Parts per million,0.245917,0.348,19,,Jan,2015,201501
1513062,82095,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-04,Parts per billion,6.8125,12.6,19,11,Parts per million,0.023292,0.035,0,32,Parts per billion,1.075,1.8,9,1.0,Parts per million,0.233333,0.3,16,3.0,Jan,2015,201501
1513063,82096,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-04,Parts per billion,6.8125,12.6,19,11,Parts per million,0.023292,0.035,0,32,Parts per billion,1.05,1.5,11,,Parts per million,0.245917,0.348,19,,Jan,2015,201501
1513064,82097,33,15,18,New_Hampshire,Rockingham,Not in a city,2015-01-04,Parts per billion,6.8125,12.6,19,11,Parts per million,0.023292,0.035,0,32,Parts per billion,1.05,1.5,11,,Parts per million,0.233333,0.3,16,3.0,Jan,2015,201501
