,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1516413,86454,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-05,Parts per billion,27.963636,41.6,21,39,Parts per million,0.007958,0.022,11,20,Parts per billion,1.266667,4.1,8,6.0,Parts per million,0.598708,1.2919999999999998,8,,Jan,2015,201501
1516414,86455,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-05,Parts per billion,27.963636,41.6,21,39,Parts per million,0.007958,0.022,11,20,Parts per billion,1.266667,4.1,8,6.0,Parts per million,0.608333,0.9,10,10.0,Jan,2015,201501
1516415,86456,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-05,Parts per billion,27.963636,41.6,21,39,Parts per million,0.007958,0.022,11,20,Parts per billion,1.2375,3.3,8,,Parts per million,0.598708,1.2919999999999998,8,,Jan,2015,201501
1516416,86457,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-05,Parts per billion,27.963636,41.6,21,39,Parts per million,0.007958,0.022,11,20,Parts per billion,1.2375,3.3,8,,Parts per million,0.608333,0.9,10,10.0,Jan,2015,201501
1516417,86458,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-06,Parts per billion,25.945833,40.4,20,38,Parts per million,0.014042,0.029,8,27,Parts per billion,0.866667,4.0,7,6.0,Parts per million,0.481458,1.577,7,,Jan,2015,201501
1516418,86459,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-06,Parts per billion,25.945833,40.4,20,38,Parts per million,0.014042,0.029,8,27,Parts per billion,0.866667,4.0,7,6.0,Parts per million,0.4875,0.7,7,8.0,Jan,2015,201501
1516419,86460,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-06,Parts per billion,25.945833,40.4,20,38,Parts per million,0.014042,0.029,8,27,Parts per billion,0.8375,2.3,8,,Parts per million,0.481458,1.577,7,,Jan,2015,201501
1516420,86461,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-06,Parts per billion,25.945833,40.4,20,38,Parts per million,0.014042,0.029,8,27,Parts per billion,0.8375,2.3,8,,Parts per million,0.4875,0.7,7,8.0,Jan,2015,201501
1516421,86462,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-07,Parts per billion,14.725,25.2,9,24,Parts per million,0.011583,0.019,9,18,Parts per billion,0.333333,1.3,9,1.0,Parts per million,0.253875,0.557,7,,Jan,2015,201501
1516422,86463,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-07,Parts per billion,14.725,25.2,9,24,Parts per million,0.011583,0.019,9,18,Parts per billion,0.333333,1.3,9,1.0,Parts per million,0.3125,0.5,0,6.0,Jan,2015,201501
1516423,86464,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-07,Parts per billion,14.725,25.2,9,24,Parts per million,0.011583,0.019,9,18,Parts per billion,0.2875,0.8,11,,Parts per million,0.253875,0.557,7,,Jan,2015,201501
1516424,86465,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-07,Parts per billion,14.725,25.2,9,24,Parts per million,0.011583,0.019,9,18,Parts per billion,0.2875,0.8,11,,Parts per million,0.3125,0.5,0,6.0,Jan,2015,201501
1516425,86466,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-08,Parts per billion,22.579167,34.5,20,32,Parts per million,0.005582999999999999,0.015,9,14,Parts per billion,0.670833,2.0,20,3.0,Parts per million,0.402417,0.961,20,,Jan,2015,201501
1516426,86467,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-08,Parts per billion,22.579167,34.5,20,32,Parts per million,0.005582999999999999,0.015,9,14,Parts per billion,0.670833,2.0,20,3.0,Parts per million,0.35,0.6,21,7.0,Jan,2015,201501
1516427,86468,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-08,Parts per billion,22.579167,34.5,20,32,Parts per million,0.005582999999999999,0.015,9,14,Parts per billion,0.6375,1.3,20,,Parts per million,0.402417,0.961,20,,Jan,2015,201501
1516428,86469,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-08,Parts per billion,22.579167,34.5,20,32,Parts per million,0.005582999999999999,0.015,9,14,Parts per billion,0.6375,1.3,20,,Parts per million,0.35,0.6,21,7.0,Jan,2015,201501
1516429,86470,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-09,Parts per billion,20.204167,30.9,22,28,Parts per million,0.012583,0.027000000000000003,10,25,Parts per billion,0.55,1.6,23,1.0,Parts per million,0.354917,0.847,7,,Jan,2015,201501
1516430,86471,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-09,Parts per billion,20.204167,30.9,22,28,Parts per million,0.012583,0.027000000000000003,10,25,Parts per billion,0.55,1.6,23,1.0,Parts per million,0.379167,0.6,0,7.0,Jan,2015,201501
1516431,86472,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-09,Parts per billion,20.204167,30.9,22,28,Parts per million,0.012583,0.027000000000000003,10,25,Parts per billion,0.5125,1.0,23,,Parts per million,0.354917,0.847,7,,Jan,2015,201501
1516432,86473,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-09,Parts per billion,20.204167,30.9,22,28,Parts per million,0.012583,0.027000000000000003,10,25,Parts per billion,0.5125,1.0,23,,Parts per million,0.379167,0.6,0,7.0,Jan,2015,201501
1516433,86474,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-10,Parts per billion,13.558333,21.5,0,20,Parts per million,0.015375,0.023,10,21,Parts per billion,0.3,0.7,9,0.0,Parts per million,0.222208,0.331,0,,Jan,2015,201501
1516434,86475,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-10,Parts per billion,13.558333,21.5,0,20,Parts per million,0.015375,0.023,10,21,Parts per billion,0.3,0.7,9,0.0,Parts per million,0.25,0.4,0,5.0,Jan,2015,201501
1516435,86476,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-10,Parts per billion,13.558333,21.5,0,20,Parts per million,0.015375,0.023,10,21,Parts per billion,0.2625,0.4,8,,Parts per million,0.222208,0.331,0,,Jan,2015,201501
1516436,86477,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-10,Parts per billion,13.558333,21.5,0,20,Parts per million,0.015375,0.023,10,21,Parts per billion,0.2625,0.4,8,,Parts per million,0.25,0.4,0,5.0,Jan,2015,201501
1516437,86478,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-11,Parts per billion,13.652941,30.6,21,28,Parts per million,0.015208,0.026,11,24,Parts per billion,0.338095,1.0,22,1.0,Parts per million,0.267952,0.856,23,,Jan,2015,201501
1516438,86479,35,1,23,New_Mexico,Bernalillo,Albuquerque,2015-01-11,Parts per billion,13.652941,30.6,21,28,Parts per million,0.015208,0.026,11,24,Parts per billion,0.338095,1.0,22,1.0,Parts per million,0.216667,0.5,23,6.0,Jan,2015,201501
