,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1564706,15518,36,5,133,New_York,Bronx,New_York,2016-01-01,Parts per billion,10.05,16.0,20,15,Parts per million,0.021542,0.024,9,22,Parts per billion,1.066667,1.8,5,1.0,Parts per million,0.204167,0.3,17,,Jan,2016,201601
1564707,15519,36,5,133,New_York,Bronx,New_York,2016-01-01,Parts per billion,10.05,16.0,20,15,Parts per million,0.021542,0.024,9,22,Parts per billion,1.066667,1.8,5,1.0,Parts per million,0.2,0.2,5,2.0,Jan,2016,201601
1564708,15520,36,5,133,New_York,Bronx,New_York,2016-01-01,Parts per billion,10.05,16.0,20,15,Parts per million,0.021542,0.024,9,22,Parts per billion,1.0375,1.4,20,,Parts per million,0.204167,0.3,17,,Jan,2016,201601
1564709,15521,36,5,133,New_York,Bronx,New_York,2016-01-01,Parts per billion,10.05,16.0,20,15,Parts per million,0.021542,0.024,9,22,Parts per billion,1.0375,1.4,20,,Parts per million,0.2,0.2,5,2.0,Jan,2016,201601
1564710,15522,36,5,133,New_York,Bronx,New_York,2016-01-02,Parts per billion,13.841667,20.4,6,19,Parts per million,0.017083,0.023,10,21,Parts per billion,1.45,2.4,5,3.0,Parts per million,0.241667,0.3,6,,Jan,2016,201601
1564711,15523,36,5,133,New_York,Bronx,New_York,2016-01-02,Parts per billion,13.841667,20.4,6,19,Parts per million,0.017083,0.023,10,21,Parts per billion,1.45,2.4,5,3.0,Parts per million,0.233333,0.3,9,3.0,Jan,2016,201601
1564712,15524,36,5,133,New_York,Bronx,New_York,2016-01-02,Parts per billion,13.841667,20.4,6,19,Parts per million,0.017083,0.023,10,21,Parts per billion,1.4375,1.9,5,,Parts per million,0.241667,0.3,6,,Jan,2016,201601
1564713,15525,36,5,133,New_York,Bronx,New_York,2016-01-02,Parts per billion,13.841667,20.4,6,19,Parts per million,0.017083,0.023,10,21,Parts per billion,1.4375,1.9,5,,Parts per million,0.233333,0.3,9,3.0,Jan,2016,201601
1564714,15526,36,5,133,New_York,Bronx,New_York,2016-01-03,Parts per billion,19.0,31.7,7,29,Parts per million,0.014955,0.023,9,21,Parts per billion,1.975,2.6,0,3.0,Parts per million,0.304167,0.4,5,,Jan,2016,201601
1564715,15527,36,5,133,New_York,Bronx,New_York,2016-01-03,Parts per billion,19.0,31.7,7,29,Parts per million,0.014955,0.023,9,21,Parts per billion,1.975,2.6,0,3.0,Parts per million,0.3125,0.4,8,5.0,Jan,2016,201601
