,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1520683,90758,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-01,Parts per billion,10.36087,18.9,0,17,Parts per million,0.018458,0.028,11,26,Parts per billion,0.340909,0.6,0,0.0,Parts per million,0.702609,1.507,7,,Jan,2015,201501
1520684,90759,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-01,Parts per billion,10.36087,18.9,0,17,Parts per million,0.018458,0.028,11,26,Parts per billion,0.340909,0.6,0,0.0,Parts per million,0.715789,1.4,7,16.0,Jan,2015,201501
1520685,90760,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-01,Parts per billion,10.36087,18.9,0,17,Parts per million,0.018458,0.028,11,26,Parts per billion,0.342857,0.5,2,,Parts per million,0.702609,1.507,7,,Jan,2015,201501
1520686,90761,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-01,Parts per billion,10.36087,18.9,0,17,Parts per million,0.018458,0.028,11,26,Parts per billion,0.342857,0.5,2,,Parts per million,0.715789,1.4,7,16.0,Jan,2015,201501
1520687,90762,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-02,Parts per billion,15.769565,24.1,10,23,Parts per million,0.007417,0.018000000000000002,0,17,Parts per billion,0.15,0.6,10,0.0,Parts per million,0.30313,0.458,9,,Jan,2015,201501
1520688,90763,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-02,Parts per billion,15.769565,24.1,10,23,Parts per million,0.007417,0.018000000000000002,0,17,Parts per billion,0.15,0.6,10,0.0,Parts per million,0.266667,0.4,23,5.0,Jan,2015,201501
1520689,90764,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-02,Parts per billion,15.769565,24.1,10,23,Parts per million,0.007417,0.018000000000000002,0,17,Parts per billion,0.157143,0.4,11,,Parts per million,0.30313,0.458,9,,Jan,2015,201501
1520690,90765,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-02,Parts per billion,15.769565,24.1,10,23,Parts per million,0.007417,0.018000000000000002,0,17,Parts per billion,0.157143,0.4,11,,Parts per million,0.266667,0.4,23,5.0,Jan,2015,201501
1520691,90766,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-03,Parts per billion,6.943478,15.9,0,14,Parts per million,0.008375,0.014,10,13,Parts per billion,0.031818,0.2,0,0.0,Parts per million,0.259435,0.355,0,,Jan,2015,201501
1520692,90767,37,119,41,NorthCarolina,Mecklenburg,Charlotte,2015-01-03,Parts per billion,6.943478,15.9,0,14,Parts per million,0.008375,0.014,10,13,Parts per billion,0.031818,0.2,0,0.0,Parts per million,0.266667,0.4,0,5.0,Jan,2015,201501
