,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1523167,93580,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-01,Parts per billion,2.991667,16.7,23,15,Parts per million,0.027417,0.034,9,31,Parts per billion,0.3625,0.6,3,0.0,Parts per million,0.15345799999999998,0.224,23,,Jan,2015,201501
1523168,93581,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-01,Parts per billion,2.991667,16.7,23,15,Parts per million,0.027417,0.034,9,31,Parts per billion,0.3625,0.6,3,0.0,Parts per million,0.121053,0.2,20,2.0,Jan,2015,201501
1523169,93582,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-01,Parts per billion,2.991667,16.7,23,15,Parts per million,0.027417,0.034,9,31,Parts per billion,0.35,0.5,5,,Parts per million,0.15345799999999998,0.224,23,,Jan,2015,201501
1523170,93583,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-01,Parts per billion,2.991667,16.7,23,15,Parts per million,0.027417,0.034,9,31,Parts per billion,0.35,0.5,5,,Parts per million,0.121053,0.2,20,2.0,Jan,2015,201501
1523171,93584,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-02,Parts per billion,4.933333,8.9,19,8,Parts per million,0.020542,0.024,20,22,Parts per billion,0.35,0.4,0,0.0,Parts per million,0.187042,0.222,19,,Jan,2015,201501
1523172,93585,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-02,Parts per billion,4.933333,8.9,19,8,Parts per million,0.020542,0.024,20,22,Parts per billion,0.35,0.4,0,0.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1523173,93586,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-02,Parts per billion,4.933333,8.9,19,8,Parts per million,0.020542,0.024,20,22,Parts per billion,0.325,0.4,2,,Parts per million,0.187042,0.222,19,,Jan,2015,201501
1523174,93587,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-02,Parts per billion,4.933333,8.9,19,8,Parts per million,0.020542,0.024,20,22,Parts per billion,0.325,0.4,2,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1523175,93588,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-03,Parts per billion,2.370833,5.8,3,5,Parts per million,0.030792,0.033,8,31,Parts per billion,0.320833,0.5,2,0.0,Parts per million,0.16633299999999998,0.183,2,,Jan,2015,201501
1523176,93589,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-03,Parts per billion,2.370833,5.8,3,5,Parts per million,0.030792,0.033,8,31,Parts per billion,0.320833,0.5,2,0.0,Parts per million,0.195833,0.2,0,2.0,Jan,2015,201501
1523177,93590,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-03,Parts per billion,2.370833,5.8,3,5,Parts per million,0.030792,0.033,8,31,Parts per billion,0.3125,0.4,2,,Parts per million,0.16633299999999998,0.183,2,,Jan,2015,201501
1523178,93591,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-03,Parts per billion,2.370833,5.8,3,5,Parts per million,0.030792,0.033,8,31,Parts per billion,0.3125,0.4,2,,Parts per million,0.195833,0.2,0,2.0,Jan,2015,201501
1523179,93592,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-04,Parts per billion,0.954167,1.7,21,1,Parts per million,0.028333,0.03,0,28,Parts per billion,0.458333,0.9,21,0.0,Parts per million,0.14416700000000002,0.16,21,,Jan,2015,201501
1523180,93593,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-04,Parts per billion,0.954167,1.7,21,1,Parts per million,0.028333,0.03,0,28,Parts per billion,0.458333,0.9,21,0.0,Parts per million,0.129167,0.2,17,2.0,Jan,2015,201501
1523181,93594,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-04,Parts per billion,0.954167,1.7,21,1,Parts per million,0.028333,0.03,0,28,Parts per billion,0.425,0.7,23,,Parts per million,0.14416700000000002,0.16,21,,Jan,2015,201501
1523182,93595,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-04,Parts per billion,0.954167,1.7,21,1,Parts per million,0.028333,0.03,0,28,Parts per billion,0.425,0.7,23,,Parts per million,0.129167,0.2,17,2.0,Jan,2015,201501
1523183,93596,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-05,Parts per billion,5.179167,14.2,19,13,Parts per million,0.021083,0.024,0,22,Parts per billion,0.7125,1.3,11,1.0,Parts per million,0.175083,0.208,19,,Jan,2015,201501
1523184,93597,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-05,Parts per billion,5.179167,14.2,19,13,Parts per million,0.021083,0.024,0,22,Parts per billion,0.7125,1.3,11,1.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1523185,93598,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-05,Parts per billion,5.179167,14.2,19,13,Parts per million,0.021083,0.024,0,22,Parts per billion,0.675,1.0,11,,Parts per million,0.175083,0.208,19,,Jan,2015,201501
1523186,93599,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-05,Parts per billion,5.179167,14.2,19,13,Parts per million,0.021083,0.024,0,22,Parts per billion,0.675,1.0,11,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1523187,93600,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-06,Parts per billion,2.341667,4.2,1,4,Parts per million,0.028708,0.031,20,29,Parts per billion,0.745833,1.5,4,1.0,Parts per million,0.155708,0.177,13,,Jan,2015,201501
1523188,93601,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-06,Parts per billion,2.341667,4.2,1,4,Parts per million,0.028708,0.031,20,29,Parts per billion,0.745833,1.5,4,1.0,Parts per million,0.195833,0.2,0,2.0,Jan,2015,201501
1523189,93602,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-06,Parts per billion,2.341667,4.2,1,4,Parts per million,0.028708,0.031,20,29,Parts per billion,0.7,1.2,5,,Parts per million,0.155708,0.177,13,,Jan,2015,201501
1523190,93603,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-06,Parts per billion,2.341667,4.2,1,4,Parts per million,0.028708,0.031,20,29,Parts per billion,0.7,1.2,5,,Parts per million,0.195833,0.2,0,2.0,Jan,2015,201501
1523191,93604,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-07,Parts per billion,2.175,5.7,23,5,Parts per million,0.0285,0.031,9,29,Parts per billion,0.495833,0.7,20,0.0,Parts per million,0.136958,0.154,23,,Jan,2015,201501
1523192,93605,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-07,Parts per billion,2.175,5.7,23,5,Parts per million,0.0285,0.031,9,29,Parts per billion,0.495833,0.7,20,0.0,Parts per million,0.1,0.1,0,1.0,Jan,2015,201501
1523193,93606,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-07,Parts per billion,2.175,5.7,23,5,Parts per million,0.0285,0.031,9,29,Parts per billion,0.475,0.7,23,,Parts per million,0.136958,0.154,23,,Jan,2015,201501
1523194,93607,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-07,Parts per billion,2.175,5.7,23,5,Parts per million,0.0285,0.031,9,29,Parts per billion,0.475,0.7,23,,Parts per million,0.1,0.1,0,1.0,Jan,2015,201501
1523195,93608,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-08,Parts per billion,2.7625,6.6,0,6,Parts per million,0.032792,0.035,13,32,Parts per billion,0.5,0.8,5,0.0,Parts per million,0.145625,0.17600000000000002,7,,Jan,2015,201501
1523196,93609,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-08,Parts per billion,2.7625,6.6,0,6,Parts per million,0.032792,0.035,13,32,Parts per billion,0.5,0.8,5,0.0,Parts per million,0.158333,0.2,1,2.0,Jan,2015,201501
1523197,93610,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-08,Parts per billion,2.7625,6.6,0,6,Parts per million,0.032792,0.035,13,32,Parts per billion,0.475,0.6,5,,Parts per million,0.145625,0.17600000000000002,7,,Jan,2015,201501
1523198,93611,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-08,Parts per billion,2.7625,6.6,0,6,Parts per million,0.032792,0.035,13,32,Parts per billion,0.475,0.6,5,,Parts per million,0.158333,0.2,1,2.0,Jan,2015,201501
1523199,93612,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-09,Parts per billion,2.483333,7.6,23,7,Parts per million,0.029333,0.034,0,31,Parts per billion,0.495833,0.8,16,0.0,Parts per million,0.124542,0.14400000000000002,22,,Jan,2015,201501
1523200,93613,38,17,1004,NorthDakota,Cass,Not in a city,2015-01-09,Parts per billion,2.483333,7.6,23,7,Parts per million,0.029333,0.034,0,31,Parts per billion,0.495833,0.8,16,0.0,Parts per million,0.1,0.1,0,1.0,Jan,2015,201501
