,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1524185,94896,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.5217390000000001,1.0,1,1.0,Parts per million,0.174174,0.191,19,,Jan,2015,201501
1524186,94897,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.5217390000000001,1.0,1,1.0,Parts per million,0.2,0.2,6,2.0,Jan,2015,201501
1524187,94898,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.5,1.0,11,,Parts per million,0.174174,0.191,19,,Jan,2015,201501
1524188,94899,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.5,1.0,11,,Parts per million,0.2,0.2,6,2.0,Jan,2015,201501
1524189,94900,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.604348,1.2,10,1.0,Parts per million,0.174174,0.191,19,,Jan,2015,201501
1524190,94901,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.604348,1.2,10,1.0,Parts per million,0.2,0.2,6,2.0,Jan,2015,201501
1524191,94902,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.571429,1.0,11,,Parts per million,0.174174,0.191,19,,Jan,2015,201501
1524192,94903,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-01,Parts per billion,3.695652,5.0,1,5,Parts per million,0.023833,0.027000000000000003,9,25,Parts per billion,0.571429,1.0,11,,Parts per million,0.2,0.2,6,2.0,Jan,2015,201501
1524193,94904,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.391304,36.0,14,51.0,Parts per million,0.334087,0.856,22,,Jan,2015,201501
1524194,94905,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.391304,36.0,14,51.0,Parts per million,0.258333,0.6,23,7.0,Jan,2015,201501
1524195,94906,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.685714,26.6,14,,Parts per million,0.334087,0.856,22,,Jan,2015,201501
1524196,94907,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.685714,26.6,14,,Parts per million,0.258333,0.6,23,7.0,Jan,2015,201501
1524197,94908,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.6173910000000005,35.2,14,50.0,Parts per million,0.334087,0.856,22,,Jan,2015,201501
1524198,94909,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.6173910000000005,35.2,14,50.0,Parts per million,0.258333,0.6,23,7.0,Jan,2015,201501
1524199,94910,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.971429,26.2,14,,Parts per million,0.334087,0.856,22,,Jan,2015,201501
1524200,94911,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-02,Parts per billion,15.130435,31.0,20,29,Parts per million,0.00775,0.017,0,16,Parts per billion,4.971429,26.2,14,,Parts per million,0.258333,0.6,23,7.0,Jan,2015,201501
1524201,94912,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.52381,2.0,6,3.0,Parts per million,0.264522,0.456,1,,Jan,2015,201501
1524202,94913,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.52381,2.0,6,3.0,Parts per million,0.358333,0.6,0,7.0,Jan,2015,201501
1524203,94914,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.5,1.6,8,,Parts per million,0.264522,0.456,1,,Jan,2015,201501
1524204,94915,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.5,1.6,8,,Parts per million,0.358333,0.6,0,7.0,Jan,2015,201501
1524205,94916,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.682609,1.8,6,1.0,Parts per million,0.264522,0.456,1,,Jan,2015,201501
1524206,94917,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.682609,1.8,6,1.0,Parts per million,0.358333,0.6,0,7.0,Jan,2015,201501
1524207,94918,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.642857,1.6,8,,Parts per million,0.264522,0.456,1,,Jan,2015,201501
1524208,94919,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-03,Parts per billion,12.478261,24.0,1,23,Parts per million,0.011708,0.016,19,15,Parts per billion,0.642857,1.6,8,,Parts per million,0.358333,0.6,0,7.0,Jan,2015,201501
1524209,94920,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.347826,2.0,20,3.0,Parts per million,0.221913,0.35100000000000003,17,,Jan,2015,201501
1524210,94921,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.347826,2.0,20,3.0,Parts per million,0.225,0.3,17,3.0,Jan,2015,201501
1524211,94922,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.357143,1.6,23,,Parts per million,0.221913,0.35100000000000003,17,,Jan,2015,201501
1524212,94923,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.357143,1.6,23,,Parts per million,0.225,0.3,17,3.0,Jan,2015,201501
1524213,94924,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.452381,2.5,22,3.0,Parts per million,0.221913,0.35100000000000003,17,,Jan,2015,201501
1524214,94925,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.452381,2.5,22,3.0,Parts per million,0.225,0.3,17,3.0,Jan,2015,201501
1524215,94926,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.428571,1.7,23,,Parts per million,0.221913,0.35100000000000003,17,,Jan,2015,201501
1524216,94927,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-04,Parts per billion,6.1304349999999985,14.0,16,13,Parts per million,0.015458,0.032,22,30,Parts per billion,0.428571,1.7,23,,Parts per million,0.225,0.3,17,3.0,Jan,2015,201501
1524217,94928,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.8260870000000001,6.0,1,9.0,Parts per million,0.187,0.224,17,,Jan,2015,201501
1524218,94929,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.8260870000000001,6.0,1,9.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524219,94930,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.557143,3.0,8,,Parts per million,0.187,0.224,17,,Jan,2015,201501
1524220,94931,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.557143,3.0,8,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524221,94932,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.986957,6.3,8,9.0,Parts per million,0.187,0.224,17,,Jan,2015,201501
1524222,94933,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.986957,6.3,8,9.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524223,94934,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.7,3.4,8,,Parts per million,0.187,0.224,17,,Jan,2015,201501
1524224,94935,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-05,Parts per billion,5.782609,9.0,8,8,Parts per million,0.025769,0.032,0,30,Parts per billion,0.7,3.4,8,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524225,94936,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.652174,4.0,12,6.0,Parts per million,0.175217,0.219,7,,Jan,2015,201501
1524226,94937,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.652174,4.0,12,6.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524227,94938,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.685714,2.3,14,,Parts per million,0.175217,0.219,7,,Jan,2015,201501
1524228,94939,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.685714,2.3,14,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524229,94940,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.647826,4.4,12,6.0,Parts per million,0.175217,0.219,7,,Jan,2015,201501
1524230,94941,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.647826,4.4,12,6.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524231,94942,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.657143,2.2,14,,Parts per million,0.175217,0.219,7,,Jan,2015,201501
1524232,94943,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-06,Parts per billion,9.578947,14.0,7,13,Parts per million,0.023786,0.026,13,24,Parts per billion,0.657143,2.2,14,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524233,94944,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.0,29.0,20,41.0,Parts per million,0.186652,0.223,17,,Jan,2015,201501
1524234,94945,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.0,29.0,20,41.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524235,94946,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.528571,15.6,20,,Parts per million,0.186652,0.223,17,,Jan,2015,201501
1524236,94947,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.528571,15.6,20,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524237,94948,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.217391,29.4,20,41.0,Parts per million,0.186652,0.223,17,,Jan,2015,201501
1524238,94949,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.217391,29.4,20,41.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524239,94950,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.742857000000001,15.9,20,,Parts per million,0.186652,0.223,17,,Jan,2015,201501
1524240,94951,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-07,Parts per billion,7.75,13.0,20,12,Parts per million,0.026208,0.029,9,27,Parts per billion,6.742857000000001,15.9,20,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1524241,94952,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-08,Parts per billion,8.304348,12.0,17,11,Parts per million,0.025167,0.029,9,27,Parts per billion,1.2608700000000002,5.0,19,7.0,Parts per million,0.228217,0.353,15,,Jan,2015,201501
1524242,94953,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-08,Parts per billion,8.304348,12.0,17,11,Parts per million,0.025167,0.029,9,27,Parts per billion,1.2608700000000002,5.0,19,7.0,Parts per million,0.220833,0.3,18,3.0,Jan,2015,201501
1524243,94954,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-08,Parts per billion,8.304348,12.0,17,11,Parts per million,0.025167,0.029,9,27,Parts per billion,1.142857,3.3,20,,Parts per million,0.228217,0.353,15,,Jan,2015,201501
1524244,94955,39,35,60,Ohio,Cuyahoga,Cleveland,2015-01-08,Parts per billion,8.304348,12.0,17,11,Parts per million,0.025167,0.029,9,27,Parts per billion,1.142857,3.3,20,,Parts per million,0.220833,0.3,18,3.0,Jan,2015,201501
