,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1527888,98814,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-05,Parts per billion,8.0,20.0,23,19,Parts per million,0.019708,0.031,10,29,Parts per billion,0.166667,2.0,10,3.0,Parts per million,0.225,0.3,7,,Jan,2015,201501
1527889,98815,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-05,Parts per billion,8.0,20.0,23,19,Parts per million,0.019708,0.031,10,29,Parts per billion,0.166667,2.0,10,3.0,Parts per million,0.204167,0.3,23,3.0,Jan,2015,201501
1527890,98816,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-05,Parts per billion,8.0,20.0,23,19,Parts per million,0.019708,0.031,10,29,Parts per billion,0.1625,1.3,11,,Parts per million,0.225,0.3,7,,Jan,2015,201501
1527891,98817,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-05,Parts per billion,8.0,20.0,23,19,Parts per million,0.019708,0.031,10,29,Parts per billion,0.1625,1.3,11,,Parts per million,0.204167,0.3,23,3.0,Jan,2015,201501
1527892,98818,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-06,Parts per billion,11.416667,24.0,2,23,Parts per million,0.017458,0.027000000000000003,10,25,Parts per billion,0.291667,3.0,14,4.0,Parts per million,0.291667,0.4,2,,Jan,2015,201501
1527893,98819,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-06,Parts per billion,11.416667,24.0,2,23,Parts per million,0.017458,0.027000000000000003,10,25,Parts per billion,0.291667,3.0,14,4.0,Parts per million,0.291667,0.4,5,5.0,Jan,2015,201501
1527894,98820,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-06,Parts per billion,11.416667,24.0,2,23,Parts per million,0.017458,0.027000000000000003,10,25,Parts per billion,0.2875,2.0,14,,Parts per million,0.291667,0.4,2,,Jan,2015,201501
1527895,98821,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-06,Parts per billion,11.416667,24.0,2,23,Parts per million,0.017458,0.027000000000000003,10,25,Parts per billion,0.2875,2.0,14,,Parts per million,0.291667,0.4,5,5.0,Jan,2015,201501
1527896,98822,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-07,Parts per billion,2.625,7.0,22,7,Parts per million,0.027333,0.033,9,31,Parts per billion,0.083333,1.0,5,1.0,Parts per million,0.166667,0.2,0,,Jan,2015,201501
1527897,98823,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-07,Parts per billion,2.625,7.0,22,7,Parts per million,0.027333,0.033,9,31,Parts per billion,0.083333,1.0,5,1.0,Parts per million,0.191667,0.3,0,3.0,Jan,2015,201501
1527898,98824,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-07,Parts per billion,2.625,7.0,22,7,Parts per million,0.027333,0.033,9,31,Parts per billion,0.075,0.3,5,,Parts per million,0.166667,0.2,0,,Jan,2015,201501
1527899,98825,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-07,Parts per billion,2.625,7.0,22,7,Parts per million,0.027333,0.033,9,31,Parts per billion,0.075,0.3,5,,Parts per million,0.191667,0.3,0,3.0,Jan,2015,201501
1527900,98834,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-10,Parts per billion,8.0,22.0,1,21,Parts per million,0.025125,0.031,10,29,Parts per billion,0.041667,1.0,9,1.0,Parts per million,0.220833,0.3,0,,Jan,2015,201501
1527901,98835,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-10,Parts per billion,8.0,22.0,1,21,Parts per million,0.025125,0.031,10,29,Parts per billion,0.041667,1.0,9,1.0,Parts per million,0.229167,0.3,0,3.0,Jan,2015,201501
1527902,98836,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-10,Parts per billion,8.0,22.0,1,21,Parts per million,0.025125,0.031,10,29,Parts per billion,0.0375,0.3,11,,Parts per million,0.220833,0.3,0,,Jan,2015,201501
1527903,98837,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-10,Parts per billion,8.0,22.0,1,21,Parts per million,0.025125,0.031,10,29,Parts per billion,0.0375,0.3,11,,Parts per million,0.229167,0.3,0,3.0,Jan,2015,201501
1527904,98850,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-14,Parts per billion,13.0,27.0,6,25,Parts per million,0.014958,0.026,10,24,Parts per billion,0.708333,2.0,14,3.0,Parts per million,0.3125,0.6,8,,Jan,2015,201501
1527905,98851,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-14,Parts per billion,13.0,27.0,6,25,Parts per million,0.014958,0.026,10,24,Parts per billion,0.708333,2.0,14,3.0,Parts per million,0.329167,0.4,8,5.0,Jan,2015,201501
1527906,98852,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-14,Parts per billion,13.0,27.0,6,25,Parts per million,0.014958,0.026,10,24,Parts per billion,0.6875,1.3,14,,Parts per million,0.3125,0.6,8,,Jan,2015,201501
1527907,98853,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-14,Parts per billion,13.0,27.0,6,25,Parts per million,0.014958,0.026,10,24,Parts per billion,0.6875,1.3,14,,Parts per million,0.329167,0.4,8,5.0,Jan,2015,201501
1527908,98854,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-15,Parts per billion,13.333332999999998,33.0,23,31,Parts per million,0.015375,0.035,10,32,Parts per billion,0.041667,1.0,0,1.0,Parts per million,0.31666700000000003,0.5,8,,Jan,2015,201501
1527909,98855,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-15,Parts per billion,13.333332999999998,33.0,23,31,Parts per million,0.015375,0.035,10,32,Parts per billion,0.041667,1.0,0,1.0,Parts per million,0.291667,0.4,23,5.0,Jan,2015,201501
1527910,98856,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-15,Parts per billion,13.333332999999998,33.0,23,31,Parts per million,0.015375,0.035,10,32,Parts per billion,0.0375,0.3,2,,Parts per million,0.31666700000000003,0.5,8,,Jan,2015,201501
1527911,98857,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-15,Parts per billion,13.333332999999998,33.0,23,31,Parts per million,0.015375,0.035,10,32,Parts per billion,0.0375,0.3,2,,Parts per million,0.291667,0.4,23,5.0,Jan,2015,201501
1527912,98858,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-16,Parts per billion,18.363636,34.0,0,32,Parts per million,0.024292,0.038,11,35,Parts per billion,0.208333,1.0,5,1.0,Parts per million,0.413636,0.9,7,,Jan,2015,201501
1527913,98859,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-16,Parts per billion,18.363636,34.0,0,32,Parts per million,0.024292,0.038,11,35,Parts per billion,0.208333,1.0,5,1.0,Parts per million,0.454167,0.7,9,8.0,Jan,2015,201501
1527914,98860,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-16,Parts per billion,18.363636,34.0,0,32,Parts per million,0.024292,0.038,11,35,Parts per billion,0.2,1.0,8,,Parts per million,0.413636,0.9,7,,Jan,2015,201501
1527915,98861,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-16,Parts per billion,18.363636,34.0,0,32,Parts per million,0.024292,0.038,11,35,Parts per billion,0.2,1.0,8,,Parts per million,0.454167,0.7,9,8.0,Jan,2015,201501
1527916,98866,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-18,Parts per billion,8.041667,24.0,4,23,Parts per million,0.028833,0.041,10,38,Parts per billion,0.041667,1.0,16,1.0,Parts per million,0.2375,0.4,4,,Jan,2015,201501
1527917,98867,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-18,Parts per billion,8.041667,24.0,4,23,Parts per million,0.028833,0.041,10,38,Parts per billion,0.041667,1.0,16,1.0,Parts per million,0.245833,0.3,1,3.0,Jan,2015,201501
1527918,98868,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-18,Parts per billion,8.041667,24.0,4,23,Parts per million,0.028833,0.041,10,38,Parts per billion,0.0375,0.3,17,,Parts per million,0.2375,0.4,4,,Jan,2015,201501
1527919,98869,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-18,Parts per billion,8.041667,24.0,4,23,Parts per million,0.028833,0.041,10,38,Parts per billion,0.0375,0.3,17,,Parts per million,0.245833,0.3,1,3.0,Jan,2015,201501
1527920,98870,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-19,Parts per billion,16.916667,35.0,22,33,Parts per million,0.01875,0.035,10,32,Parts per billion,0.208333,1.0,19,1.0,Parts per million,0.395833,1.0,21,,Jan,2015,201501
1527921,98871,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-19,Parts per billion,16.916667,35.0,22,33,Parts per million,0.01875,0.035,10,32,Parts per billion,0.208333,1.0,19,1.0,Parts per million,0.320833,0.6,23,7.0,Jan,2015,201501
1527922,98872,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-19,Parts per billion,16.916667,35.0,22,33,Parts per million,0.01875,0.035,10,32,Parts per billion,0.2,1.0,23,,Parts per million,0.395833,1.0,21,,Jan,2015,201501
1527923,98873,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-19,Parts per billion,16.916667,35.0,22,33,Parts per million,0.01875,0.035,10,32,Parts per billion,0.2,1.0,23,,Parts per million,0.320833,0.6,23,7.0,Jan,2015,201501
1527924,98874,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-20,Parts per billion,7.0833330000000005,22.0,22,21,Parts per million,0.02775,0.04,11,37,Parts per billion,0.5,3.0,20,4.0,Parts per million,0.258333,0.4,0,,Jan,2015,201501
1527925,98875,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-20,Parts per billion,7.0833330000000005,22.0,22,21,Parts per million,0.02775,0.04,11,37,Parts per billion,0.5,3.0,20,4.0,Parts per million,0.308333,0.6,0,7.0,Jan,2015,201501
1527926,98876,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-20,Parts per billion,7.0833330000000005,22.0,22,21,Parts per million,0.02775,0.04,11,37,Parts per billion,0.475,1.6,20,,Parts per million,0.258333,0.4,0,,Jan,2015,201501
1527927,98877,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-20,Parts per billion,7.0833330000000005,22.0,22,21,Parts per million,0.02775,0.04,11,37,Parts per billion,0.475,1.6,20,,Parts per million,0.308333,0.6,0,7.0,Jan,2015,201501
1527928,98882,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-22,Parts per billion,2.916667,8.0,8,8,Parts per million,0.026292000000000003,0.034,0,31,Parts per billion,0.083333,1.0,18,1.0,Parts per million,0.233333,0.3,7,,Jan,2015,201501
1527929,98883,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-22,Parts per billion,2.916667,8.0,8,8,Parts per million,0.026292000000000003,0.034,0,31,Parts per billion,0.083333,1.0,18,1.0,Parts per million,0.229167,0.3,10,3.0,Jan,2015,201501
1527930,98884,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-22,Parts per billion,2.916667,8.0,8,8,Parts per million,0.026292000000000003,0.034,0,31,Parts per billion,0.075,0.6,20,,Parts per million,0.233333,0.3,7,,Jan,2015,201501
1527931,98885,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-22,Parts per billion,2.916667,8.0,8,8,Parts per million,0.026292000000000003,0.034,0,31,Parts per billion,0.075,0.6,20,,Parts per million,0.229167,0.3,10,3.0,Jan,2015,201501
1527932,98886,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-23,Parts per billion,8.416667,17.0,7,16,Parts per million,0.02125,0.032,11,30,Parts per billion,0.291667,1.0,10,1.0,Parts per million,0.295833,0.4,7,,Jan,2015,201501
1527933,98887,40,109,1037,Oklahoma,Oklahoma,Oklahoma City,2015-01-23,Parts per billion,8.416667,17.0,7,16,Parts per million,0.02125,0.032,11,30,Parts per billion,0.291667,1.0,10,1.0,Parts per million,0.3,0.4,12,5.0,Jan,2015,201501
