,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1529516,100578,41,51,80,Oregon,Multnomah,Portland,2015-01-01,Parts per billion,5.15,7.0,16,7,Parts per million,0.024125,0.026,8,24,Parts per billion,0.875,2.4,5,3.0,Parts per million,0.178625,0.226,17,,Jan,2015,201501
1529517,100579,41,51,80,Oregon,Multnomah,Portland,2015-01-01,Parts per billion,5.15,7.0,16,7,Parts per million,0.024125,0.026,8,24,Parts per billion,0.875,2.4,5,3.0,Parts per million,0.2,0.2,5,2.0,Jan,2015,201501
1529518,100580,41,51,80,Oregon,Multnomah,Portland,2015-01-01,Parts per billion,5.15,7.0,16,7,Parts per million,0.024125,0.026,8,24,Parts per billion,0.85,1.7,5,,Parts per million,0.178625,0.226,17,,Jan,2015,201501
1529519,100581,41,51,80,Oregon,Multnomah,Portland,2015-01-01,Parts per billion,5.15,7.0,16,7,Parts per million,0.024125,0.026,8,24,Parts per billion,0.85,1.7,5,,Parts per million,0.2,0.2,5,2.0,Jan,2015,201501
1529520,100582,41,51,80,Oregon,Multnomah,Portland,2015-01-02,Parts per billion,18.154167,28.3,23,26,Parts per million,0.007042000000000001,0.015,0,14,Parts per billion,0.675,1.7,8,1.0,Parts per million,0.430333,0.903,8,,Jan,2015,201501
1529521,100583,41,51,80,Oregon,Multnomah,Portland,2015-01-02,Parts per billion,18.154167,28.3,23,26,Parts per million,0.007042000000000001,0.015,0,14,Parts per billion,0.675,1.7,8,1.0,Parts per million,0.379167,0.6,12,7.0,Jan,2015,201501
1529522,100584,41,51,80,Oregon,Multnomah,Portland,2015-01-02,Parts per billion,18.154167,28.3,23,26,Parts per million,0.007042000000000001,0.015,0,14,Parts per billion,0.6375,1.3,8,,Parts per million,0.430333,0.903,8,,Jan,2015,201501
1529523,100585,41,51,80,Oregon,Multnomah,Portland,2015-01-02,Parts per billion,18.154167,28.3,23,26,Parts per million,0.007042000000000001,0.015,0,14,Parts per billion,0.6375,1.3,8,,Parts per million,0.379167,0.6,12,7.0,Jan,2015,201501
1529524,100586,41,51,80,Oregon,Multnomah,Portland,2015-01-03,Parts per billion,21.604167,31.0,0,29,Parts per million,0.000167,0.001,7,1,Parts per billion,0.7375,1.8,7,1.0,Parts per million,0.5465,0.746,0,,Jan,2015,201501
1529525,100587,41,51,80,Oregon,Multnomah,Portland,2015-01-03,Parts per billion,21.604167,31.0,0,29,Parts per million,0.000167,0.001,7,1,Parts per billion,0.7375,1.8,7,1.0,Parts per million,0.566667,0.6,0,7.0,Jan,2015,201501
1529526,100588,41,51,80,Oregon,Multnomah,Portland,2015-01-03,Parts per billion,21.604167,31.0,0,29,Parts per million,0.000167,0.001,7,1,Parts per billion,0.7,1.5,8,,Parts per million,0.5465,0.746,0,,Jan,2015,201501
1529527,100589,41,51,80,Oregon,Multnomah,Portland,2015-01-03,Parts per billion,21.604167,31.0,0,29,Parts per million,0.000167,0.001,7,1,Parts per billion,0.7,1.5,8,,Parts per million,0.566667,0.6,0,7.0,Jan,2015,201501
1529528,100590,41,51,80,Oregon,Multnomah,Portland,2015-01-04,Parts per billion,9.554167,15.9,13,14,Parts per million,0.014208000000000004,0.027000000000000003,18,25,Parts per billion,0.358333,0.7,2,0.0,Parts per million,0.326208,0.5770000000000001,13,,Jan,2015,201501
1529529,100591,41,51,80,Oregon,Multnomah,Portland,2015-01-04,Parts per billion,9.554167,15.9,13,14,Parts per million,0.014208000000000004,0.027000000000000003,18,25,Parts per billion,0.358333,0.7,2,0.0,Parts per million,0.379167,0.5,0,6.0,Jan,2015,201501
1529530,100592,41,51,80,Oregon,Multnomah,Portland,2015-01-04,Parts per billion,9.554167,15.9,13,14,Parts per million,0.014208000000000004,0.027000000000000003,18,25,Parts per billion,0.3375,0.5,11,,Parts per million,0.326208,0.5770000000000001,13,,Jan,2015,201501
1529531,100593,41,51,80,Oregon,Multnomah,Portland,2015-01-04,Parts per billion,9.554167,15.9,13,14,Parts per million,0.014208000000000004,0.027000000000000003,18,25,Parts per billion,0.3375,0.5,11,,Parts per million,0.379167,0.5,0,6.0,Jan,2015,201501
1529532,100594,41,51,80,Oregon,Multnomah,Portland,2015-01-05,Parts per billion,9.216667,25.2,17,24,Parts per million,0.013083,0.026,0,24,Parts per billion,0.891667,2.6,20,3.0,Parts per million,0.462875,1.5630000000000002,21,,Jan,2015,201501
1529533,100595,41,51,80,Oregon,Multnomah,Portland,2015-01-05,Parts per billion,9.216667,25.2,17,24,Parts per million,0.013083,0.026,0,24,Parts per billion,0.891667,2.6,20,3.0,Parts per million,0.295833,1.1,23,13.0,Jan,2015,201501
1529534,100596,41,51,80,Oregon,Multnomah,Portland,2015-01-05,Parts per billion,9.216667,25.2,17,24,Parts per million,0.013083,0.026,0,24,Parts per billion,0.8625,2.5,23,,Parts per million,0.462875,1.5630000000000002,21,,Jan,2015,201501
1529535,100597,41,51,80,Oregon,Multnomah,Portland,2015-01-05,Parts per billion,9.216667,25.2,17,24,Parts per million,0.013083,0.026,0,24,Parts per billion,0.8625,2.5,23,,Parts per million,0.295833,1.1,23,13.0,Jan,2015,201501
1529540,100602,41,51,80,Oregon,Multnomah,Portland,2015-01-07,Parts per billion,13.933333,19.5,13,18,Parts per million,0.000125,0.001,10,1,Parts per billion,1.879167,2.6,4,3.0,Parts per million,0.714417,1.3130000000000002,8,,Jan,2015,201501
1529541,100603,41,51,80,Oregon,Multnomah,Portland,2015-01-07,Parts per billion,13.933333,19.5,13,18,Parts per million,0.000125,0.001,10,1,Parts per billion,1.879167,2.6,4,3.0,Parts per million,0.7625,0.9,0,10.0,Jan,2015,201501
1529542,100604,41,51,80,Oregon,Multnomah,Portland,2015-01-07,Parts per billion,13.933333,19.5,13,18,Parts per million,0.000125,0.001,10,1,Parts per billion,1.85,2.4,5,,Parts per million,0.714417,1.3130000000000002,8,,Jan,2015,201501
1529543,100605,41,51,80,Oregon,Multnomah,Portland,2015-01-07,Parts per billion,13.933333,19.5,13,18,Parts per million,0.000125,0.001,10,1,Parts per billion,1.85,2.4,5,,Parts per million,0.7625,0.9,0,10.0,Jan,2015,201501
1529544,100606,41,51,80,Oregon,Multnomah,Portland,2015-01-08,Parts per billion,9.016667,15.0,7,14,Parts per million,0.009542,0.016,20,15,Parts per billion,0.809091,1.4,5,1.0,Parts per million,0.255083,0.397,0,,Jan,2015,201501
1529545,100607,41,51,80,Oregon,Multnomah,Portland,2015-01-08,Parts per billion,9.016667,15.0,7,14,Parts per million,0.009542,0.016,20,15,Parts per billion,0.809091,1.4,5,1.0,Parts per million,0.31666700000000003,0.6,0,7.0,Jan,2015,201501
1529546,100608,41,51,80,Oregon,Multnomah,Portland,2015-01-08,Parts per billion,9.016667,15.0,7,14,Parts per million,0.009542,0.016,20,15,Parts per billion,0.816667,1.2,2,,Parts per million,0.255083,0.397,0,,Jan,2015,201501
1529547,100609,41,51,80,Oregon,Multnomah,Portland,2015-01-08,Parts per billion,9.016667,15.0,7,14,Parts per million,0.009542,0.016,20,15,Parts per billion,0.816667,1.2,2,,Parts per million,0.31666700000000003,0.6,0,7.0,Jan,2015,201501
1529548,100610,41,51,80,Oregon,Multnomah,Portland,2015-01-09,Parts per billion,6.021739,13.7,22,12,Parts per million,0.009125,0.015,0,14,Parts per billion,0.391667,0.9,3,0.0,Parts per million,0.183958,0.415,22,,Jan,2015,201501
1529549,100611,41,51,80,Oregon,Multnomah,Portland,2015-01-09,Parts per billion,6.021739,13.7,22,12,Parts per million,0.009125,0.015,0,14,Parts per billion,0.391667,0.9,3,0.0,Parts per million,0.1625,0.2,0,2.0,Jan,2015,201501
1529550,100612,41,51,80,Oregon,Multnomah,Portland,2015-01-09,Parts per billion,6.021739,13.7,22,12,Parts per million,0.009125,0.015,0,14,Parts per billion,0.3625,0.8,5,,Parts per million,0.183958,0.415,22,,Jan,2015,201501
1529551,100613,41,51,80,Oregon,Multnomah,Portland,2015-01-09,Parts per billion,6.021739,13.7,22,12,Parts per million,0.009125,0.015,0,14,Parts per billion,0.3625,0.8,5,,Parts per million,0.1625,0.2,0,2.0,Jan,2015,201501
1529552,100614,41,51,80,Oregon,Multnomah,Portland,2015-01-10,Parts per billion,10.895833,14.1,1,13,Parts per million,4.2e-05,0.001,0,1,Parts per billion,1.104167,2.0,20,3.0,Parts per million,0.573375,0.738,20,,Jan,2015,201501
1529553,100615,41,51,80,Oregon,Multnomah,Portland,2015-01-10,Parts per billion,10.895833,14.1,1,13,Parts per million,4.2e-05,0.001,0,1,Parts per billion,1.104167,2.0,20,3.0,Parts per million,0.516667,0.6,6,7.0,Jan,2015,201501
1529554,100616,41,51,80,Oregon,Multnomah,Portland,2015-01-10,Parts per billion,10.895833,14.1,1,13,Parts per million,4.2e-05,0.001,0,1,Parts per billion,1.0625,1.6,20,,Parts per million,0.573375,0.738,20,,Jan,2015,201501
1529555,100617,41,51,80,Oregon,Multnomah,Portland,2015-01-10,Parts per billion,10.895833,14.1,1,13,Parts per million,4.2e-05,0.001,0,1,Parts per billion,1.0625,1.6,20,,Parts per million,0.516667,0.6,6,7.0,Jan,2015,201501
1529556,100618,41,51,80,Oregon,Multnomah,Portland,2015-01-11,Parts per billion,8.283333,10.9,18,9,Parts per million,0.002292,0.006,21,6,Parts per billion,0.666667,1.1,8,1.0,Parts per million,0.28,0.449,0,,Jan,2015,201501
1529557,100619,41,51,80,Oregon,Multnomah,Portland,2015-01-11,Parts per billion,8.283333,10.9,18,9,Parts per million,0.002292,0.006,21,6,Parts per billion,0.666667,1.1,8,1.0,Parts per million,0.345833,0.6,0,7.0,Jan,2015,201501
1529558,100620,41,51,80,Oregon,Multnomah,Portland,2015-01-11,Parts per billion,8.283333,10.9,18,9,Parts per million,0.002292,0.006,21,6,Parts per billion,0.6375,0.9,8,,Parts per million,0.28,0.449,0,,Jan,2015,201501
1529559,100621,41,51,80,Oregon,Multnomah,Portland,2015-01-11,Parts per billion,8.283333,10.9,18,9,Parts per million,0.002292,0.006,21,6,Parts per billion,0.6375,0.9,8,,Parts per million,0.345833,0.6,0,7.0,Jan,2015,201501
1529560,100622,41,51,80,Oregon,Multnomah,Portland,2015-01-12,Parts per billion,6.775,11.4,17,10,Parts per million,0.007125,0.009000000000000001,9,8,Parts per billion,0.516667,0.9,0,0.0,Parts per million,0.194917,0.264,17,,Jan,2015,201501
1529561,100623,41,51,80,Oregon,Multnomah,Portland,2015-01-12,Parts per billion,6.775,11.4,17,10,Parts per million,0.007125,0.009000000000000001,9,8,Parts per billion,0.516667,0.9,0,0.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1529562,100624,41,51,80,Oregon,Multnomah,Portland,2015-01-12,Parts per billion,6.775,11.4,17,10,Parts per million,0.007125,0.009000000000000001,9,8,Parts per billion,0.475,0.7,2,,Parts per million,0.194917,0.264,17,,Jan,2015,201501
1529563,100625,41,51,80,Oregon,Multnomah,Portland,2015-01-12,Parts per billion,6.775,11.4,17,10,Parts per million,0.007125,0.009000000000000001,9,8,Parts per billion,0.475,0.7,2,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1529564,100626,41,51,80,Oregon,Multnomah,Portland,2015-01-13,Parts per billion,6.0956519999999985,16.2,8,15,Parts per million,0.014708,0.022,22,20,Parts per billion,0.504167,1.8,9,1.0,Parts per million,0.186833,0.454,8,,Jan,2015,201501
1529565,100627,41,51,80,Oregon,Multnomah,Portland,2015-01-13,Parts per billion,6.0956519999999985,16.2,8,15,Parts per million,0.014708,0.022,22,20,Parts per billion,0.504167,1.8,9,1.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1529566,100628,41,51,80,Oregon,Multnomah,Portland,2015-01-13,Parts per billion,6.0956519999999985,16.2,8,15,Parts per million,0.014708,0.022,22,20,Parts per billion,0.4875,1.0,11,,Parts per million,0.186833,0.454,8,,Jan,2015,201501
1529567,100629,41,51,80,Oregon,Multnomah,Portland,2015-01-13,Parts per billion,6.0956519999999985,16.2,8,15,Parts per million,0.014708,0.022,22,20,Parts per billion,0.4875,1.0,11,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1529568,100630,41,51,80,Oregon,Multnomah,Portland,2015-01-14,Parts per billion,4.2083330000000005,6.0,8,6,Parts per million,0.019583,0.022,0,20,Parts per billion,0.2375,0.5,20,0.0,Parts per million,0.152417,0.175,8,,Jan,2015,201501
1529569,100631,41,51,80,Oregon,Multnomah,Portland,2015-01-14,Parts per billion,4.2083330000000005,6.0,8,6,Parts per million,0.019583,0.022,0,20,Parts per billion,0.2375,0.5,20,0.0,Parts per million,0.1625,0.2,0,2.0,Jan,2015,201501
1529570,100632,41,51,80,Oregon,Multnomah,Portland,2015-01-14,Parts per billion,4.2083330000000005,6.0,8,6,Parts per million,0.019583,0.022,0,20,Parts per billion,0.2125,0.4,20,,Parts per million,0.152417,0.175,8,,Jan,2015,201501
1529571,100633,41,51,80,Oregon,Multnomah,Portland,2015-01-14,Parts per billion,4.2083330000000005,6.0,8,6,Parts per million,0.019583,0.022,0,20,Parts per billion,0.2125,0.4,20,,Parts per million,0.1625,0.2,0,2.0,Jan,2015,201501
1529572,100634,41,51,80,Oregon,Multnomah,Portland,2015-01-15,Parts per billion,8.916667,17.3,23,16,Parts per million,0.010958,0.017,0,16,Parts per billion,0.069565,0.3,8,0.0,Parts per million,0.219292,0.412,23,,Jan,2015,201501
