,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1568514,19534,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-07,Parts per billion,8.041667,13.0,16,12,Parts per million,0.020083,0.025,9,23,Parts per billion,0.125,1.0,10,1.0,Parts per million,0.091667,0.2,11,,Jan,2016,201601
1568515,19535,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-07,Parts per billion,8.041667,13.0,16,12,Parts per million,0.020083,0.025,9,23,Parts per billion,0.125,1.0,10,1.0,Parts per million,0.079167,0.2,16,2.0,Jan,2016,201601
1568516,19536,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-07,Parts per billion,8.041667,13.0,16,12,Parts per million,0.020083,0.025,9,23,Parts per billion,0.1125,0.6,11,,Parts per million,0.091667,0.2,11,,Jan,2016,201601
1568517,19537,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-07,Parts per billion,8.041667,13.0,16,12,Parts per million,0.020083,0.025,9,23,Parts per billion,0.1125,0.6,11,,Parts per million,0.079167,0.2,16,2.0,Jan,2016,201601
1568518,19562,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-14,Parts per billion,1.958333,5.0,9,5,Parts per million,0.031917,0.037000000000000005,13,34,Parts per billion,0.041667,1.0,13,1.0,Parts per million,0.095833,0.1,1,,Jan,2016,201601
1568519,19563,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-14,Parts per billion,1.958333,5.0,9,5,Parts per million,0.031917,0.037000000000000005,13,34,Parts per billion,0.041667,1.0,13,1.0,Parts per million,0.091667,0.1,2,1.0,Jan,2016,201601
1568520,19564,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-14,Parts per billion,1.958333,5.0,9,5,Parts per million,0.031917,0.037000000000000005,13,34,Parts per billion,0.0375,0.3,14,,Parts per million,0.095833,0.1,1,,Jan,2016,201601
1568521,19565,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-14,Parts per billion,1.958333,5.0,9,5,Parts per million,0.031917,0.037000000000000005,13,34,Parts per billion,0.0375,0.3,14,,Parts per million,0.091667,0.1,2,1.0,Jan,2016,201601
1568522,19574,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-17,Parts per billion,0.26087,1.0,2,1,Parts per million,0.027417,0.03,20,28,Parts per billion,0.125,1.0,9,1.0,Parts per million,0.034783,0.1,10,,Jan,2016,201601
1568523,19575,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-17,Parts per billion,0.26087,1.0,2,1,Parts per million,0.027417,0.03,20,28,Parts per billion,0.125,1.0,9,1.0,Parts per million,0.041667,0.1,0,1.0,Jan,2016,201601
1568524,19576,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-17,Parts per billion,0.26087,1.0,2,1,Parts per million,0.027417,0.03,20,28,Parts per billion,0.1125,0.3,11,,Parts per million,0.034783,0.1,10,,Jan,2016,201601
1568525,19577,42,1,1,Pennsylvania,Adams,Not in a city,2016-01-17,Parts per billion,0.26087,1.0,2,1,Parts per million,0.027417,0.03,20,28,Parts per billion,0.1125,0.3,11,,Parts per million,0.041667,0.1,0,1.0,Jan,2016,201601
