,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1569610,20840,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-01,Parts per billion,4.971429,8.6,8,8,Parts per million,0.027208,0.029,16,27,Parts per billion,0.195238,0.3,6,0.0,Parts per million,0.195714,0.24,8,,Jan,2016,201601
1569611,20841,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-01,Parts per billion,4.971429,8.6,8,8,Parts per million,0.027208,0.029,16,27,Parts per billion,0.195238,0.3,6,0.0,Parts per million,0.2,0.2,8,2.0,Jan,2016,201601
1569612,20842,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-01,Parts per billion,4.971429,8.6,8,8,Parts per million,0.027208,0.029,16,27,Parts per billion,0.157143,0.3,8,,Parts per million,0.195714,0.24,8,,Jan,2016,201601
1569613,20843,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-01,Parts per billion,4.971429,8.6,8,8,Parts per million,0.027208,0.029,16,27,Parts per billion,0.157143,0.3,8,,Parts per million,0.2,0.2,8,2.0,Jan,2016,201601
1569614,20844,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-02,Parts per billion,8.129167,24.4,20,23,Parts per million,0.024542,0.032,8,30,Parts per billion,0.354167,0.7,23,0.0,Parts per million,0.208333,0.35,20,,Jan,2016,201601
1569615,20845,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-02,Parts per billion,8.129167,24.4,20,23,Parts per million,0.024542,0.032,8,30,Parts per billion,0.354167,0.7,23,0.0,Parts per million,0.204167,0.3,23,3.0,Jan,2016,201601
1569616,20846,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-02,Parts per billion,8.129167,24.4,20,23,Parts per million,0.024542,0.032,8,30,Parts per billion,0.3125,0.4,5,,Parts per million,0.208333,0.35,20,,Jan,2016,201601
1569617,20847,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-02,Parts per billion,8.129167,24.4,20,23,Parts per million,0.024542,0.032,8,30,Parts per billion,0.3125,0.4,5,,Parts per million,0.204167,0.3,23,3.0,Jan,2016,201601
1569618,20848,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-03,Parts per billion,11.8,21.8,0,20,Parts per million,0.02,0.03,9,28,Parts per billion,0.845833,1.9,7,1.0,Parts per million,0.237917,0.32,0,,Jan,2016,201601
1569619,20849,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-03,Parts per billion,11.8,21.8,0,20,Parts per million,0.02,0.03,9,28,Parts per billion,0.845833,1.9,7,1.0,Parts per million,0.2375,0.3,0,3.0,Jan,2016,201601
1569620,20850,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-03,Parts per billion,11.8,21.8,0,20,Parts per million,0.02,0.03,9,28,Parts per billion,0.8125,1.6,8,,Parts per million,0.237917,0.32,0,,Jan,2016,201601
1569621,20851,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-03,Parts per billion,11.8,21.8,0,20,Parts per million,0.02,0.03,9,28,Parts per billion,0.8125,1.6,8,,Parts per million,0.2375,0.3,0,3.0,Jan,2016,201601
1569622,20852,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-04,Parts per billion,9.990909,28.3,4,26,Parts per million,0.0225,0.028,17,26,Parts per billion,0.4130430000000001,1.0,2,1.0,Parts per million,0.263182,0.6,3,,Jan,2016,201601
1569623,20853,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-04,Parts per billion,9.990909,28.3,4,26,Parts per million,0.0225,0.028,17,26,Parts per billion,0.4130430000000001,1.0,2,1.0,Parts per million,0.291667,0.5,5,6.0,Jan,2016,201601
1569624,20854,44,7,1010,RhodeIsland,Providence,East Providence,2016-01-04,Parts per billion,9.990909,28.3,4,26,Parts per million,0.0225,0.028,17,26,Parts per billion,0.342857,0.9,5,,Parts per million,0.263182,0.6,3,,Jan,2016,201601
