,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1570092,21324,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-18,Parts per billion,18.0,25.0,23,24,Parts per million,0.019042,0.032,10,30,Parts per billion,0.125,0.3,7,0.0,Parts per million,0.129167,0.4,7,,Feb,2016,201602
1570093,21325,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-18,Parts per billion,18.0,25.0,23,24,Parts per million,0.019042,0.032,10,30,Parts per billion,0.125,0.3,7,0.0,Parts per million,0.17916700000000002,0.4,0,5.0,Feb,2016,201602
1570094,21326,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-18,Parts per billion,18.0,25.0,23,24,Parts per million,0.019042,0.032,10,30,Parts per billion,0.1,0.2,8,,Parts per million,0.129167,0.4,7,,Feb,2016,201602
1570095,21327,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-18,Parts per billion,18.0,25.0,23,24,Parts per million,0.019042,0.032,10,30,Parts per billion,0.1,0.2,8,,Parts per million,0.17916700000000002,0.4,0,5.0,Feb,2016,201602
1570096,21328,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-19,Parts per billion,14.590909,27.0,7,25,Parts per million,0.021292,0.037000000000000005,10,34,Parts per billion,0.3625,1.0,11,1.0,Parts per million,0.220833,0.6,7,,Feb,2016,201602
1570097,21329,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-19,Parts per billion,14.590909,27.0,7,25,Parts per million,0.021292,0.037000000000000005,10,34,Parts per billion,0.3625,1.0,11,1.0,Parts per million,0.208333,0.3,7,3.0,Feb,2016,201602
1570098,21330,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-19,Parts per billion,14.590909,27.0,7,25,Parts per million,0.021292,0.037000000000000005,10,34,Parts per billion,0.3125,0.5,20,,Parts per million,0.220833,0.6,7,,Feb,2016,201602
1570099,21331,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-19,Parts per billion,14.590909,27.0,7,25,Parts per million,0.021292,0.037000000000000005,10,34,Parts per billion,0.3125,0.5,20,,Parts per million,0.208333,0.3,7,3.0,Feb,2016,201602
1570100,21332,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-20,Parts per billion,8.826087,26.0,3,25,Parts per million,0.024125,0.034,10,31,Parts per billion,0.304167,0.7,9,0.0,Parts per million,0.225,0.4,3,,Feb,2016,201602
1570101,21333,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-20,Parts per billion,8.826087,26.0,3,25,Parts per million,0.024125,0.034,10,31,Parts per billion,0.304167,0.7,9,0.0,Parts per million,0.241667,0.3,0,3.0,Feb,2016,201602
1570102,21334,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-20,Parts per billion,8.826087,26.0,3,25,Parts per million,0.024125,0.034,10,31,Parts per billion,0.275,0.5,11,,Parts per million,0.225,0.4,3,,Feb,2016,201602
1570103,21335,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-20,Parts per billion,8.826087,26.0,3,25,Parts per million,0.024125,0.034,10,31,Parts per billion,0.275,0.5,11,,Parts per million,0.241667,0.3,0,3.0,Feb,2016,201602
1570104,21336,45,79,7,SouthCarolina,Richland,Dentsville (Dents),2016-02-21,Parts per billion,5.695652,19.0,3,18,Parts per million,0.022042,0.028,14,26,Parts per billion,0.225,0.5,8,0.0,Parts per million,0.216667,0.4,3,,Feb,2016,201602
