,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1537546,109890,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-01,Parts per billion,10.525,31.4,20,29,Parts per million,0.011292,0.014,7,13,Parts per billion,0.670833,0.7,0,0.0,Parts per million,0.25,0.5,19,,Jan,2015,201501
1537547,109891,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-01,Parts per billion,10.525,31.4,20,29,Parts per million,0.011292,0.014,7,13,Parts per billion,0.670833,0.7,0,0.0,Parts per million,0.231579,0.4,23,5.0,Jan,2015,201501
1537548,109892,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-01,Parts per billion,10.525,31.4,20,29,Parts per million,0.011292,0.014,7,13,Parts per billion,0.625,0.7,5,,Parts per million,0.25,0.5,19,,Jan,2015,201501
1537549,109893,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-01,Parts per billion,10.525,31.4,20,29,Parts per million,0.011292,0.014,7,13,Parts per billion,0.625,0.7,5,,Parts per million,0.231579,0.4,23,5.0,Jan,2015,201501
1537550,109894,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-02,Parts per billion,6.568182000000001,9.8,18,8,Parts per million,0.009292,0.01,0,9,Parts per billion,0.763636,1.1,11,1.0,Parts per million,0.2,0.3,18,,Jan,2015,201501
1537551,109895,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-02,Parts per billion,6.568182000000001,9.8,18,8,Parts per million,0.009292,0.01,0,9,Parts per billion,0.763636,1.1,11,1.0,Parts per million,0.225,0.4,0,5.0,Jan,2015,201501
1537552,109896,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-02,Parts per billion,6.568182000000001,9.8,18,8,Parts per million,0.009292,0.01,0,9,Parts per billion,0.714286,0.9,14,,Parts per million,0.2,0.3,18,,Jan,2015,201501
1537553,109897,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-02,Parts per billion,6.568182000000001,9.8,18,8,Parts per million,0.009292,0.01,0,9,Parts per billion,0.714286,0.9,14,,Parts per million,0.225,0.4,0,5.0,Jan,2015,201501
1537554,109898,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-03,Parts per billion,5.366667,12.9,10,11,Parts per million,0.020125,0.029,15,27,Parts per billion,0.6375,0.9,23,0.0,Parts per million,0.204167,0.3,9,,Jan,2015,201501
1537555,109899,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-03,Parts per billion,5.366667,12.9,10,11,Parts per million,0.020125,0.029,15,27,Parts per billion,0.6375,0.9,23,0.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1537556,109900,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-03,Parts per billion,5.366667,12.9,10,11,Parts per million,0.020125,0.029,15,27,Parts per billion,0.625,0.7,2,,Parts per million,0.204167,0.3,9,,Jan,2015,201501
1537557,109901,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-03,Parts per billion,5.366667,12.9,10,11,Parts per million,0.020125,0.029,15,27,Parts per billion,0.625,0.7,2,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1537558,109902,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-04,Parts per billion,3.525,6.2,20,6,Parts per million,0.016625,0.023,0,21,Parts per billion,0.795833,1.0,0,1.0,Parts per million,0.195833,0.2,0,,Jan,2015,201501
1537559,109903,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-04,Parts per billion,3.525,6.2,20,6,Parts per million,0.016625,0.023,0,21,Parts per billion,0.795833,1.0,0,1.0,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1537560,109904,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-04,Parts per billion,3.525,6.2,20,6,Parts per million,0.016625,0.023,0,21,Parts per billion,0.775,1.0,2,,Parts per million,0.195833,0.2,0,,Jan,2015,201501
1537561,109905,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-04,Parts per billion,3.525,6.2,20,6,Parts per million,0.016625,0.023,0,21,Parts per billion,0.775,1.0,2,,Parts per million,0.2,0.2,0,2.0,Jan,2015,201501
1537562,109906,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-05,Parts per billion,9.520833,17.4,7,16,Parts per million,0.009917,0.011,0,10,Parts per billion,0.770833,1.0,10,1.0,Parts per million,0.270833,0.4,7,,Jan,2015,201501
1537563,109907,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-05,Parts per billion,9.520833,17.4,7,16,Parts per million,0.009917,0.011,0,10,Parts per billion,0.770833,1.0,10,1.0,Parts per million,0.266667,0.3,8,3.0,Jan,2015,201501
1537564,109908,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-05,Parts per billion,9.520833,17.4,7,16,Parts per million,0.009917,0.011,0,10,Parts per billion,0.7375,0.9,11,,Parts per million,0.270833,0.4,7,,Jan,2015,201501
1537565,109909,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-05,Parts per billion,9.520833,17.4,7,16,Parts per million,0.009917,0.011,0,10,Parts per billion,0.7375,0.9,11,,Parts per million,0.266667,0.3,8,3.0,Jan,2015,201501
1537566,109910,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-06,Parts per billion,9.654167,19.4,2,18,Parts per million,0.0165,0.024,19,22,Parts per billion,0.916667,1.6,21,1.0,Parts per million,0.2375,0.3,0,,Jan,2015,201501
1537567,109911,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-06,Parts per billion,9.654167,19.4,2,18,Parts per million,0.0165,0.024,19,22,Parts per billion,0.916667,1.6,21,1.0,Parts per million,0.2625,0.3,0,3.0,Jan,2015,201501
1537568,109912,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-06,Parts per billion,9.654167,19.4,2,18,Parts per million,0.0165,0.024,19,22,Parts per billion,0.9,1.4,20,,Parts per million,0.2375,0.3,0,,Jan,2015,201501
1537569,109913,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-06,Parts per billion,9.654167,19.4,2,18,Parts per million,0.0165,0.024,19,22,Parts per billion,0.9,1.4,20,,Parts per million,0.2625,0.3,0,3.0,Jan,2015,201501
1537570,109914,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-07,Parts per billion,6.8958330000000005,14.8,19,13,Parts per million,0.015583,0.021,0,19,Parts per billion,0.958333,1.7,9,1.0,Parts per million,0.216667,0.3,17,,Jan,2015,201501
1537571,109915,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-07,Parts per billion,6.8958330000000005,14.8,19,13,Parts per million,0.015583,0.021,0,19,Parts per billion,0.958333,1.7,9,1.0,Parts per million,0.2125,0.3,21,3.0,Jan,2015,201501
1537572,109916,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-07,Parts per billion,6.8958330000000005,14.8,19,13,Parts per million,0.015583,0.021,0,19,Parts per billion,0.95,1.4,8,,Parts per million,0.216667,0.3,17,,Jan,2015,201501
1537573,109917,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-07,Parts per billion,6.8958330000000005,14.8,19,13,Parts per million,0.015583,0.021,0,19,Parts per billion,0.95,1.4,8,,Parts per million,0.2125,0.3,21,3.0,Jan,2015,201501
1537574,109918,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-08,Parts per billion,4.1458330000000005,7.8,9,7,Parts per million,0.026083,0.032,12,30,Parts per billion,1.2625,2.2,22,3.0,Parts per million,0.183333,0.2,0,,Jan,2015,201501
1537575,109919,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-08,Parts per billion,4.1458330000000005,7.8,9,7,Parts per million,0.026083,0.032,12,30,Parts per billion,1.2625,2.2,22,3.0,Parts per million,0.204167,0.3,0,3.0,Jan,2015,201501
1537576,109920,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-08,Parts per billion,4.1458330000000005,7.8,9,7,Parts per million,0.026083,0.032,12,30,Parts per billion,1.2375,2.0,23,,Parts per million,0.183333,0.2,0,,Jan,2015,201501
1537577,109921,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-08,Parts per billion,4.1458330000000005,7.8,9,7,Parts per million,0.026083,0.032,12,30,Parts per billion,1.2375,2.0,23,,Parts per million,0.204167,0.3,0,3.0,Jan,2015,201501
1537578,109922,46,99,8,SouthDakota,Minnehaha,Sioux Falls,2015-01-09,Parts per billion,7.627273,20.8,21,19,Parts per million,0.0165,0.027000000000000003,0,25,Parts per billion,0.8636360000000001,1.7,1,1.0,Parts per million,0.227273,0.4,21,,Jan,2015,201501
