,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1538742,111120,47,9,101,Tennessee,Blount,Not in a city,2015-05-02,Parts per billion,0.92381,1.1,3,1,Parts per million,0.055292,0.06,14,67,Parts per billion,0.108333,0.3,10,0.0,Parts per million,0.2,0.2,0,,May,2015,201505
1538743,111121,47,9,101,Tennessee,Blount,Not in a city,2015-05-02,Parts per billion,0.92381,1.1,3,1,Parts per million,0.055292,0.06,14,67,Parts per billion,0.108333,0.3,10,0.0,Parts per million,0.2,0.2,0,2.0,May,2015,201505
1538744,111122,47,9,101,Tennessee,Blount,Not in a city,2015-05-02,Parts per billion,0.92381,1.1,3,1,Parts per million,0.055292,0.06,14,67,Parts per billion,0.0875,0.2,11,,Parts per million,0.2,0.2,0,,May,2015,201505
1538745,111123,47,9,101,Tennessee,Blount,Not in a city,2015-05-02,Parts per billion,0.92381,1.1,3,1,Parts per million,0.055292,0.06,14,67,Parts per billion,0.0875,0.2,11,,Parts per million,0.2,0.2,0,2.0,May,2015,201505
1538746,111124,47,9,101,Tennessee,Blount,Not in a city,2015-05-03,Parts per billion,0.491304,0.7,6,0,Parts per million,0.0585,0.063,19,77,Parts per billion,0.24347800000000006,0.6,6,0.0,Parts per million,0.2,0.2,0,,May,2015,201505
1538747,111125,47,9,101,Tennessee,Blount,Not in a city,2015-05-03,Parts per billion,0.491304,0.7,6,0,Parts per million,0.0585,0.063,19,77,Parts per billion,0.24347800000000006,0.6,6,0.0,Parts per million,0.2,0.2,0,2.0,May,2015,201505
1538748,111126,47,9,101,Tennessee,Blount,Not in a city,2015-05-03,Parts per billion,0.491304,0.7,6,0,Parts per million,0.0585,0.063,19,77,Parts per billion,0.185714,0.4,8,,Parts per million,0.2,0.2,0,,May,2015,201505
1538749,111127,47,9,101,Tennessee,Blount,Not in a city,2015-05-03,Parts per billion,0.491304,0.7,6,0,Parts per million,0.0585,0.063,19,77,Parts per billion,0.185714,0.4,8,,Parts per million,0.2,0.2,0,2.0,May,2015,201505
1538750,111128,47,9,101,Tennessee,Blount,Not in a city,2015-05-04,Parts per billion,0.441667,0.7,19,0,Parts per million,0.0635,0.068,16,93,Parts per billion,0.458333,1.2,1,1.0,Parts per million,0.204167,0.3,12,,May,2015,201505
1538751,111129,47,9,101,Tennessee,Blount,Not in a city,2015-05-04,Parts per billion,0.441667,0.7,19,0,Parts per million,0.0635,0.068,16,93,Parts per billion,0.458333,1.2,1,1.0,Parts per million,0.2,0.2,0,2.0,May,2015,201505
1538752,111130,47,9,101,Tennessee,Blount,Not in a city,2015-05-04,Parts per billion,0.441667,0.7,19,0,Parts per million,0.0635,0.068,16,93,Parts per billion,0.4375,1.0,2,,Parts per million,0.204167,0.3,12,,May,2015,201505
1538753,111131,47,9,101,Tennessee,Blount,Not in a city,2015-05-04,Parts per billion,0.441667,0.7,19,0,Parts per million,0.0635,0.068,16,93,Parts per billion,0.4375,1.0,2,,Parts per million,0.2,0.2,0,2.0,May,2015,201505
1538754,111132,47,9,101,Tennessee,Blount,Not in a city,2015-05-05,Parts per billion,0.6625,1.0,9,1,Parts per million,0.06108300000000001,0.068,12,93,Parts per billion,0.158333,0.3,11,0.0,Parts per million,0.225,0.3,0,,May,2015,201505
1538755,111133,47,9,101,Tennessee,Blount,Not in a city,2015-05-05,Parts per billion,0.6625,1.0,9,1,Parts per million,0.06108300000000001,0.068,12,93,Parts per billion,0.158333,0.3,11,0.0,Parts per million,0.2125,0.3,14,3.0,May,2015,201505
1538756,111134,47,9,101,Tennessee,Blount,Not in a city,2015-05-05,Parts per billion,0.6625,1.0,9,1,Parts per million,0.06108300000000001,0.068,12,93,Parts per billion,0.125,0.2,11,,Parts per million,0.225,0.3,0,,May,2015,201505
1538757,111135,47,9,101,Tennessee,Blount,Not in a city,2015-05-05,Parts per billion,0.6625,1.0,9,1,Parts per million,0.06108300000000001,0.068,12,93,Parts per billion,0.125,0.2,11,,Parts per million,0.2125,0.3,14,3.0,May,2015,201505
1538758,111136,47,9,101,Tennessee,Blount,Not in a city,2015-05-06,Parts per billion,0.508333,1.0,18,1,Parts per million,0.06045800000000001,0.067,15,90,Parts per billion,0.104167,0.2,2,0.0,Parts per million,0.2375,0.3,0,,May,2015,201505
1538759,111137,47,9,101,Tennessee,Blount,Not in a city,2015-05-06,Parts per billion,0.508333,1.0,18,1,Parts per million,0.06045800000000001,0.067,15,90,Parts per billion,0.104167,0.2,2,0.0,Parts per million,0.225,0.3,18,3.0,May,2015,201505
1538760,111138,47,9,101,Tennessee,Blount,Not in a city,2015-05-06,Parts per billion,0.508333,1.0,18,1,Parts per million,0.06045800000000001,0.067,15,90,Parts per billion,0.075,0.1,2,,Parts per million,0.2375,0.3,0,,May,2015,201505
