,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1539524,112046,48,113,69,Texas,Dallas,Dallas,2015-01-01,Parts per billion,11.079167,14.9,16,13,Parts per million,0.005582999999999999,0.008,0,7,Parts per billion,0.0041670000000000006,0.1,0,0.0,Parts per million,0.240833,0.294,20,,Jan,2015,201501
1539525,112047,48,113,69,Texas,Dallas,Dallas,2015-01-01,Parts per billion,11.079167,14.9,16,13,Parts per million,0.005582999999999999,0.008,0,7,Parts per billion,0.0041670000000000006,0.1,0,0.0,Parts per million,0.231579,0.3,18,3.0,Jan,2015,201501
1539526,112050,48,113,69,Texas,Dallas,Dallas,2015-01-02,Parts per billion,11.895833,16.1,19,15,Parts per million,0.005292,0.006999999999999999,7,6,Parts per billion,0.008333,0.1,12,0.0,Parts per million,0.253083,0.313,16,,Jan,2015,201501
1539527,112051,48,113,69,Texas,Dallas,Dallas,2015-01-02,Parts per billion,11.895833,16.1,19,15,Parts per million,0.005292,0.006999999999999999,7,6,Parts per billion,0.008333,0.1,12,0.0,Parts per million,0.25416700000000003,0.3,0,3.0,Jan,2015,201501
1539528,112054,48,113,69,Texas,Dallas,Dallas,2015-01-03,Parts per billion,12.929167,30.8,22,28,Parts per million,0.01125,0.02,23,19,Parts per billion,0.052174,0.3,21,0.0,Parts per million,0.25166700000000003,0.494,21,,Jan,2015,201501
1539529,112055,48,113,69,Texas,Dallas,Dallas,2015-01-03,Parts per billion,12.929167,30.8,22,28,Parts per million,0.01125,0.02,23,19,Parts per billion,0.052174,0.3,21,0.0,Parts per million,0.233333,0.4,23,5.0,Jan,2015,201501
1539530,112056,48,113,69,Texas,Dallas,Dallas,2015-01-03,Parts per billion,12.929167,30.8,22,28,Parts per million,0.01125,0.02,23,19,Parts per billion,0.042857,0.1,14,,Parts per million,0.25166700000000003,0.494,21,,Jan,2015,201501
1539531,112057,48,113,69,Texas,Dallas,Dallas,2015-01-03,Parts per billion,12.929167,30.8,22,28,Parts per million,0.01125,0.02,23,19,Parts per billion,0.042857,0.1,14,,Parts per million,0.233333,0.4,23,5.0,Jan,2015,201501
1539532,112062,48,113,69,Texas,Dallas,Dallas,2015-01-05,Parts per billion,15.145832999999998,31.2,19,29,Parts per million,0.016291999999999997,0.024,9,22,Parts per billion,0.241667,1.3,23,1.0,Parts per million,0.227792,0.418,19,,Jan,2015,201501
1539533,112063,48,113,69,Texas,Dallas,Dallas,2015-01-05,Parts per billion,15.145832999999998,31.2,19,29,Parts per million,0.016291999999999997,0.024,9,22,Parts per billion,0.241667,1.3,23,1.0,Parts per million,0.220833,0.3,19,3.0,Jan,2015,201501
1539534,112064,48,113,69,Texas,Dallas,Dallas,2015-01-05,Parts per billion,15.145832999999998,31.2,19,29,Parts per million,0.016291999999999997,0.024,9,22,Parts per billion,0.225,0.6,11,,Parts per million,0.227792,0.418,19,,Jan,2015,201501
1539535,112065,48,113,69,Texas,Dallas,Dallas,2015-01-05,Parts per billion,15.145832999999998,31.2,19,29,Parts per million,0.016291999999999997,0.024,9,22,Parts per billion,0.225,0.6,11,,Parts per million,0.220833,0.3,19,3.0,Jan,2015,201501
1539536,112066,48,113,69,Texas,Dallas,Dallas,2015-01-06,Parts per billion,23.641667,37.3,20,35,Parts per million,0.007667,0.019,11,18,Parts per billion,0.75,2.0,8,3.0,Parts per million,0.421125,0.7929999999999999,21,,Jan,2015,201501
