,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1572192,23862,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-01,Parts per billion,35.791667,53.0,23,50,Parts per million,0.014542,0.029,10,27,Parts per billion,0.991667,1.8,14,1.0,Parts per million,0.55125,1.22,0,,Jan,2016,201601
1572193,23863,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-01,Parts per billion,35.791667,53.0,23,50,Parts per million,0.014542,0.029,10,27,Parts per billion,0.991667,1.8,14,1.0,Parts per million,0.478947,0.8,5,9.0,Jan,2016,201601
1572194,23864,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-01,Parts per billion,35.791667,53.0,23,50,Parts per million,0.014542,0.029,10,27,Parts per billion,0.9625,1.3,11,,Parts per million,0.55125,1.22,0,,Jan,2016,201601
1572195,23865,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-01,Parts per billion,35.791667,53.0,23,50,Parts per million,0.014542,0.029,10,27,Parts per billion,0.9625,1.3,11,,Parts per million,0.478947,0.8,5,9.0,Jan,2016,201601
1572196,23866,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-02,Parts per billion,45.208333,58.0,6,55,Parts per million,0.012667,0.024,10,22,Parts per billion,1.208333,2.5,12,3.0,Parts per million,0.71375,1.31,7,,Jan,2016,201601
1572197,23867,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-02,Parts per billion,45.208333,58.0,6,55,Parts per million,0.012667,0.024,10,22,Parts per billion,1.208333,2.5,12,3.0,Parts per million,0.7625,1.1,8,13.0,Jan,2016,201601
1572198,23868,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-02,Parts per billion,45.208333,58.0,6,55,Parts per million,0.012667,0.024,10,22,Parts per billion,1.175,2.1,14,,Parts per million,0.71375,1.31,7,,Jan,2016,201601
1572199,23869,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-02,Parts per billion,45.208333,58.0,6,55,Parts per million,0.012667,0.024,10,22,Parts per billion,1.175,2.1,14,,Parts per million,0.7625,1.1,8,13.0,Jan,2016,201601
1572200,23870,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-03,Parts per billion,39.875,55.0,6,52,Parts per million,0.010167,0.022,11,20,Parts per billion,1.120833,3.5,12,4.0,Parts per million,0.5125,0.87,23,,Jan,2016,201601
1572201,23871,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-03,Parts per billion,39.875,55.0,6,52,Parts per million,0.010167,0.022,11,20,Parts per billion,1.120833,3.5,12,4.0,Parts per million,0.491667,0.7,9,8.0,Jan,2016,201601
1572202,23872,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-03,Parts per billion,39.875,55.0,6,52,Parts per million,0.010167,0.022,11,20,Parts per billion,1.1125,2.2,14,,Parts per million,0.5125,0.87,23,,Jan,2016,201601
1572203,23873,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-03,Parts per billion,39.875,55.0,6,52,Parts per million,0.010167,0.022,11,20,Parts per billion,1.1125,2.2,14,,Parts per million,0.491667,0.7,9,8.0,Jan,2016,201601
1572204,23874,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-04,Parts per billion,45.75,60.0,12,57,Parts per million,0.005333,0.012,9,11,Parts per billion,1.35,2.8,12,3.0,Parts per million,0.864583,1.51,8,,Jan,2016,201601
1572205,23875,49,35,3006,Utah,Salt Lake,Salt Lake City,2016-01-04,Parts per billion,45.75,60.0,12,57,Parts per million,0.005333,0.012,9,11,Parts per billion,1.35,2.8,12,3.0,Parts per million,0.791667,1.2,11,14.0,Jan,2016,201601
