,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1545478,120134,51,87,14,Virginia,Henrico,East Highland Park,2015-01-01,Parts per billion,8.029167,15.0,21,14,Parts per million,0.025542,0.034,9,31,Parts per billion,0.6625,1.2,0,1.0,Parts per million,0.317083,0.38,18,,Jan,2015,201501
1545479,120135,51,87,14,Virginia,Henrico,East Highland Park,2015-01-01,Parts per billion,8.029167,15.0,21,14,Parts per million,0.025542,0.034,9,31,Parts per billion,0.6625,1.2,0,1.0,Parts per million,0.305263,0.4,23,5.0,Jan,2015,201501
1545480,120136,51,87,14,Virginia,Henrico,East Highland Park,2015-01-01,Parts per billion,8.029167,15.0,21,14,Parts per million,0.025542,0.034,9,31,Parts per billion,0.6375,1.1,2,,Parts per million,0.317083,0.38,18,,Jan,2015,201501
1545481,120137,51,87,14,Virginia,Henrico,East Highland Park,2015-01-01,Parts per billion,8.029167,15.0,21,14,Parts per million,0.025542,0.034,9,31,Parts per billion,0.6375,1.1,2,,Parts per million,0.305263,0.4,23,5.0,Jan,2015,201501
1545482,120138,51,87,14,Virginia,Henrico,East Highland Park,2015-01-02,Parts per billion,16.245832999999998,26.4,18,25,Parts per million,0.0125,0.022,8,20,Parts per billion,0.5818180000000001,0.8,2,0.0,Parts per million,0.358636,0.5,21,,Jan,2015,201501
1545483,120139,51,87,14,Virginia,Henrico,East Highland Park,2015-01-02,Parts per billion,16.245832999999998,26.4,18,25,Parts per million,0.0125,0.022,8,20,Parts per billion,0.5818180000000001,0.8,2,0.0,Parts per million,0.354167,0.4,0,5.0,Jan,2015,201501
1545484,120140,51,87,14,Virginia,Henrico,East Highland Park,2015-01-02,Parts per billion,16.245832999999998,26.4,18,25,Parts per million,0.0125,0.022,8,20,Parts per billion,0.571429,0.7,2,,Parts per million,0.358636,0.5,21,,Jan,2015,201501
1545485,120141,51,87,14,Virginia,Henrico,East Highland Park,2015-01-02,Parts per billion,16.245832999999998,26.4,18,25,Parts per million,0.0125,0.022,8,20,Parts per billion,0.571429,0.7,2,,Parts per million,0.354167,0.4,0,5.0,Jan,2015,201501
1545486,120142,51,87,14,Virginia,Henrico,East Highland Park,2015-01-03,Parts per billion,7.1875,18.7,22,17,Parts per million,0.014583,0.022,10,20,Parts per billion,0.391667,1.0,1,1.0,Parts per million,0.233333,0.43,22,,Jan,2015,201501
1545487,120143,51,87,14,Virginia,Henrico,East Highland Park,2015-01-03,Parts per billion,7.1875,18.7,22,17,Parts per million,0.014583,0.022,10,20,Parts per billion,0.391667,1.0,1,1.0,Parts per million,0.245833,0.4,0,5.0,Jan,2015,201501
1545488,120144,51,87,14,Virginia,Henrico,East Highland Park,2015-01-03,Parts per billion,7.1875,18.7,22,17,Parts per million,0.014583,0.022,10,20,Parts per billion,0.3625,0.6,2,,Parts per million,0.233333,0.43,22,,Jan,2015,201501
1545489,120145,51,87,14,Virginia,Henrico,East Highland Park,2015-01-03,Parts per billion,7.1875,18.7,22,17,Parts per million,0.014583,0.022,10,20,Parts per billion,0.3625,0.6,2,,Parts per million,0.245833,0.4,0,5.0,Jan,2015,201501
1545490,120146,51,87,14,Virginia,Henrico,East Highland Park,2015-01-04,Parts per billion,5.495833,11.2,0,10,Parts per million,0.016875,0.027000000000000003,21,25,Parts per billion,0.175,0.6,13,0.0,Parts per million,0.215,0.32,0,,Jan,2015,201501
