,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1572516,24186,53,33,80,Washington,King,Seattle,2016-01-01,Parts per billion,23.395833,39.5,11,37,Parts per million,0.010833,0.016,22,15,Parts per billion,0.447826,2.2,11,3.0,Parts per million,0.356783,0.556,11,,Jan,2016,201601
1572517,24187,53,33,80,Washington,King,Seattle,2016-01-01,Parts per billion,23.395833,39.5,11,37,Parts per million,0.010833,0.016,22,15,Parts per billion,0.447826,2.2,11,3.0,Parts per million,0.355556,0.4,6,5.0,Jan,2016,201601
1572518,24188,53,33,80,Washington,King,Seattle,2016-01-01,Parts per billion,23.395833,39.5,11,37,Parts per million,0.010833,0.016,22,15,Parts per billion,0.457143,1.0,14,,Parts per million,0.356783,0.556,11,,Jan,2016,201601
1572519,24189,53,33,80,Washington,King,Seattle,2016-01-01,Parts per billion,23.395833,39.5,11,37,Parts per million,0.010833,0.016,22,15,Parts per billion,0.457143,1.0,14,,Parts per million,0.355556,0.4,6,5.0,Jan,2016,201601
1572520,24190,53,33,80,Washington,King,Seattle,2016-01-02,Parts per billion,19.781818,33.8,16,31,Parts per million,0.017,0.038,22,35,Parts per billion,0.616667,2.9,12,3.0,Parts per million,0.341333,0.698,8,,Jan,2016,201601
1572521,24191,53,33,80,Washington,King,Seattle,2016-01-02,Parts per billion,19.781818,33.8,16,31,Parts per million,0.017,0.038,22,35,Parts per billion,0.616667,2.9,12,3.0,Parts per million,0.370833,0.5,12,6.0,Jan,2016,201601
1572522,24192,53,33,80,Washington,King,Seattle,2016-01-02,Parts per billion,19.781818,33.8,16,31,Parts per million,0.017,0.038,22,35,Parts per billion,0.6,2.1,14,,Parts per million,0.341333,0.698,8,,Jan,2016,201601
1572523,24193,53,33,80,Washington,King,Seattle,2016-01-02,Parts per billion,19.781818,33.8,16,31,Parts per million,0.017,0.038,22,35,Parts per billion,0.6,2.1,14,,Parts per million,0.370833,0.5,12,6.0,Jan,2016,201601
1572524,24194,53,33,80,Washington,King,Seattle,2016-01-03,Parts per billion,15.8625,38.1,11,36,Parts per million,0.018792,0.036000000000000004,0,33,Parts per billion,0.178261,1.2,11,1.0,Parts per million,0.274826,0.458,19,,Jan,2016,201601
1572525,24195,53,33,80,Washington,King,Seattle,2016-01-03,Parts per billion,15.8625,38.1,11,36,Parts per million,0.018792,0.036000000000000004,0,33,Parts per billion,0.178261,1.2,11,1.0,Parts per million,0.266667,0.4,22,5.0,Jan,2016,201601
1572526,24196,53,33,80,Washington,King,Seattle,2016-01-03,Parts per billion,15.8625,38.1,11,36,Parts per million,0.018792,0.036000000000000004,0,33,Parts per billion,0.171429,0.7,11,,Parts per million,0.274826,0.458,19,,Jan,2016,201601
1572527,24197,53,33,80,Washington,King,Seattle,2016-01-03,Parts per billion,15.8625,38.1,11,36,Parts per million,0.018792,0.036000000000000004,0,33,Parts per billion,0.171429,0.7,11,,Parts per million,0.266667,0.4,22,5.0,Jan,2016,201601
1572528,24198,53,33,80,Washington,King,Seattle,2016-01-04,Parts per billion,21.536364000000006,34.4,1,32,Parts per million,0.008833,0.015,0,14,Parts per billion,0.054166999999999986,0.1,0,0.0,Parts per million,0.31175,0.414,19,,Jan,2016,201601
1572529,24199,53,33,80,Washington,King,Seattle,2016-01-04,Parts per billion,21.536364000000006,34.4,1,32,Parts per million,0.008833,0.015,0,14,Parts per billion,0.054166999999999986,0.1,0,0.0,Parts per million,0.304167,0.4,0,5.0,Jan,2016,201601
1572530,24200,53,33,80,Washington,King,Seattle,2016-01-04,Parts per billion,21.536364000000006,34.4,1,32,Parts per million,0.008833,0.015,0,14,Parts per billion,0.0375,0.1,11,,Parts per million,0.31175,0.414,19,,Jan,2016,201601
1572531,24201,53,33,80,Washington,King,Seattle,2016-01-04,Parts per billion,21.536364000000006,34.4,1,32,Parts per million,0.008833,0.015,0,14,Parts per billion,0.0375,0.1,11,,Parts per million,0.304167,0.4,0,5.0,Jan,2016,201601
1572532,24204,53,33,80,Washington,King,Seattle,2016-01-22,Parts per billion,13.313636,32.7,21,30,Parts per million,0.019333000000000003,0.03,9,28,Parts per billion,0.225,0.5,20,0.0,Parts per million,0.233696,0.451,21,,Jan,2016,201601
1572533,24205,53,33,80,Washington,King,Seattle,2016-01-22,Parts per billion,13.313636,32.7,21,30,Parts per million,0.019333000000000003,0.03,9,28,Parts per billion,0.225,0.5,20,0.0,Parts per million,0.216667,0.3,20,3.0,Jan,2016,201601
1572534,24206,53,33,80,Washington,King,Seattle,2016-01-22,Parts per billion,13.313636,32.7,21,30,Parts per million,0.019333000000000003,0.03,9,28,Parts per billion,0.2,0.2,20,,Parts per million,0.233696,0.451,21,,Jan,2016,201601
1572535,24207,53,33,80,Washington,King,Seattle,2016-01-22,Parts per billion,13.313636,32.7,21,30,Parts per million,0.019333000000000003,0.03,9,28,Parts per billion,0.2,0.2,20,,Parts per million,0.216667,0.3,20,3.0,Jan,2016,201601
1572536,24208,53,33,80,Washington,King,Seattle,2016-01-23,Parts per billion,15.308333,26.8,17,25,Parts per million,0.00975,0.024,23,22,Parts per billion,0.117391,0.6,12,0.0,Parts per million,0.298478,0.466,12,,Jan,2016,201601
