,SerialNumber,StateCode,CountyCode,SiteNum,State,County,City,DateLocal,NO2Units,NO2Mean,NO2FirstMaxValue,NO2FirstMaxHour,NO2AQI,O3Units,O3Mean,O3FirstMaxValue,O3FirstMaxHour,O3AQI,SO2Units,SO2Mean,SO2FirstMaxValue,SO2FirstMaxHour,SO2AQI,COUnits,COMean,COFirstMaxValue,COFirstMaxHour,COAQI,month,year,monthyear
1549118,124626,56,21,100,Wyoming,Laramie,Not in a city,2015-01-01,Parts per billion,4.175,9.5,2,8,Parts per million,0.043625,0.047,8,44,Parts per billion,0.175,0.5,22,0.0,Parts per million,0.06083300000000001,0.116,4,,Jan,2015,201501
1549119,124627,56,21,100,Wyoming,Laramie,Not in a city,2015-01-01,Parts per billion,4.175,9.5,2,8,Parts per million,0.043625,0.047,8,44,Parts per billion,0.175,0.5,22,0.0,Parts per million,0.052632000000000005,0.1,5,1.0,Jan,2015,201501
1549120,124628,56,21,100,Wyoming,Laramie,Not in a city,2015-01-01,Parts per billion,4.175,9.5,2,8,Parts per million,0.043625,0.047,8,44,Parts per billion,0.15,0.3,23,,Parts per million,0.06083300000000001,0.116,4,,Jan,2015,201501
1549121,124629,56,21,100,Wyoming,Laramie,Not in a city,2015-01-01,Parts per billion,4.175,9.5,2,8,Parts per million,0.043625,0.047,8,44,Parts per billion,0.15,0.3,23,,Parts per million,0.052632000000000005,0.1,5,1.0,Jan,2015,201501
1549122,124630,56,21,100,Wyoming,Laramie,Not in a city,2015-01-02,Parts per billion,7.721739,17.3,9,16,Parts per million,0.037333,0.042,0,39,Parts per billion,0.265217,0.8,12,0.0,Parts per million,0.08995700000000001,0.208,9,,Jan,2015,201501
1549123,124631,56,21,100,Wyoming,Laramie,Not in a city,2015-01-02,Parts per billion,7.721739,17.3,9,16,Parts per million,0.037333,0.042,0,39,Parts per billion,0.265217,0.8,12,0.0,Parts per million,0.1,0.1,0,1.0,Jan,2015,201501
1549124,124632,56,21,100,Wyoming,Laramie,Not in a city,2015-01-02,Parts per billion,7.721739,17.3,9,16,Parts per million,0.037333,0.042,0,39,Parts per billion,0.257143,0.6,14,,Parts per million,0.08995700000000001,0.208,9,,Jan,2015,201501
1549125,124633,56,21,100,Wyoming,Laramie,Not in a city,2015-01-02,Parts per billion,7.721739,17.3,9,16,Parts per million,0.037333,0.042,0,39,Parts per billion,0.257143,0.6,14,,Parts per million,0.1,0.1,0,1.0,Jan,2015,201501
1549126,124634,56,21,100,Wyoming,Laramie,Not in a city,2015-01-03,Parts per billion,3.254167,13.7,23,12,Parts per million,0.031125,0.041,0,38,Parts per billion,0.330435,1.1,10,1.0,Parts per million,0.08241699999999999,0.151,22,,Jan,2015,201501
1549127,124635,56,21,100,Wyoming,Laramie,Not in a city,2015-01-03,Parts per billion,3.254167,13.7,23,12,Parts per million,0.031125,0.041,0,38,Parts per billion,0.330435,1.1,10,1.0,Parts per million,0.075,0.1,0,1.0,Jan,2015,201501
1549128,124636,56,21,100,Wyoming,Laramie,Not in a city,2015-01-03,Parts per billion,3.254167,13.7,23,12,Parts per million,0.031125,0.041,0,38,Parts per billion,0.3,0.6,11,,Parts per million,0.08241699999999999,0.151,22,,Jan,2015,201501
1549129,124637,56,21,100,Wyoming,Laramie,Not in a city,2015-01-03,Parts per billion,3.254167,13.7,23,12,Parts per million,0.031125,0.041,0,38,Parts per billion,0.3,0.6,11,,Parts per million,0.075,0.1,0,1.0,Jan,2015,201501
1549130,124638,56,21,100,Wyoming,Laramie,Not in a city,2015-01-04,Parts per billion,10.416667,42.1,7,40,Parts per million,0.031417,0.044,13,41,Parts per billion,0.266667,0.7,7,0.0,Parts per million,0.096417,0.34700000000000003,7,,Jan,2015,201501
1549131,124639,56,21,100,Wyoming,Laramie,Not in a city,2015-01-04,Parts per billion,10.416667,42.1,7,40,Parts per million,0.031417,0.044,13,41,Parts per billion,0.266667,0.7,7,0.0,Parts per million,0.091667,0.2,7,2.0,Jan,2015,201501
1549132,124640,56,21,100,Wyoming,Laramie,Not in a city,2015-01-04,Parts per billion,10.416667,42.1,7,40,Parts per million,0.031417,0.044,13,41,Parts per billion,0.2375,0.6,11,,Parts per million,0.096417,0.34700000000000003,7,,Jan,2015,201501
1549133,124641,56,21,100,Wyoming,Laramie,Not in a city,2015-01-04,Parts per billion,10.416667,42.1,7,40,Parts per million,0.031417,0.044,13,41,Parts per billion,0.2375,0.6,11,,Parts per million,0.091667,0.2,7,2.0,Jan,2015,201501
1549134,124642,56,21,100,Wyoming,Laramie,Not in a city,2015-01-05,Parts per billion,5.3,31.9,1,29,Parts per million,0.034292,0.04,5,37,Parts per billion,0.275,0.4,21,0.0,Parts per million,0.022417,0.218,1,,Jan,2015,201501
1549135,124643,56,21,100,Wyoming,Laramie,Not in a city,2015-01-05,Parts per billion,5.3,31.9,1,29,Parts per million,0.034292,0.04,5,37,Parts per billion,0.275,0.4,21,0.0,Parts per million,0.0375,0.1,0,1.0,Jan,2015,201501
